iddeputado,nome,siglapartido,siglauf,idlegislatura
178957,"ABEL MESQUITA JR.",DEM,RR,55
178864,"ADAIL CARNEIRO",PODE,CE,55
178914,"ADALBERTO CAVALCANTI",AVANTE,PE,55
178890,"ADELMO CARNEIRO LEÃO",PT,MG,55
178968,"ADELSON BARRETO",PR,SE,55
133374,"ADEMIR CAMILO",MDB,MG,55
196359,"ADÉRMIS MARINI",PSDB,SP,55
178903,"ADILTON SACHETTI",PRB,MT,55
141372,"AELTON FREITAS",PR,MG,55
160508,"AFONSO FLORENCE",PT,BA,55
136811,"AFONSO HAMM",PP,RS,55
178835,"AFONSO MOTTA",PDT,RS,55
160527,"AGUINALDO RIBEIRO",PP,PB,55
178836,"ALAN RICK",DEM,AC,55
160582,"ALBERTO FILHO",PP,MA,55
73579,"ALBERTO FRAGA",DEM,DF,55
160559,"ALCEU MOREIRA",MDB,RS,55
160511,"ALESSANDRO MOLON",PSB,RJ,55
73458,"ALEX CANZIANI",PTB,PR,55
178972,"ALEX MANENTE",PPS,SP,55
178875,"ALEXANDRE BALDY",PP,GO,55
160545,"ALEXANDRE LEITE",DEM,SP,55
178833,"ALEXANDRE SERFIOTIS",PSD,RJ,55
178936,"ALEXANDRE VALLE",PR,RJ,55
141454,"ALFREDO KAEFER",PP,PR,55
178846,"ALFREDO NASCIMENTO",PR,AM,55
74057,"ALICE PORTUGAL",PCdoB,BA,55
178927,"ALIEL MACHADO",PSB,PR,55
178937,"ALTINEU CÔRTES",PR,RJ,55
178881,"ALUISIO MENDES",PODE,MA,55
178973,"ANA PERUGINI",PT,SP,55
160551,"ANDERSON FERREIRA",PR,PE,55
178831,"ANDRÉ ABDON",PP,AP,55
195143,"ANDRÉ AMARAL",PROS,PB,55
74471,"ANDRÉ DE PAULA",PSD,PE,55
133439,"ANDRÉ FIGUEIREDO",PDT,CE,55
178882,"ANDRÉ FUFUCA",PP,MA,55
160543,"ANDRE MOURA",PSC,SE,55
141379,"ANDREIA ZITO",PSDB,RJ,55
178974,"ANDRES SANCHEZ",PT,SP,55
192120,"ANGELA ALBINO",PCdoB,SC,55
178837,ANGELIM,PT,AC,55
74212,"ANÍBAL GOMES",DEM,CE,55
74213,"ANTONIO BALHMANN",PDT,CE,55
160553,"ANTONIO BRITO",PSD,BA,55
141383,"ANTONIO BULHÕES",PRB,SP,55
73584,"ANTONIO CARLOS MENDES THAME",PV,SP,55
160530,"ANTONIO IMBASSAHY",PSDB,BA,55
178950,"ANTÔNIO JÁCOME",PODE,RN,55
74103,"ARIOSTO HOLANDA",PDT,CE,55
73433,"ARLINDO CHINAGLIA",PT,SP,55
73434,"ARNALDO FARIA DE SÁ",PP,SP,55
141391,"ARNALDO JARDIM",PPS,SP,55
160602,"ARNALDO JORDY",PPS,PA,55
74291,"ARNON BEZERRA",PTB,CE,55
74833,"AROLDE DE OLIVEIRA",PSD,RJ,55
160541,"ARTHUR LIRA",PP,AL,55
160600,"ARTHUR OLIVEIRA MAIA",DEM,BA,55
178847,"ARTHUR VIRGÍLIO BISNETO",PSDB,AM,55
159237,"ASSIS CARVALHO",PT,PI,55
74378,"ASSIS DO COUTO",PDT,PR,55
160581,"ASSIS MELO",PCdoB,RS,55
193165,"ÁTILA A. NUNES",MDB,RJ,55
74090,"ÁTILA LINS",PP,AM,55
74459,"ÁTILA LIRA",PSB,PI,55
73655,"AUGUSTO CARVALHO",SOLIDARIEDADE,DF,55
160665,"AUGUSTO COUTINHO",SOLIDARIEDADE,PE,55
160512,AUREO,SOLIDARIEDADE,RJ,55
69871,BACELAR,PODE,BA,55
178975,"BALEIA ROSSI",MDB,SP,55
178834,BEBETO,PSB,BA,55
73701,"BENEDITA DA SILVA",PT,RJ,55
74535,"BENITO GAMA",PTB,BA,55
74040,"BENJAMIN MARANHÃO",MDB,PB,55
178915,"BETINHO GOMES",PSDB,PE,55
141335,"BETO FARO",PT,PA,55
73437,"BETO MANSUR",MDB,SP,55
178948,"BETO ROSADO",PP,RN,55
178906,"BETO SALAME",PP,PA,55
141513,"BILAC PINTO",DEM,MG,55
160538,"BOHN GASS",PT,RS,55
74650,"BONIFÁCIO DE ANDRADA",DEM,MG,55
74052,"BOSCO COSTA",PROS,SE,55
160589,"BRUNA FURLAN",PSDB,SP,55
178999,BRUNNY,PR,MG,55
141394,"BRUNO ARAÚJO",PSDB,PE,55
178976,"BRUNO COVAS",PSDB,SP,55
178938,"CABO DACIOLO",PATRI,RJ,55
178865,"CABO SABINO",AVANTE,CE,55
105112,"CABUÇU BORGES",MDB,AP,55
93083,"CACÁ LEÃO",PP,BA,55
178853,CAETANO,PT,BA,55
178891,"CAIO NARCIO",PSDB,MG,55
194261,"CAJAR NARDES",PODE,RS,55
178829,"CAPITÃO AUGUSTO",PR,SP,55
178924,"CAPITÃO FÁBIO ABREU",PR,PI,55
205303,"CARLA STEPHANINI",MDB,MS,55
178958,"CARLOS ANDRADE",PHS,RR,55
141401,"CARLOS BEZERRA",MDB,MT,55
74474,"CARLOS EDUARDO CADOCA",PDT,PE,55
178962,"CARLOS GOMES",PRB,RS,55
178993,"CARLOS HENRIQUE GAGUIM",DEM,TO,55
74163,"CARLOS MANATO",PSL,ES,55
178900,"CARLOS MARUN",MDB,MS,55
74651,"CARLOS MELLES",DEM,MG,55
74262,"CARLOS SAMPAIO",PSDB,SP,55
73934,"CARLOS SOUZA",PSDB,AM,55
141398,"CARLOS ZARATTINI",PT,SP,55
164360,"CARMEN ZANOTTO",PPS,SC,55
178876,"CÉLIO SILVEIRA",PSDB,GO,55
73568,"CELSO JACOB",MDB,RJ,55
141405,"CELSO MALDANER",MDB,SC,55
72912,"CELSO PANSERA",PT,RJ,55
73441,"CELSO RUSSOMANNO",PRB,SP,55
160576,"CÉSAR HALUM",PRB,TO,55
178838,"CÉSAR MESSIAS",PSB,AC,55
