nr_ano;nr_mes;nm_regiao;sg_uf;qt_eleitor;qt_eleitor_biometria;dt_carga
2010;9;NORTE;AC;470975;;2022-06-29 14:12:44
2010;9;NORDESTE;AL;2034326;;2022-06-29 14:12:44
2010;9;NORTE;AM;2030549;;2022-06-29 14:12:44
2010;9;NORTE;AP;420799;;2022-06-29 14:12:44
2010;9;NORDESTE;BA;9550898;;2022-06-29 14:12:44
2010;9;NORDESTE;CE;5881584;;2022-06-29 14:12:44
2010;9;CENTRO-OESTE;DF;1836280;;2022-06-29 14:12:44
2010;9;SUDESTE;ES;2523185;;2022-06-29 14:12:44
2010;9;CENTRO-OESTE;GO;4061371;;2022-06-29 14:12:44
2010;9;NORDESTE;MA;4324696;;2022-06-29 14:12:44
2010;9;SUDESTE;MG;14522090;;2022-06-29 14:12:44
2010;9;CENTRO-OESTE;MS;1702511;;2022-06-29 14:12:44
2010;9;CENTRO-OESTE;MT;2095825;;2022-06-29 14:12:44
2010;9;NORTE;PA;4768457;;2022-06-29 14:12:44
2010;9;NORDESTE;PB;2740079;;2022-06-29 14:12:44
2010;9;NORDESTE;PE;6259850;;2022-06-29 14:12:44
2010;9;NORDESTE;PI;2263834;;2022-06-29 14:12:44
2010;9;SUL;PR;7601553;;2022-06-29 14:12:44
2010;9;SUDESTE;RJ;11589763;;2022-06-29 14:12:44
2010;9;NORDESTE;RN;2246691;;2022-06-29 14:12:44
2010;9;NORTE;RO;1079327;;2022-06-29 14:12:44
2010;9;NORTE;RR;271890;;2022-06-29 14:12:44
2010;9;SUL;RS;8112236;;2022-06-29 14:12:44
2010;9;SUL;SC;4538981;;2022-06-29 14:12:44
2010;9;NORDESTE;SE;1425973;;2022-06-29 14:12:44
2010;9;SUDESTE;SP;30301398;;2022-06-29 14:12:44
2010;9;NORTE;TO;948920;;2022-06-29 14:12:44
2010;9;EXTERIOR;ZZ;200392;;2022-06-29 14:12:44
