aa_eleicao;nm_pais;nm_regiao;sg_uf;pc_eleitor_biometria;qt_eleitores_perfil;qt_eleitores_biometria;dt_carga
2018;Brasil;NORTE;AC;0,8651;547680;473786;2021-04-12 13:55:01
2018;Brasil;NORDESTE;AL;0,9968;2187967;2180926;2021-04-12 13:55:01
2018;Brasil;NORTE;AM;0,8406;2428098;2040998;2021-04-12 13:55:01
2018;Brasil;NORTE;AP;0,9972;512110;510693;2021-04-12 13:55:01
2018;Brasil;NORDESTE;BA;0,6576;10393170;6834276;2021-04-12 13:55:01
2018;Brasil;NORDESTE;CE;0,7781;6344483;4936957;2021-04-12 13:55:01
2018;Brasil;CENTRO-OESTE;DF;0,9972;2084356;2078453;2021-04-12 13:55:01
2018;Brasil;SUDESTE;ES;0,4536;2754728;1249411;2021-04-12 13:55:01
2018;Brasil;CENTRO-OESTE;GO;0,9985;4454497;4447735;2021-04-12 13:55:01
2018;Brasil;NORDESTE;MA;0,7451;4537237;3380833;2021-04-12 13:55:01
2018;Brasil;SUDESTE;MG;0,3017;15700966;4736576;2021-04-12 13:55:01
2018;Brasil;CENTRO-OESTE;MS;0,5415;1877982;1016971;2021-04-12 13:55:01
2018;Brasil;CENTRO-OESTE;MT;0,4894;2330281;1140362;2021-04-12 13:55:01
2018;Brasil;NORTE;PA;0,6351;5499283;3492534;2021-04-12 13:55:01
2018;Brasil;NORDESTE;PB;0,9981;2867649;2862319;2021-04-12 13:55:01
2018;Brasil;NORDESTE;PE;0,716;6570072;4704495;2021-04-12 13:55:01
2018;Brasil;NORDESTE;PI;0,9993;2370894;2369247;2021-04-12 13:55:01
2018;Brasil;SUL;PR;0,8988;7971087;7164065;2021-04-12 13:55:01
2018;Brasil;SUDESTE;RJ;0,1869;12408340;2319134;2021-04-12 13:55:01
2018;Brasil;NORDESTE;RN;0,9967;2373619;2365752;2021-04-12 13:55:01
2018;Brasil;NORTE;RO;0,8228;1175733;967396;2021-04-12 13:55:01
2018;Brasil;NORTE;RR;0,9986;333464;333000;2021-04-12 13:55:01
2018;Brasil;SUL;RS;0,5974;8354732;4991213;2021-04-12 13:55:01
2018;Brasil;SUL;SC;0,6344;5070212;3216364;2021-04-12 13:55:01
2018;Brasil;NORDESTE;SE;0,9984;1577058;1574574;2021-04-12 13:55:01
2018;Brasil;SUDESTE;SP;0,4514;33040411;14915639;2021-04-12 13:55:01
2018;Brasil;NORTE;TO;0,9994;1039439;1038807;2021-04-12 13:55:01
2018;Exterior;EXTERIOR;ZZ;0,0411;500727;20582;2021-04-12 13:55:01
