"legislatura";"nome";"carteira";"total"
54;"ABELARDO CAMARINHA";329;181
54;"ABELARDO CAMARINHA";329;1149
54;"ABELARDO LUPION";440;1460
54;"ACELINO POPÓ";522;1153
54;"ACELINO POPÓ";522;239
54;"ADEMIR CAMILO";220;1460
54;"ADRIAN";286;1460
54;"AELTON FREITAS";224;1460
54;"AFONSO FLORENCE";182;1
54;"AFONSO FLORENCE";182;1053
54;"AFONSO HAMM";487;1460
54;"AFONSO MOTTA";658;30
54;"AGUINALDO RIBEIRO";129;370
54;"AGUINALDO RIBEIRO";129;313
54;"AKIRA OTSUBO";638;621
54;"AKIRA OTSUBO";638;32
54;"ALBERTO FILHO";71;490
54;"ALBERTO FILHO";71;849
54;"ALBERTO MOURÃO";552;484
54;"ALBERTO MOURÃO";552;134
54;"ALCEU MOREIRA";486;1460
54;"ALDO REBELO";331;272
54;"ALESSANDRO MOLON";287;1460
54;"ALEX CANZIANI";445;1460
54;"ALEXANDRE CARDOSO";284;2
54;"ALEXANDRE CARDOSO";284;200
54;"ALEXANDRE LEITE";334;1460
54;"ALEXANDRE ROSO";489;1460
54;"ALEXANDRE SANTOS";285;1460
54;"ALEXANDRE SILVEIRA";225;2
54;"ALEXANDRE SILVEIRA";225;9
54;"ALEXANDRE SILVEIRA";225;9
54;"ALEXANDRE SILVEIRA";225;1
54;"ALEXANDRE SILVEIRA";225;299
54;"ALEXANDRE TOLEDO";596;4
54;"ALEXANDRE TOLEDO";596;528
54;"ALEXANDRE TOLEDO";596;83
54;"ALFREDO KAEFER";451;1460
54;"ALFREDO SIRKIS";321;1460
54;"ALICE PORTUGAL";180;1460
54;"ALINE CORRÊA";330;1460
54;"ALMEIDA LIMA";173;1460
54;"AMAURI TEIXEIRA";184;1460
54;"AMIR LANDO";642;520
54;"ANA ARRAES";140;261
54;"ANDERSON FERREIRA";142;1460
54;"ANDRÉ DE PAULA";647;295
54;"ANDRÉ DIAS";517;313
54;"ANDRÉ FIGUEIREDO";89;1460
54;"ANDRE MOURA";174;1460
54;"ANDRE VARGAS";452;1409
54;"ANDRÉ ZACHAROW";441;1460
54;"ANDREIA ZITO";283;1460
54;"ÂNGELO AGNOLIN";61;1460
54;"ANGELO VANHONI";453;1460
54;"ANÍBAL GOMES";87;1460
54;"ANSELMO DE JESUS";615;758
54;"ANTHONY GAROTINHO";289;1460
54;"ANTÔNIA LÚCIA";53;1460
54;"ANTÔNIO ANDRADE";227;774
54;"ANTÔNIO ANDRADE";227;288
54;"ANTONIO BALHMANN";93;1460
54;"ANTONIO BRITO";189;1460
54;"ANTONIO BULHÕES";333;1460
54;"ANTONIO CARLOS MAGALHÃES NETO";181;699
54;"ANTONIO CARLOS MENDES THAME";332;1460
54;"ANTONIO IMBASSAHY";191;1460
54;"ANTÔNIO ROBERTO";229;1192
54;"ARACELY DE PAULA";223;1381
54;"ARIOSTO HOLANDA";92;1460
54;"ARLINDO CHINAGLIA";336;1460
54;"ARMANDO ABÍLIO";589;72
54;"ARMANDO ABÍLIO";589;121
54;"ARMANDO VERGÍLIO";416;28
54;"ARMANDO VERGÍLIO";416;1279
54;"ARNALDO FARIA DE SÁ";337;1460
54;"ARNALDO JARDIM";339;1437
54;"ARNALDO JARDIM";339;0
54;"ARNALDO JORDY";18;1460
54;"ARNON BEZERRA";90;1460
54;"AROLDE DE OLIVEIRA";288;1460
54;"ARTHUR LIRA";162;1044
54;"ARTHUR LIRA";162;294
54;"ARTHUR OLIVEIRA MAIA";192;1460
54;"ARTUR BRUNO";94;1430
54;"ASDRUBAL BENTES";20;2
54;"ASDRUBAL BENTES";20;940
54;"ASSIS CARVALHO";111;1460
54;"ASSIS DO COUTO";443;1460
54;"ASSIS MELO";492;1460
54;"ÁTILA LINS";38;1460
54;"ÁTILA LIRA";109;2
54;"ÁTILA LIRA";109;303
54;"AUDIFAX";274;519
54;"AUDIFAX";274;59
54;"AUGUSTO CARVALHO";545;287
54;"AUGUSTO CARVALHO";545;193
54;"AUGUSTO CARVALHO";545;50
54;"AUGUSTO CARVALHO";545;110
54;"AUGUSTO CARVALHO";545;317
54;"AUGUSTO COUTINHO";144;1460
54;"AUREO";290;1460
54;"BEBETO GALVÃO";673;22
54;"BENEDITA DA SILVA";291;1460
54;"BENJAMIN MARANHÃO";131;520
54;"BENJAMIN MARANHÃO";131;819
54;"BERINHO BANTIM";1;716
54;"BERINHO BANTIM";1;23
54;"BERINHO BANTIM";1;37
54;"BERINHO BANTIM";1;139
54;"BERNARDO SANTANA DE VASCONCELLOS";221;1455
54;"BETINHO ROSADO";122;7
54;"BETINHO ROSADO";122;8
54;"BETINHO ROSADO";122;4
54;"BETINHO ROSADO";122;815
54;"BETO ALBUQUERQUE";490;3
54;"BETO ALBUQUERQUE";490;800
54;"BETO FARO";19;1460
54;"BETO MANSUR";340;1460
54;"BIFFI";432;1460
54;"BILAC PINTO";232;2
54;"BILAC PINTO";232;9
54;"BILAC PINTO";232;302
54;"BOHN GASS";499;1460
54;"BONIFÁCIO DE ANDRADA";534;1457
54;"BRIZOLA NETO";566;217
54;"BRIZOLA NETO";566;184
54;"BRUNA FURLAN";335;1460
54;"BRUNO ARAÚJO";146;1460
54;"BRUNO RODRIGUES";672;25
54;"CABO JULIANO RABELO";584;120
54;"CAMILO COLA";543;381
54;"CAMILO COLA";543;120
54;"CAMILO COLA";543;759
54;"CÂNDIDO VACCAREZZA";389;1460
54;"CARLAILE PEDROSA";222;686
54;"CARLINHOS ALMEIDA";341;671
54;"CARLOS ALBERTO LERÉIA";415;1178
54;"CARLOS ALBERTO LERÉIA";415;152
54;"CARLOS BEZERRA";400;518
54;"CARLOS BEZERRA";400;820
54;"CARLOS BRANDÃO";68;245
54;"CARLOS BRANDÃO";68;1059
54;"CARLOS EDUARDO CADOCA";152;1460
54;"CARLOS MAGNO";44;1460
54;"CARLOS MANATO";275;1460
54;"CARLOS MARTINS";657;30
54;"CARLOS MELLES";226;2
54;"CARLOS MELLES";226;2
54;"CARLOS MELLES";226;302
54;"CARLOS ROBERTO";569;199
54;"CARLOS ROBERTO";569;342
54;"CARLOS ROBERTO";569;122
54;"CARLOS SAMPAIO";338;1460
54;"CARLOS SOUZA";37;1366
54;"CARLOS ZARATTINI";398;1460
54;"CARMEN ZANOTTO";561;237
54;"CARMEN ZANOTTO";561;397
54;"CARMEN ZANOTTO";561;326
54;"CARMEN ZANOTTO";561;115
54;"CELIA ROCHA";165;700
54;"CELSO JACOB";632;7
54;"CELSO JACOB";632;391
54;"CELSO MALDANER";472;1460
54;"CESAR COLNAGO";276;1428
54;"CÉSAR HALUM";64;1460
54;"CEZAR SILVESTRI";447;1
54;"CEZAR SILVESTRI";447;3
54;"CEZAR SILVESTRI";447;29
54;"CHICO ALENCAR";295;1460
54;"CHICO D'ANGELO";527;658
54;"CHICO DAS VERDURAS";3;99
54;"CHICO DAS VERDURAS";3;779
54;"CHICO LOPES";88;1460
54;"CIDA BORGHETTI";442;862
54;"CIDA BORGHETTI";442;443
54;"CLAUDIO CAJADO";186;1460
54;"CLÁUDIO PUTY";22;1460
54;"CLEBER VERDE";70;485
54;"CLEBER VERDE";70;854
54;"COLBERT MARTINS";622;460
54;"COLBERT MARTINS";622;118
54;"COSTA FERREIRA";571;80
54;"COSTA FERREIRA";571;913
54;"CRISTIANO";292;192
54;"DALVA FIGUEIREDO";9;1460
54;"DAMIÃO FELICIANO";127;1460
54;"DANIEL ALMEIDA";188;1460
54;"DANILO CABRAL";148;13
54;"DANILO CABRAL";148;13
54;"DANILO CABRAL";148;262
54;"DANILO FORTE";95;1460
54;"DANRLEI DE DEUS HINTERHOLZ";495;1460
54;"DARCÍSIO PERONDI";491;1460
54;"DAVI ALCOLUMBRE";10;1460
54;"DAVI ALVES SILVA JÚNIOR";528;1458
54;"DÉCIO LIMA";475;1460
54;"DELEGADO PROTÓGENES";343;1460
54;"DELEGADO WALDIR";559;133
54;"DELEY";562;252
54;"DELEY";562;201
54;"DELEY";562;30
54;"DELEY";562;423
54;"DENILSON TEIXEIRA";653;44
54;"DEVANIR RIBEIRO";342;1460
54;"DIEGO ANDRADE";228;1460
54;"DILCEU SPERAFICO";444;1460
54;"DIMAS FABIANO";231;1460
54;"DIMAS RAMALHO";346;559
54;"DOMINGOS DUTRA";72;1460
54;"DOMINGOS NETO";97;737
54;"DOMINGOS NETO";97;347
54;"DOMINGOS SÁVIO";233;1460
54;"DR. ADILSON SOARES";293;1460
54;"DR. ALUIZIO";294;700
54;"DR. CARLOS ALBERTO";529;497
54;"DR. CARLOS ALBERTO";529;759
54;"DR. DILSON DRUMOND";602;107
54;"DR. GRILO";235;1460
54;"DR. JORGE SILVA";278;1460
54;"DR. LUIZ FERNANDO";605;371
54;"DR. LUIZ FERNANDO";605;92
54;"DR. PAULO CÉSAR";296;1460
54;"DR. ROSINHA";449;1460
54;"DR. SINVAL MALHEIROS";667;29
54;"DR. UBIALI";541;497
54;"DR. UBIALI";541;772
54;"DRA. ELAINE ABISSAMRA";576;130
54;"DRA. ELAINE ABISSAMRA";576;16
54;"DUARTE NOGUEIRA";350;1430
54;"DUARTE NOGUEIRA";350;0
54;"DUDIMAR PAXIUBA";518;211
54;"DUDIMAR PAXIUBA";518;382
54;"DUDIMAR PAXIUBA";518;759
54;"DUDU LUIZ EDUARDO";650;116
54;"EDINHO ARAÚJO";344;1430
54;"EDINHO BEZ";470;1460
54;"EDIO LOPES";2;1460
54;"EDIVALDO HOLANDA JUNIOR";73;457
54;"EDIVALDO HOLANDA JUNIOR";73;121
54;"EDMAR ARRUDA";446;765
54;"EDMAR ARRUDA";446;573
54;"EDMAR MOREIRA";646;38
54;"EDSON APARECIDO";351;2
54;"EDSON APARECIDO";351;146
54;"EDSON APARECIDO";351;164
54;"EDSON EZEQUIEL";298;1460
54;"EDSON PIMENTA";193;1460
54;"EDSON SANTOS";299;1460
54;"EDSON SILVA";98;414
54;"EDSON SILVA";98;414
54;"EDSON SILVA";98;374
54;"EDUARDO AZEREDO";237;1114
54;"EDUARDO BARBOSA";230;1460
54;"EDUARDO CUNHA";300;1460
54;"EDUARDO DA FONTE";156;1460
54;"EDUARDO GOMES";60;765
54;"EDUARDO GOMES";60;281
54;"EDUARDO GOMES";60;71
54;"EDUARDO SCIARRA";461;1445
54;"EFRAIM FILHO";128;1460
54;"ELCIONE BARBALHO";21;1460
54;"ELEUSES PAIVA";537;1457
54;"ELI CORREA FILHO";345;1460
54;"ELIANE ROLIM";538;389
54;"ELIENE LIMA";401;1
54;"ELIENE LIMA";401;1193
54;"ELISEU PADILHA";578;575
54;"ELISEU PADILHA";578;507
54;"EMANUEL FERNANDES";352;1
54;"EMANUEL FERNANDES";352;1170
54;"EMILIANO JOSÉ";523;406
54;"EMILIANO JOSÉ";523;122
54;"EMILIANO JOSÉ";523;236
