legislatura,nome,carteira,total
55,ABEL MESQUITA JR.,1,1460
55,ADAIL CARNEIRO,92,289
55,ADAIL CARNEIRO,92,1021
55,ADALBERTO CAVALCANTI,138,1460
55,ADELMO CARNEIRO LEÃO,221,33
55,ADELMO CARNEIRO LEÃO,221,1127
55,ADELMO CARNEIRO LEÃO,221,253
55,ADELSON BARRETO,175,1460
55,ADEMIR CAMILO,520,437
55,ADEMIR CAMILO,520,717
55,ADEMIR CAMILO,520,53
55,ADÉRMIS MARINI,596,141
55,ADILTON SACHETTI,401,1002
55,ADILTON SACHETTI,401,337
55,AELTON FREITAS,224,1460
55,AFONSO FLORENCE,182,1460
55,AFONSO HAMM,487,1460
55,AFONSO MOTTA,490,1460
55,AGUINALDO RIBEIRO,129,1460
55,ALAN RICK,53,1460
55,ALBERTO FILHO,548,846
55,ALBERTO FILHO,548,78
55,ALBERTO FILHO,548,175
55,ALBERTO FILHO,548,30
55,ALBERTO FRAGA,410,1460
55,ALCEU MOREIRA,486,1460
55,ALESSANDRO MOLON,287,1460
55,ALEX CANZIANI,445,1460
55,ALEX MANENTE,331,1460
55,ALEXANDRE BALDY,416,1025
55,ALEXANDRE LEITE,334,1460
55,ALEXANDRE SERFIOTIS,284,8
55,ALEXANDRE SERFIOTIS,284,306
55,ALEXANDRE SERFIOTIS,284,57
55,ALEXANDRE SERFIOTIS,284,1077
55,ALEXANDRE VALLE,285,1460
55,ALFREDO KAEFER,451,1460
55,ALFREDO NASCIMENTO,36,1460
55,ALICE PORTUGAL,180,1460
55,ALIEL MACHADO,441,1460
55,ALTINEU CÔRTES,286,1460
55,ALUISIO MENDES,68,1460
55,ANA PERUGINI,332,1460
55,ANDERSON FERREIRA,142,700
55,ANDRÉ ABDON,9,1460
55,ANDRÉ AMARAL,583,120
55,ANDRÉ AMARAL,583,760
55,ANDRÉ DE PAULA,140,8
55,ANDRÉ DE PAULA,140,6
55,ANDRÉ DE PAULA,140,7
55,ANDRÉ DE PAULA,140,885
55,ANDRÉ FIGUEIREDO,89,246
55,ANDRÉ FIGUEIREDO,89,994
55,ANDRÉ FUFUCA,72,505
55,ANDRÉ FUFUCA,72,834
55,ANDRE MOURA,174,1460
55,ANDREIA ZITO,626,23
55,ANDRES SANCHEZ,341,1460
55,ANGELA ALBINO,559,160
55,ANGELA ALBINO,559,65
55,ANGELA ALBINO,559,91
55,ANGELA ALBINO,559,72
55,ANGELIM,52,1460
55,ANÍBAL GOMES,87,452
55,ANÍBAL GOMES,87,868
55,ANTONIO BALHMANN,93,186
55,ANTONIO BALHMANN,93,297
55,ANTONIO BRITO,189,1460
55,ANTONIO BULHÕES,333,1460
55,ANTONIO CARLOS MENDES THAME,519,154
55,ANTONIO CARLOS MENDES THAME,519,97
55,ANTONIO CARLOS MENDES THAME,519,176
55,ANTONIO CARLOS MENDES THAME,519,183
55,ANTONIO CARLOS MENDES THAME,519,832
55,ANTONIO IMBASSAHY,191,733
55,ANTONIO IMBASSAHY,191,1
55,ANTONIO IMBASSAHY,191,6
55,ANTONIO IMBASSAHY,191,413
55,ANTÔNIO JÁCOME,121,1460
55,ARIOSTO HOLANDA,555,219
55,ARIOSTO HOLANDA,555,463
55,ARLINDO CHINAGLIA,336,1460
55,ARNALDO FARIA DE SÁ,337,1460
55,ARNALDO JARDIM,339,2
55,ARNALDO JARDIM,339,7
55,ARNALDO JARDIM,339,2
55,ARNALDO JARDIM,339,5
55,ARNALDO JARDIM,339,2
55,ARNALDO JARDIM,339,2
55,ARNALDO JARDIM,339,300
55,ARNALDO JORDY,18,1460
55,ARNON BEZERRA,90,700
55,AROLDE DE OLIVEIRA,288,5
55,AROLDE DE OLIVEIRA,288,10
55,AROLDE DE OLIVEIRA,288,15
55,AROLDE DE OLIVEIRA,288,793
55,ARTHUR LIRA,162,1460
55,ARTHUR OLIVEIRA MAIA,192,1460
55,ARTHUR VIRGÍLIO BISNETO,37,954
55,ARTHUR VIRGÍLIO BISNETO,37,227
55,ASSIS CARVALHO,111,1460
55,ASSIS DO COUTO,443,1460
55,ASSIS MELO,597,114
55,ASSIS MELO,597,96
55,ASSIS MELO,597,78
55,ASSIS MELO,597,59
55,ÁTILA A. NUNES,564,48
55,ÁTILA LINS,38,1460
55,ÁTILA LIRA,109,1460
55,AUGUSTO CARVALHO,411,1460
55,AUGUSTO COUTINHO,528,1457
55,AUREO,290,1460
55,BACELAR,184,1460
55,BALEIA ROSSI,342,1460
55,BEBETO,185,1460
55,BENEDITA DA SILVA,291,472
55,BENEDITA DA SILVA,291,867
55,BENITO GAMA,190,1460
55,BENJAMIN MARANHÃO,131,1460
55,BETINHO GOMES,141,1460
55,BETO FARO,19,1460
55,BETO MANSUR,340,1460
55,BETO ROSADO,122,1460
55,BETO SALAME,20,1460
55,BILAC PINTO,232,1460
55,BOHN GASS,499,1460
55,BONIFÁCIO DE ANDRADA,222,1460
55,BOSCO COSTA,582,121
55,BRUNA FURLAN,335,1460
55,BRUNNY,223,1460
55,BRUNO ARAÚJO,146,466
55,BRUNO ARAÚJO,146,1
55,BRUNO ARAÚJO,146,6
55,BRUNO ARAÚJO,146,1
55,BRUNO ARAÚJO,146,1
55,BRUNO ARAÚJO,146,6
55,BRUNO ARAÚJO,146,443
55,BRUNO COVAS,343,700
55,CABO DACIOLO,289,1460
55,CABO SABINO,94,1460
55,CABUÇU BORGES,14,1460
55,CACÁ LEÃO,193,1460
55,CAETANO,196,1460
55,CAIO NARCIO,225,1460
55,CAJAR NARDES,577,989
55,CAPITÃO AUGUSTO,346,1460
55,CAPITÃO FÁBIO ABREU,112,37
55,CAPITÃO FÁBIO ABREU,112,1
55,CAPITÃO FÁBIO ABREU,112,4
55,CAPITÃO FÁBIO ABREU,112,3
55,CAPITÃO FÁBIO ABREU,112,8
55,CAPITÃO FÁBIO ABREU,112,297
55,CARLA STEPHANINI,625,28
55,CARLOS ANDRADE,3,1460
55,CARLOS BEZERRA,400,1460
55,CARLOS EDUARDO CADOCA,530,435
55,CARLOS EDUARDO CADOCA,530,469
55,CARLOS EDUARDO CADOCA,530,78
55,CARLOS EDUARDO CADOCA,530,2
55,CARLOS EDUARDO CADOCA,530,162
