ano,legislatura,anolegislatura,uf,partido,tipo,representatividade,distancia,vagas,eleitores,cota,valor
2017,55,3,AC,DEM,LOCAÇÃO DE AUTOMÓVEIS,21,2246,8,506724,44260.60,69733.61
2017,55,3,AC,MDB,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,65,2246,8,506724,44260.60,2660.00
2015,55,1,AC,PSB,TELEFONIA,34,2246,8,506724,44260.60,11859.73
2015,55,1,AC,MDB,COMBUSTÍVEIS E LUBRIFICANTES,65,2246,8,506724,44260.60,106152.72
2016,55,2,AC,PT,LOCAÇÃO DE AUTOMÓVEIS,68,2246,8,506724,44260.60,232173.43
2017,55,3,AC,PSB,COMBUSTÍVEIS E LUBRIFICANTES,34,2246,8,506724,44260.60,64458.97
2018,55,4,AC,PSB,COMBUSTÍVEIS E LUBRIFICANTES,34,2246,8,506724,44260.60,65850.77
2017,55,3,AC,PSDB,LOCAÇÃO DE AUTOMÓVEIS,54,2246,8,506724,44260.60,90046.91
2017,55,3,AC,MDB,LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES,65,2246,8,506724,44260.60,5300.00
2016,55,2,AC,PSB,MANUTENÇÃO DE ESCRITÓRIO,34,2246,8,506724,44260.60,756.00
2016,55,2,AC,PSB,TELEFONIA,34,2246,8,506724,44260.60,11021.74
2015,55,1,AC,PT,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",68,2246,8,506724,44260.60,83.00
2015,55,1,AC,PT,ASSESSORIA TÉCNICA/JURÍDICA,68,2246,8,506724,44260.60,6198.05
2016,55,2,AC,PCdoB,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",10,2246,8,506724,44260.60,2915.00
2016,55,2,AC,PCdoB,TELEFONIA,10,2246,8,506724,44260.60,1073.18
2016,55,2,AC,PSDB,ASSINATURA DE PUBLICAÇÕES,54,2246,8,506724,44260.60,2842.27
2016,55,2,AC,DEM,LOCAÇÃO DE AUTOMÓVEIS,21,2246,8,506724,44260.60,62283.17
2018,55,4,AC,MDB,TELEFONIA,65,2246,8,506724,44260.60,47117.09
2018,55,4,AC,MDB,LOCAÇÃO DE AUTOMÓVEIS,65,2246,8,506724,44260.60,69659.46
2017,55,3,AC,DEM,ASSINATURA DE PUBLICAÇÕES,21,2246,8,506724,44260.60,450.00
2018,55,4,AC,PT,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",68,2246,8,506724,44260.60,283.00
2017,55,3,AC,MDB,LOCAÇÃO OU FRETAMENTO DE AERONAVES,65,2246,8,506724,44260.60,82100.00
2018,55,4,AC,DEM,COMBUSTÍVEIS E LUBRIFICANTES,21,2246,8,506724,44260.60,57256.32
2017,55,3,AC,PSDB,SERVIÇOS POSTAIS,54,2246,8,506724,44260.60,2782.82
2016,55,2,AC,MDB,ASSESSORIA TÉCNICA/JURÍDICA,65,2246,8,506724,44260.60,68900.00
2018,55,4,AC,PSDB,PASSAGEM AÉREA,54,2246,8,506724,44260.60,201148.71
2015,55,1,AC,DEM,ASSESSORIA TÉCNICA/JURÍDICA,21,2246,8,506724,44260.60,53195.00
2018,55,4,AC,PT,TELEFONIA,68,2246,8,506724,44260.60,36842.21
2017,55,3,AC,PT,ASSESSORIA TÉCNICA/JURÍDICA,68,2246,8,506724,44260.60,33000.00
2018,55,4,AC,PCdoB,SERVIÇOS POSTAIS,10,2246,8,506724,44260.60,1056.07
2016,55,2,AC,MDB,MANUTENÇÃO DE ESCRITÓRIO,65,2246,8,506724,44260.60,58660.87
2019,55,5,AC,PSD,COMBUSTÍVEIS E LUBRIFICANTES,36,2246,8,506724,44260.60,2435.85
2019,55,5,AC,DEM,TELEFONIA,21,2246,8,506724,44260.60,429.31
2019,55,5,AC,MDB,TELEFONIA,65,2246,8,506724,44260.60,3746.07
2015,55,1,AC,PT,DIVULGAÇÃO MANDATO,68,2246,8,506724,44260.60,205811.25
2015,55,1,AC,MDB,PASSAGEM AÉREA,65,2246,8,506724,44260.60,246161.49
2018,55,4,AC,PSDB,DIVULGAÇÃO MANDATO,54,2246,8,506724,44260.60,148196.52
2017,55,3,AC,PCdoB,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,2246,8,506724,44260.60,52.20
2016,55,2,AC,PSB,ASSESSORIA TÉCNICA/JURÍDICA,34,2246,8,506724,44260.60,67500.00
2015,55,1,AC,PT,MANUTENÇÃO DE ESCRITÓRIO,68,2246,8,506724,44260.60,222104.70
2016,55,2,AC,MDB,LOCAÇÃO DE AUTOMÓVEIS,65,2246,8,506724,44260.60,47823.80
2018,55,4,AC,PSB,SERVIÇOS POSTAIS,34,2246,8,506724,44260.60,1856.97
2015,55,1,AC,PSDB,LOCAÇÃO OU FRETAMENTO DE AERONAVES,54,2246,8,506724,44260.60,13500.00
2015,55,1,AC,PSB,MANUTENÇÃO DE ESCRITÓRIO,34,2246,8,506724,44260.60,1099.50
2016,55,2,AC,MDB,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",65,2246,8,506724,44260.60,3303.25
2015,55,1,AC,PSB,LOCAÇÃO DE AUTOMÓVEIS,34,2246,8,506724,44260.60,48845.71
2015,55,1,AC,MDB,TELEFONIA,65,2246,8,506724,44260.60,41389.75
2017,55,3,AC,PSB,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,2246,8,506724,44260.60,218.00
2015,55,1,AC,PSB,COMBUSTÍVEIS E LUBRIFICANTES,34,2246,8,506724,44260.60,46798.34
2017,55,3,AC,PCdoB,SERVIÇOS POSTAIS,10,2246,8,506724,44260.60,7250.12
2017,55,3,AC,PSDB,PASSAGEM AÉREA,54,2246,8,506724,44260.60,218674.23
2016,55,2,AC,PCdoB,SERVIÇOS POSTAIS,10,2246,8,506724,44260.60,81.83
2019,55,5,AC,REPUBLICANOS,PASSAGEM AÉREA,21,2246,8,506724,44260.60,959.47
2018,55,4,AC,MDB,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,65,2246,8,506724,44260.60,3192.00
2016,55,2,AC,DEM,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",21,2246,8,506724,44260.60,1108.50
2017,55,3,AC,MDB,LOCAÇÃO DE AUTOMÓVEIS,65,2246,8,506724,44260.60,51858.00
2018,55,4,AC,PCdoB,LOCAÇÃO OU FRETAMENTO DE AERONAVES,10,2246,8,506724,44260.60,36890.00
2017,55,3,AC,DEM,SERVIÇOS POSTAIS,21,2246,8,506724,44260.60,7630.83
2015,55,1,AC,PSDB,COMBUSTÍVEIS E LUBRIFICANTES,54,2246,8,506724,44260.60,40880.63
2018,55,4,AC,PSB,DIVULGAÇÃO MANDATO,34,2246,8,506724,44260.60,54150.00
2018,55,4,AC,PT,LOCAÇÃO OU FRETAMENTO DE AERONAVES,68,2246,8,506724,44260.60,6500.00
2016,55,2,AC,PT,TELEFONIA,68,2246,8,506724,44260.60,50245.40
2018,55,4,AC,MDB,LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES,65,2246,8,506724,44260.60,1005.00
2017,55,3,AC,PSDB,LOCAÇÃO OU FRETAMENTO DE AERONAVES,54,2246,8,506724,44260.60,6200.00
2018,55,4,AC,MDB,PASSAGEM AÉREA,65,2246,8,506724,44260.60,317892.89
2017,55,3,AC,PSDB,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,54,2246,8,506724,44260.60,723.11
2018,55,4,AC,PSDB,SERVIÇOS POSTAIS,54,2246,8,506724,44260.60,908.63
2017,55,3,AC,MDB,SERVIÇOS POSTAIS,65,2246,8,506724,44260.60,11392.73
2015,55,1,AC,PT,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",68,2246,8,506724,44260.60,1867.70
2017,55,3,AC,PT,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",68,2246,8,506724,44260.60,527.40
2015,55,1,AC,MDB,ASSESSORIA TÉCNICA/JURÍDICA,65,2246,8,506724,44260.60,69000.00
2017,55,3,AC,DEM,MANUTENÇÃO DE ESCRITÓRIO,21,2246,8,506724,44260.60,24707.66
2019,55,5,AC,PSD,TELEFONIA,36,2246,8,506724,44260.60,33.55
2017,55,3,AC,DEM,DIVULGAÇÃO MANDATO,21,2246,8,506724,44260.60,258375.00
2017,55,3,AC,PT,SERVIÇOS POSTAIS,68,2246,8,506724,44260.60,9984.03
2016,55,2,AC,PSDB,SERVIÇOS POSTAIS,54,2246,8,506724,44260.60,3808.46
2017,55,3,AC,MDB,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",65,2246,8,506724,44260.60,9204.00
2016,55,2,AC,DEM,TELEFONIA,21,2246,8,506724,44260.60,12341.06
2015,55,1,AC,PSDB,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",54,2246,8,506724,44260.60,6989.17
2016,55,2,AC,PSB,SERVIÇOS POSTAIS,34,2246,8,506724,44260.60,382.14
2018,55,4,AC,MDB,LOCAÇÃO OU FRETAMENTO DE AERONAVES,65,2246,8,506724,44260.60,18700.00
2019,55,5,AC,PT,SERVIÇOS POSTAIS,68,2246,8,506724,44260.60,1257.18
2018,55,4,AC,PCdoB,LOCAÇÃO DE AUTOMÓVEIS,10,2246,8,506724,44260.60,9400.00
2015,55,1,AC,DEM,SERVIÇOS POSTAIS,21,2246,8,506724,44260.60,1903.82
2017,55,3,AC,PSDB,MANUTENÇÃO DE ESCRITÓRIO,54,2246,8,506724,44260.60,10103.00
2015,55,1,AC,PSB,LOCAÇÃO OU FRETAMENTO DE AERONAVES,34,2246,8,506724,44260.60,43600.00
2015,55,1,AC,PT,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,68,2246,8,506724,44260.60,5203.08
2017,55,3,AC,PSDB,ASSESSORIA TÉCNICA/JURÍDICA,54,2246,8,506724,44260.60,600.00
2017,55,3,AC,PCdoB,LOCAÇÃO DE AUTOMÓVEIS,10,2246,8,506724,44260.60,36794.12
