partido,deputados,valor
PATRIOTA,14,16493757.87
REDE,1,6077029.08
PSB,66,78082624.30
PP,76,182648980.14
PODEMOS,26,50432450.48
MDB,99,153336789.46
SOLIDARIEDADE,28,29309730.12
PV,12,12107393.73
PRTB,1,167413.30
REPUBLICANOS,51,114776591.28
AVANTE,9,18523099.69
CIDADANIA,18,21657273.47
PROS,19,26729778.96
PL,67,179867459.27
NOVO,8,3544183.00
PSDB,83,114247543.59
PT,122,194987024.98
PDT,48,67033312.92
PSD,71,134821824.64
PSC,21,25415361.83
PTB,35,36845645.36
PSOL,15,19253717.32
PCdoB,20,37504165.41
S.PART.,,14.18
