uf,distancia,cota,valor
AC,2246,44260.60,4242952.55
AL,1485,40572.24,3632644.20
AM,1932,43198.26,3743349.69
AP,1791,43002.92,4101853.09
BA,1060,38638.99,3598953.26
CE,1687,42079.91,3803642.75
DF,0,30416.80,2197422.14
ES,947,37052.05,3209951.34
GO,173,35135.20,2872450.02
MA,1524,41779.83,3834242.43
MG,624,35720.85,3145730.28
MS,878,40170.98,3420290.94
MT,877,39056.17,3407964.77
PA,1592,41855.59,3786993.35
PB,1716,41660.70,3735612.87
PE,1657,41304.94,3673330.84
PI,1313,40599.91,3704270.93
PR,1081,38500.00,3375670.50
RJ,933,35388.11,3129187.98
RN,1775,42360.13,3812664.81
RO,1900,43300.63,3411050.00
RR,2496,45240.67,4187685.76
RS,1619,40504.04,3433911.76
SC,1314,39505.92,2911842.30
SE,1292,39767.40,3624671.92
SP,850,36671.67,3017968.50
TO,620,39131.75,3735022.98
