distancia,vagas,eleitores,cota,valor
2496,8,299558,45240.67,431516.96
933,46,12141145,35388.11,1700741.09
1081,30,7865950,38500.00,970964.91
1314,16,5070212,39505.92,558756.24
878,8,1877982,40170.98,314968.90
1932,8,2428098,43198.26,290753.34
1292,8,1454165,39767.40,305330.78
1687,22,6271554,42079.91,1031559.38
1592,17,5188450,41855.59,562921.89
878,8,1818937,40170.98,228472.90
933,46,12408340,35388.11,1749134.52
173,17,4454497,35135.20,462567.50
1292,8,1454165,39767.40,268571.91
0,8,2084356,30416.80,256667.65
1314,16,4859324,39505.92,557873.28
620,8,1039439,39131.75,422304.24
873,70,31998432,36671.67,2659368.30
2496,8,299558,45240.67,225042.31
1619,31,8392033,40504.04,1290311.75
1687,22,6344483,42079.91,316662.36
1292,8,1454165,39767.40,289026.46
878,8,1877982,40170.98,315988.91
1775,8,2327451,42360.13,305729.66
1619,31,8354732,40504.04,552758.45
1485,9,1995727,40572.24,240139.04
1775,8,2327451,42360.13,329367.07
1524,18,4497336,41779.83,686346.03
1932,8,2428098,43198.26,462401.96
1314,16,4859324,39505.92,179116.46
620,8,996887,39131.75,278872.27
873,70,33040411,36671.67,2234460.78
1524,18,4537237,41779.83,737489.67
1687,22,6344483,42079.91,662280.51
1292,8,1577058,39767.40,236063.91
173,17,4331733,35135.20,371501.29
1524,18,4497336,41779.83,895889.11
2496,8,333464,45240.67,286087.90
620,8,996887,39131.75,353060.59
1292,8,1577058,39767.40,166791.03
933,46,12408340,35388.11,1319267.66
1900,8,1175733,43300.63,166299.19
1657,25,6570072,41304.94,723288.20
173,17,4454497,35135.20,394991.93
1485,9,2187967,40572.24,232077.96
2496,8,299558,45240.67,358906.39
947,10,2754728,37052.05,213810.50
1313,10,2345694,40599.91,427447.40
620,8,1039439,39131.75,451144.98
873,70,31998432,36671.67,1082740.81
873,70,31998432,36671.67,2193655.12
1716,12,2867649,41660.70,473292.03
878,8,1818937,40170.98,290108.48
620,8,996887,39131.75,415312.56
1932,8,2226891,43198.26,204317.98
2246,8,506724,44260.60,406905.39
620,8,1039439,39131.75,280018.29
1524,18,4537237,41779.83,558647.22
1791,8,512110,43002.92,307378.23
1932,8,2428098,43198.26,311245.37
878,8,1818937,40170.98,231868.99
1687,22,6271554,42079.91,721784.42
878,8,1818937,40170.98,281349.27
1775,8,2373619,42360.13,359964.91
1592,17,5188450,41855.59,648774.17
1524,18,4537237,41779.83,718140.03
1485,9,2187967,40572.24,334007.66
1592,17,5188450,41855.59,598065.90
1485,9,1995727,40572.24,312271.80
873,70,33040411,36671.67,2726558.16
1775,8,2327451,42360.13,318747.14
873,8,2330281,39056.17,296819.82
1081,30,7971087,38500.00,862736.65
947,10,2754728,37052.05,257352.89
1687,22,6271554,42079.91,431611.67
1791,8,455514,43002.92,341939.37
2496,8,299558,45240.67,379244.62
947,10,2653536,37052.05,368174.84
1592,17,5499283,41855.59,450943.24
1687,22,6344483,42079.91,931807.06
1313,10,2370894,40599.91,316482.33
1060,39,10393170,38638.99,1199180.17
1791,8,455514,43002.92,246971.91
1900,8,1127154,43300.63,303148.71
2496,8,333464,45240.67,437674.27
1592,17,5188450,41855.59,643267.23
1314,16,5070212,39505.92,252526.88
1081,30,7971087,38500.00,1123395.05
1932,8,2428098,43198.26,336364.89
2246,8,547680,44260.60,365367.61
620,8,1039439,39131.75,256635.91
1932,8,2226891,43198.26,262909.28
1791,8,512110,43002.92,338837.25
624,53,15248681,35720.85,1904682.36
1524,18,4537237,41779.83,656877.62
1485,9,2187967,40572.24,654425.71
620,8,1039439,39131.75,304377.46
2246,8,506724,44260.60,360723.49
620,8,996887,39131.75,313088.86
947,10,2754728,37052.05,268016.96
1687,22,6344483,42079.91,1295120.34
1791,8,512110,43002.92,331181.29
1292,8,1454165,39767.40,218672.39
1775,8,2373619,42360.13,189161.77
620,8,1039439,39131.75,265573.85
1314,16,5070212,39505.92,333096.97
1314,16,5070212,39505.92,539017.47
1619,31,8354732,40504.04,839231.38
624,53,15248681,35720.85,1895819.30
1775,8,2327451,42360.13,331518.36
933,46,12141145,35388.11,1240278.16
1657,25,6356307,41304.94,689667.37
1060,39,10185417,38638.99,1453863.49
933,46,12141145,35388.11,1199562.67
933,46,12408340,35388.11,1091572.32
1775,8,2327451,42360.13,385275.55
1292,8,1577058,39767.40,368155.53
1932,8,2428098,43198.26,222378.46
878,8,1877982,40170.98,442128.81
624,53,15248681,35720.85,2424268.01
1687,22,6344483,42079.91,824122.31
1932,8,2226891,43198.26,348545.48
933,46,12408340,35388.11,1285168.83
1716,12,2835882,41660.70,420732.88
1592,17,5499283,41855.59,523760.45
1657,25,6356307,41304.94,1038151.20
873,8,2330281,39056.17,202273.63
173,17,4331733,35135.20,512711.73
1619,31,8392033,40504.04,1357317.37
620,8,996887,39131.75,319363.88
1060,39,10185417,38638.99,1403969.09
873,8,2189703,39056.17,386547.45
1060,39,10185417,38638.99,1119547.41
1716,12,2835882,41660.70,499570.74
873,70,31998432,36671.67,2448791.31
1292,8,1577058,39767.40,334031.61
624,53,15700966,35720.85,2104458.01
2496,8,299558,45240.67,404488.28
0,8,2084356,30416.80,135026.37
933,46,12408340,35388.11,1113527.93
1081,30,7971087,38500.00,697216.61
0,8,1897677,30416.80,250611.00
2496,8,299558,45240.67,228536.92
933,46,12408340,35388.11,1174088.62
1081,30,7865950,38500.00,998901.61
1313,10,2370894,40599.91,388878.00
2246,8,506724,44260.60,382113.17
1313,10,2370894,40599.91,358045.97
173,17,4331733,35135.20,359857.42
878,8,1818937,40170.98,353214.65
1619,31,8392033,40504.04,986094.46
933,46,12141145,35388.11,2042150.06
173,17,4454497,35135.20,582833.65
1485,9,1995727,40572.24,395091.09
1791,8,455514,43002.92,302781.99
1081,30,7865950,38500.00,766419.78
1932,8,2428098,43198.26,303898.19
0,8,1897677,30416.80,238607.14
624,53,15700966,35720.85,1519896.06
