"Capital";"Distância Aérea";"UF"
"Aracajú";1292;"SE"
"Belém";1592;"PA"
"Belo Horizonte";624;"MG"
"Boa Vista";2496;"RR"
"Brasília";0;"DF"
"Campo Grande";878;"MS"
"Cuiabá";877;"MT"
"Curitiba";1081;"PR"
"Florianópolis";1314;"SC"
"Fortaleza";1687;"CE"
"Goiânia";173;"GO"
"João Pessoa";1716;"PB"
"Macapá";1791;"AP"
"Maceió";1485;"AL"
"Manaus";1932;"AM"
"Natal";1775;"RN"
"Palmas";620;"TO"
"Porto Alegre";1619;"RS"
"Porto Velho";1900;"RO"
"R. Janeiro";933;"RJ"
"Recife";1657;"PE"
"Rio Branco";2246;"AC"
"Salvador";1060;"BA"
"São Luis";1524;"MA"
"São Paulo";850;"SP"
"Teresina";1313;"PI"
"Vitória";947;"ES"
