iddeputado,nome,siglapartido,siglauf,idlegislatura
204554,"Abílio Santana",PSC,BA,56
204521,"Abou Anni",UNIÃO,SP,56
204379,"Acácio Favacho",MDB,AP,56
204560,"Adolfo Viana",PSDB,BA,56
204528,"Adriana Ventura",NOVO,SP,56
121948,"Adriano do Baldy",PP,GO,56
74646,"Aécio Neves",PSDB,MG,56
141372,"Aelton Freitas",PP,MG,56
160508,"Afonso Florence",PT,BA,56
136811,"Afonso Hamm",PP,RS,56
178835,"Afonso Motta",PDT,RS,56
160527,"Aguinaldo Ribeiro",PP,PB,56
204495,"Airton Faleiro",PT,PA,56
204549,"AJ Albuquerque",PP,CE,56
178836,"Alan Rick",UNIÃO,AC,56
160559,"Alceu Moreira",MDB,RS,56
204413,"Alcides Rodrigues",PATRIOTA,GO,56
204545,"Alê Silva",REPUBLICANOS,MG,56
204501,"Alencar Santana",PT,SP,56
160511,"Alessandro Molon",PSB,RJ,56
178972,"Alex Manente",CIDADANIA,SP,56
204571,"Alex Santana",REPUBLICANOS,BA,56
105534,"Alexandre Figueiredo",PSD,SE,56
204544,"Alexandre Frota",PSDB,SP,56
160545,"Alexandre Leite",UNIÃO,SP,56
204503,"Alexandre Padilha",PT,SP,56
178833,"Alexandre Serfiotis",PSD,RJ,56
204516,"Alexis Fonteyne",NOVO,SP,56
74057,"Alice Portugal",PCdoB,BA,56
178927,"Aliel Machado",PV,PR,56
204353,"Aline Gurgel",REPUBLICANOS,AP,56
204400,"Aline Sleutjes",PROS,PR,56
178937,"Altineu Côrtes",PL,RJ,56
178881,"Aluisio Mendes",PSC,MA,56
204356,"Amaro Neto",REPUBLICANOS,ES,56
178831,"André Abdon",PP,AP,56
74471,"André de Paula",PSD,PE,56
204423,"André Ferreira",PL,PE,56
133439,"André Figueiredo",PDT,CE,56
178882,"André Fufuca",PP,MA,56
204515,"André Janones",AVANTE,MG,56
73696,"Angela Amin",PP,SC,56
74212,"Aníbal Gomes",UNIÃO,CE,56
123756,"Antônia Lúcia",REPUBLICANOS,AC,56
160553,"Antonio Brito",PSD,BA,56
73433,"Arlindo Chinaglia",PT,SP,56
73434,"ARNALDO FARIA DE SÁ",PP,SP,56
141391,"Arnaldo Jardim",CIDADANIA,SP,56
204414,"Aroldo Martins",REPUBLICANOS,PR,56
160541,"Arthur Lira",PP,AL,56
160600,"Arthur Oliveira Maia",UNIÃO,BA,56
159237,"Assis Carvalho",PT,PI,56
74090,"Átila Lins",PSD,AM,56
74459,"Átila Lira",PP,PI,56
160665,"Augusto Coutinho",REPUBLICANOS,PE,56
204509,"Áurea Carolina",PSOL,MG,56
160512,"Aureo Ribeiro",SOLIDARIEDADE,RJ,56
69871,Bacelar,PV,BA,56
178975,"Baleia Rossi",MDB,SP,56
73701,"Benedita da Silva",PT,RJ,56
109429,"Benes Leocádio",UNIÃO,RN,56
141335,"Beto Faro",PT,PA,56
204358,"Beto Pereira",PSDB,MS,56
178948,"Beto Rosado",PP,RN,56
207176,"Bia Cavassa",PSDB,MS,56
204374,"Bia Kicis",PL,DF,56
204388,"Bibo Nunes",PL,RS,56
141513,"Bilac Pinto",UNIÃO,MG,56
204561,"Bira do Pindaré",PSB,MA,56
204397,"Boca Aberta",PROS,PR,56
160538,"Bohn Gass",PT,RS,56
74052,"Bosco Costa",PL,SE,56
204551,"Bosco Saraiva",SOLIDARIEDADE,AM,56
204502,Bozzella,UNIÃO,SP,56
160589,"Bruna Furlan",PSDB,SP,56
93083,"Cacá Leão",PP,BA,56
178853,Caetano,PT,BA,56
204352,"Camilo Capiberibe",PSB,AP,56
204572,"Capitão Alberto Neto",PL,AM,56
178829,"Capitão Augusto",PL,SP,56
204531,"Capitão Derrite",PL,SP,56
178924,"Capitão Fábio Abreu",PSD,PI,56
204487,"Capitão Wagner",UNIÃO,CE,56
213762,"Carla Dickson",UNIÃO,RN,56
204507,"Carla Zambelli",PL,SP,56
141401,"Carlos Bezerra",MDB,MT,56
204361,"Carlos Chiodini",MDB,SC,56
178962,"Carlos Gomes",REPUBLICANOS,RS,56
178993,"Carlos Henrique Gaguim",UNIÃO,TO,56
204460,"Carlos Jordy",PL,RJ,56
74262,"Carlos Sampaio",PSDB,SP,56
204426,"Carlos Veras",PT,PE,56
141398,"Carlos Zarattini",PT,SP,56
164360,"Carmen Zanotto",CIDADANIA,SC,56
204369,"Caroline de Toni",PL,SC,56
204499,"Cássio Andrade",PSB,PA,56
204380,"Celina Leão",PP,DF,56
204370,"Célio Moura",PT,TO,56
178876,"Célio Silveira",MDB,GO,56
204488,"Célio Studart",PSD,CE,56
141405,"Celso Maldaner",MDB,SC,56
73441,"Celso Russomanno",REPUBLICANOS,SP,56
204496,"Celso Sabino",UNIÃO,PA,56
204504,"Cezinha de Madureira",PSD,SP,56
205476,"Charles Fernandes",PSD,BA,56
204490,"Charlles Evangelista",PP,MG,56
141439,"Chico D'Angelo",PDT,RJ,56
141440,"CHICO LOPES",PCdoB,CE,56
204476,"Chiquinho Brazão",UNIÃO,RJ,56
204462,"Chris Tonietto",PL,RJ,56
178928,"Christiane de Souza Yared",PP,PR,56
204440,"Christino Aureo",PP,RJ,56
178939,"Clarissa Garotinho",UNIÃO,RJ,56
74537,"Claudio Cajado",PP,BA,56
141408,"Cleber Verde",REPUBLICANOS,MA,56
204376,"Coronel Armando",PL,SC,56
204378,"Coronel Chrisóstomo",PL,RO,56
204514,"Coronel Tadeu",PL,SP,56
178963,"Covatti Filho",PP,RS,56
135054,"Cristiano Vale",PP,PA,56
204355,"Da Vitoria",PP,ES,56
141411,"Dagoberto Nogueira",PSDB,MS,56
