Legislatura,nome parlamentar,total_dias_de_mandato
54,ABELARDO CAMARINHA,181
54,ABELARDO CAMARINHA,1149
54,ABELARDO LUPION,1460
54,ACELINO POPÓ,1153
54,ACELINO POPÓ,239
54,ADEMIR CAMILO,1460
54,ADRIAN,1460
54,AELTON FREITAS,1460
54,AFONSO FLORENCE,1
54,AFONSO FLORENCE,1053
54,AFONSO HAMM,1460
54,AFONSO MOTTA,30
54,AGUINALDO RIBEIRO,370
54,AGUINALDO RIBEIRO,313
54,AKIRA OTSUBO,621
54,AKIRA OTSUBO,32
54,ALBERTO FILHO,490
54,ALBERTO FILHO,849
54,ALBERTO MOURÃO,484
54,ALBERTO MOURÃO,134
54,ALCEU MOREIRA,1460
54,ALDO REBELO,272
54,ALESSANDRO MOLON,1460
54,ALEX CANZIANI,1460
54,ALEXANDRE CARDOSO,2
54,ALEXANDRE CARDOSO,200
54,ALEXANDRE LEITE,1460
54,ALEXANDRE ROSO,1460
54,ALEXANDRE SANTOS,1460
54,ALEXANDRE SILVEIRA,2
54,ALEXANDRE SILVEIRA,9
54,ALEXANDRE SILVEIRA,9
54,ALEXANDRE SILVEIRA,1
54,ALEXANDRE SILVEIRA,299
54,ALEXANDRE TOLEDO,4
54,ALEXANDRE TOLEDO,528
54,ALEXANDRE TOLEDO,83
54,ALFREDO KAEFER,1460
54,ALFREDO SIRKIS,1460
54,ALICE PORTUGAL,1460
54,ALINE CORRÊA,1460
54,ALMEIDA LIMA,1460
54,AMAURI TEIXEIRA,1460
54,AMIR LANDO,520
54,ANA ARRAES,261
54,ANDERSON FERREIRA,1460
54,ANDRÉ DE PAULA,295
54,ANDRÉ DIAS,313
54,ANDRÉ FIGUEIREDO,1460
54,ANDRE MOURA,1460
54,ANDRE VARGAS,1409
54,ANDRÉ ZACHAROW,1460
54,ANDREIA ZITO,1460
54,ÂNGELO AGNOLIN,1460
54,ANGELO VANHONI,1460
54,ANÍBAL GOMES,1460
54,ANSELMO DE JESUS,758
54,ANTHONY GAROTINHO,1460
54,ANTÔNIA LÚCIA,1460
54,ANTÔNIO ANDRADE,774
54,ANTÔNIO ANDRADE,288
54,ANTONIO BALHMANN,1460
54,ANTONIO BRITO,1460
54,ANTONIO BULHÕES,1460
54,ANTONIO CARLOS MAGALHÃES NETO,699
54,ANTONIO CARLOS MENDES THAME,1460
54,ANTONIO IMBASSAHY,1460
54,ANTÔNIO ROBERTO,1192
54,ARACELY DE PAULA,1381
54,ARIOSTO HOLANDA,1460
54,ARLINDO CHINAGLIA,1460
54,ARMANDO ABÍLIO,72
54,ARMANDO ABÍLIO,121
54,ARMANDO VERGÍLIO,28
54,ARMANDO VERGÍLIO,1279
54,ARNALDO FARIA DE SÁ,1460
54,ARNALDO JARDIM,1437
54,ARNALDO JARDIM,0
54,ARNALDO JORDY,1460
54,ARNON BEZERRA,1460
54,AROLDE DE OLIVEIRA,1460
54,ARTHUR LIRA,1044
54,ARTHUR LIRA,294
54,ARTHUR OLIVEIRA MAIA,1460
54,ARTUR BRUNO,1430
54,ASDRUBAL BENTES,2
54,ASDRUBAL BENTES,940
54,ASSIS CARVALHO,1460
54,ASSIS DO COUTO,1460
54,ASSIS MELO,1460
54,ÁTILA LINS,1460
54,ÁTILA LIRA,2
54,ÁTILA LIRA,303
54,AUDIFAX,519
54,AUDIFAX,59
54,AUGUSTO CARVALHO,287
54,AUGUSTO CARVALHO,193
54,AUGUSTO CARVALHO,50
54,AUGUSTO CARVALHO,110
54,AUGUSTO CARVALHO,317
54,AUGUSTO COUTINHO,1460
54,AUREO,1460
54,BEBETO GALVÃO,22
54,BENEDITA DA SILVA,1460
54,BENJAMIN MARANHÃO,520
54,BENJAMIN MARANHÃO,819
54,BERINHO BANTIM,716
54,BERINHO BANTIM,23
54,BERINHO BANTIM,37
54,BERINHO BANTIM,139
54,BERNARDO SANTANA DE VASCONCELLOS,1455
54,BETINHO ROSADO,7
54,BETINHO ROSADO,8
54,BETINHO ROSADO,4
54,BETINHO ROSADO,815
54,BETO ALBUQUERQUE,3
54,BETO ALBUQUERQUE,800
54,BETO FARO,1460
54,BETO MANSUR,1460
54,BIFFI,1460
54,BILAC PINTO,2
54,BILAC PINTO,9
54,BILAC PINTO,302
54,BOHN GASS,1460
54,BONIFÁCIO DE ANDRADA,1457
54,BRIZOLA NETO,217
54,BRIZOLA NETO,184
54,BRUNA FURLAN,1460
54,BRUNO ARAÚJO,1460
54,BRUNO RODRIGUES,25
54,CABO JULIANO RABELO,120
54,CAMILO COLA,381
54,CAMILO COLA,120
54,CAMILO COLA,759
54,CÂNDIDO VACCAREZZA,1460
54,CARLAILE PEDROSA,686
54,CARLINHOS ALMEIDA,671
54,CARLOS ALBERTO LERÉIA,1178
54,CARLOS ALBERTO LERÉIA,152
54,CARLOS BEZERRA,518
54,CARLOS BEZERRA,820
54,CARLOS BRANDÃO,245
54,CARLOS BRANDÃO,1059
54,CARLOS EDUARDO CADOCA,1460
54,CARLOS MAGNO,1460
54,CARLOS MANATO,1460
54,CARLOS MARTINS,30
54,CARLOS MELLES,2
54,CARLOS MELLES,2
54,CARLOS MELLES,302
54,CARLOS ROBERTO,199
54,CARLOS ROBERTO,342
54,CARLOS ROBERTO,122
54,CARLOS SAMPAIO,1460
54,CARLOS SOUZA,1366
54,CARLOS ZARATTINI,1460
54,CARMEN ZANOTTO,237
54,CARMEN ZANOTTO,397
54,CARMEN ZANOTTO,326
54,CARMEN ZANOTTO,115
54,CELIA ROCHA,700
54,CELSO JACOB,7
54,CELSO JACOB,391
54,CELSO MALDANER,1460
54,CESAR COLNAGO,1428
54,CÉSAR HALUM,1460
54,CEZAR SILVESTRI,1
54,CEZAR SILVESTRI,3
54,CEZAR SILVESTRI,29
54,CHICO ALENCAR,1460
54,CHICO D'ANGELO,658
54,CHICO DAS VERDURAS,99
54,CHICO DAS VERDURAS,779
54,CHICO LOPES,1460
54,CIDA BORGHETTI,862
54,CIDA BORGHETTI,443
54,CLAUDIO CAJADO,1460
54,CLÁUDIO PUTY,1460
54,CLEBER VERDE,485
54,CLEBER VERDE,854
54,COLBERT MARTINS,460
54,COLBERT MARTINS,118
54,COSTA FERREIRA,80
54,COSTA FERREIRA,913
54,CRISTIANO,192
54,DALVA FIGUEIREDO,1460
54,DAMIÃO FELICIANO,1460
54,DANIEL ALMEIDA,1460
54,DANILO CABRAL,13
54,DANILO CABRAL,13
54,DANILO CABRAL,262
54,DANILO FORTE,1460
54,DANRLEI DE DEUS HINTERHOLZ,1460
54,DARCÍSIO PERONDI,1460
54,DAVI ALCOLUMBRE,1460
54,DAVI ALVES SILVA JÚNIOR,1458
54,DÉCIO LIMA,1460
54,DELEGADO PROTÓGENES,1460
54,DELEGADO WALDIR,133
54,DELEY,252
54,DELEY,201
54,DELEY,30
54,DELEY,423
54,DENILSON TEIXEIRA,44
54,DEVANIR RIBEIRO,1460
54,DIEGO ANDRADE,1460
