"Legislatura","carteira","dias"
55,1,1460
55,92,289
55,92,1021
55,138,1460
55,221,33
55,221,1127
55,221,253
55,175,1460
55,520,437
55,520,717
55,520,53
55,596,141
55,401,1002
55,401,337
55,224,1460
55,182,1460
55,487,1460
55,490,1460
55,129,1460
55,53,1460
55,548,846
55,548,78
55,548,175
55,548,30
55,410,1460
55,486,1460
55,287,1460
55,445,1460
55,331,1460
55,416,1025
55,334,1460
55,284,8
55,284,306
55,284,57
55,284,1077
55,285,1460
55,451,1460
55,36,1460
55,180,1460
55,441,1460
55,286,1460
55,68,1460
55,332,1460
55,142,700
55,9,1460
55,583,120
55,583,760
55,140,8
55,140,6
55,140,7
55,140,885
55,89,246
55,89,994
55,72,505
55,72,834
55,174,1460
55,626,23
55,341,1460
55,559,160
55,559,65
55,559,91
55,559,72
55,52,1460
55,87,452
55,87,868
55,93,186
55,93,297
55,189,1460
55,333,1460
55,519,154
55,519,97
55,519,176
55,519,183
55,519,832
55,191,733
55,191,1
55,191,6
55,191,413
55,121,1460
55,555,219
55,555,463
55,336,1460
55,337,1460
55,339,2
55,339,7
55,339,2
55,339,5
55,339,2
55,339,2
55,339,300
55,18,1460
55,90,700
55,288,5
55,288,10
55,288,15
55,288,793
55,162,1460
55,192,1460
55,37,954
55,37,227
55,111,1460
55,443,1460
55,597,114
55,597,96
55,597,78
55,597,59
55,564,48
55,38,1460
55,109,1460
55,411,1460
55,528,1457
55,290,1460
55,184,1460
55,342,1460
55,185,1460
55,291,472
55,291,867
55,190,1460
55,131,1460
55,141,1460
55,19,1460
55,340,1460
55,122,1460
55,20,1460
55,232,1460
55,499,1460
55,222,1460
55,582,121
55,335,1460
55,223,1460
55,146,466
55,146,1
55,146,6
55,146,1
55,146,1
55,146,6
55,146,443
55,343,700
55,289,1460
55,94,1460
55,14,1460
55,193,1460
55,196,1460
55,225,1460
55,577,989
55,346,1460
55,112,37
55,112,1
55,112,4
55,112,3
55,112,8
55,112,297
55,625,28
55,3,1460
55,400,1460
55,530,435
55,530,469
55,530,78
55,530,2
55,530,162
55,492,1460
55,60,1460
55,275,1460
55,433,1048
55,226,1460
55,338,1460
55,606,220
55,606,15
55,398,1460
55,477,1460
55,417,1460
55,537,2
55,537,12
55,537,93
55,537,308
55,537,82
55,537,653
55,537,237
55,472,1460
55,292,246
55,292,1022
55,347,1460
55,64,1460
55,55,1460
55,479,268
55,479,34
55,479,6
55,479,6
55,479,7
55,479,687
55,295,1460
55,293,1460
55,88,1460
55,442,1460
55,165,477
55,165,861
55,294,700
55,294,300
55,186,1460
55,70,1460
55,41,1460
55,624,28
55,493,1460
55,571,146
55,571,14
55,571,182
55,571,97
55,571,76
55,571,161
55,296,1460
55,434,1460
55,127,1460
55,227,1460
55,188,1460
55,144,1460
55,420,1460
55,148,3
55,148,6
55,148,975
55,95,1460
55,495,1460
55,491,1460
55,579,191
55,525,153
55,525,207
55,525,173
55,525,212
55,525,232
55,475,1460
55,594,459
55,22,1460
55,229,1460
55,450,2
55,450,1351
55,421,1460
55,298,312
55,298,42
55,298,1077
55,543,42
55,543,176
55,543,160
55,228,1460
55,447,1460
55,444,1173
55,444,14
55,444,31
55,231,1460
55,97,1460
55,233,1460
55,299,700
55,278,1460
55,351,1460
55,350,2
55,350,7
55,350,2
55,350,271
55,61,1277
55,61,62
55,344,1
55,344,454
55,532,20
55,532,399
55,532,267
55,532,36
55,2,1460
55,446,410
55,446,929
55,27,1460
55,230,1460
55,352,1460
55,300,459
55,353,1460
55,156,1460
55,128,1460
55,21,1460
55,345,1460
55,538,1451
55,73,1460
55,198,1460
55,449,1460
55,407,1460
55,194,1460
55,618,68
55,242,1460
55,471,1460
55,614,110
55,274,1460
55,354,1460
55,452,1460
55,44,1460
55,402,351
55,402,988
55,303,317
55,303,1073
55,309,107
55,309,4
55,309,238
55,119,1460
55,403,1460
55,177,1460
55,238,1460
55,178,1460
55,426,1460
55,608,407
55,552,119
55,355,1460
55,301,1431
55,145,3
55,145,4
55,145,4
55,145,300
55,120,1460
55,620,44
55,195,1460
55,158,466
55,158,1
55,158,1
55,158,1
55,158,1
55,158,8
55,158,300
55,310,699
55,534,238
55,529,436
55,529,716
55,529,30
55,523,154
55,523,207
55,523,355
55,523,2
55,523,21
55,523,496
55,422,1460
55,54,1460
55,357,1460
55,556,134
55,556,56
55,556,9
55,358,2
55,358,7
55,358,7
55,358,2
55,358,5
55,358,2
55,358,2
55,358,300
55,28,1460
55,297,1460
55,544,1171
55,615,183
55,617,44
55,244,1460
55,99,1460
55,241,1
55,241,1035
55,482,1460
55,435,1430
55,466,1460
55,360,1460
55,502,1460
55,494,11
55,494,1
55,494,300
55,627,23
55,429,1460
55,166,1460
55,276,1460
55,304,1460
55,143,1460
55,100,1460
55,361,1460
55,572,56
55,572,35
55,572,28
55,572,82
55,572,90
55,572,68
55,572,15
55,348,1460
55,622,29
55,504,1460
55,279,1460
55,32,1460
55,498,1460
55,115,1460
55,362,1460
55,448,1460
55,423,529
55,423,810
55,74,1460
55,4,1460
55,42,1460
55,306,1460
55,132,1460
55,581,120
55,315,700
55,315,363
55,113,1460
55,65,1339
55,199,442
55,199,835
55,359,1460
55,408,1460
55,599,287
55,599,100
55,240,1460
55,302,1430
55,305,1460
55,10,1460
55,147,1460
55,307,1460
55,349,1460
55,505,1460
55,56,1460
55,167,1460
55,5,1460
55,246,1460
55,455,1460
55,418,1460
55,187,1460
55,75,679
55,179,1460
55,514,1460
55,149,1460
55,200,1460
55,76,1460
55,485,4
55,485,5
55,485,34
55,485,757
55,364,1460
55,473,1460
55,33,1460
55,578,127
55,578,108
55,578,184
55,578,34
55,578,112
55,578,73
55,181,1460
55,474,152
55,474,897
55,474,163
55,150,1460
55,204,1460
55,363,1460
55,476,1460
55,101,1460
55,207,1460
55,197,1460
55,539,11
55,539,1137
55,103,1460
55,367,1460
55,201,1460
55,501,1460
55,26,1460
55,77,1460
55,203,1460
55,506,1460
55,62,1460
55,202,2
55,202,2
55,202,2
55,202,22
55,202,295
55,30,1460
55,419,1460
55,11,1460
55,34,1460
55,71,25
55,71,152
55,71,8
55,71,301
55,114,1460
55,250,1460
55,308,1460
55,621,29
55,78,1460
55,610,344
55,79,1460
55,206,1460
55,151,893
55,151,4
55,151,296
55,356,1460
55,176,1460
55,412,1460
55,234,1460
55,558,170
55,558,75
55,558,54
55,558,76
55,558,760
55,63,1460
55,453,1460
55,277,1460
55,57,1460
55,253,1460
55,312,466
55,312,1
55,312,3
55,312,300
55,255,1460
55,96,1460
55,456,1460
55,243,1460
55,45,1460
55,521,154
55,521,97
55,521,176
55,521,183
55,521,832
55,595,64
55,588,773
55,430,1460
55,153,1430
55,605,92
55,605,168
55,457,1460
55,46,1460
55,29,1429
55,205,1460
55,500,1460
55,251,1460
55,488,700
55,454,1460
55,318,700
55,318,695
55,48,1460
55,133,1460
55,256,1460
55,365,1460
55,459,1460
55,313,1460
55,371,1460
55,98,1460
55,602,115
55,104,1460
55,431,1460
55,549,55
55,549,280
55,549,181
55,549,360
55,549,161
55,368,1460
55,436,1430
55,130,700
55,366,1460
55,522,21
55,522,126
55,522,97
55,522,176
55,522,183
55,522,363
55,522,165
55,522,30
55,235,1430
55,236,1460
55,461,700
55,110,246
55,110,1
55,110,5
55,110,1008
55,592,759
55,311,1460
55,612,134
55,369,1460
55,370,1460
55,515,11
55,515,1
55,515,13
55,515,7
55,515,9
55,515,14
55,515,6
55,515,21
55,515,300
55,212,1460
55,439,2
55,319,11
55,319,6
55,319,2
55,319,27
55,319,3
55,319,5
55,319,5
55,319,4
55,319,743
55,496,1460
55,478,1460
55,507,1460
55,561,121
55,561,259
55,432,1460
55,603,36
55,603,43
55,257,1460
55,12,1460
55,49,1460
55,43,690
55,321,1460
55,254,1460
55,281,1460
55,623,29
55,237,1460
55,508,1460
55,6,1460
55,51,1460
55,152,1460
55,50,1460
55,239,800
55,239,530
55,208,1460
55,536,429
55,536,257
55,169,612
55,169,1
55,169,1
55,169,6
55,169,296
55,168,466
55,168,1
55,168,6
55,168,93
55,168,89
55,570,135
55,252,410
55,252,1022
55,480,1460
55,540,11
55,540,309
55,540,13
55,540,795
55,282,700
55,154,466
55,154,1
55,154,1
55,154,6
55,154,300
55,547,48
55,547,1
55,547,1
55,547,3
55,547,3
55,261,5
55,261,2
55,261,3
55,261,300
55,377,1460
55,378,1460
55,374,1460
55,317,1460
55,245,1460
55,375,1460
55,210,700
55,584,596
55,105,699
55,106,1460
55,509,700
55,381,1460
55,458,1460
55,563,1
55,563,14
55,567,230
55,567,463
55,209,3
55,209,2
55,209,2
55,209,920
55,247,1460
55,542,22
55,542,15
55,405,1460
55,31,1460
55,382,1460
55,47,1460
55,576,442
55,576,78
55,576,158
55,576,122
55,593,759
55,269,2
55,269,2
55,269,2
55,269,1
55,269,213
55,269,34
55,248,699
55,107,1460
55,510,1373
55,386,1460
55,531,106
55,531,821
55,463,765
55,463,609
55,497,466
55,497,1
55,497,270
55,611,111
55,316,1431
55,259,1460
55,118,1460
55,155,1460
55,569,183
55,569,16
55,569,255
55,569,162
55,249,1
55,249,5
55,249,994
55,40,1460
55,170,1460
55,263,1460
55,215,1460
55,323,1460
55,280,1460
55,380,1460
55,560,150
55,560,189
55,214,1460
55,373,1114
55,568,216
55,372,1460
55,513,1460
55,376,1460
55,428,1460
55,135,303
55,135,1036
55,80,1460
55,314,4
55,314,3
55,314,1
55,314,12
55,314,4
55,314,5
55,314,974
55,481,1460
55,172,1460
55,551,125
55,503,1
55,503,1214
55,587,330
55,587,165
55,516,1460
55,379,1460
55,609,286
55,609,31
55,616,121
55,575,60
55,406,569
55,406,770
55,67,1460
55,15,1460
55,123,1460
55,102,1460
55,258,1460
55,541,427
55,541,22
55,541,1
55,541,1
55,541,1
55,541,1
55,541,2
55,541,1
55,272,1460
55,566,1
55,566,538
55,566,194
55,566,48
55,116,50
55,116,1
55,116,6
55,116,3
55,116,4
55,116,1
55,116,297
55,7,1460
55,330,1186
55,330,139
55,590,759
55,511,1460
55,262,1460
55,462,466
55,462,296
55,585,120
55,383,1460
55,157,1460
55,384,1460
55,387,1460
55,427,1460
55,211,1460
55,385,4
55,385,8
55,385,2
55,385,1031
55,546,109
55,546,97
55,546,165
55,546,7
55,546,183
55,546,33
55,546,149
55,546,165
55,17,1221
55,17,116
55,324,1460
55,574,14
55,600,7
55,600,179
55,600,30
55,59,1430
55,601,71
55,268,1460
55,388,46
55,388,7
55,388,2
55,388,5
55,388,2
55,388,2
55,388,334
55,322,1460
55,117,1460
55,260,1460
55,124,1460
55,483,1460
55,413,1289
55,413,50
55,604,115
55,134,1197
55,484,1460
55,216,1460
55,414,1212
55,414,30
55,173,1460
55,91,1460
55,517,466
55,517,1
55,517,1
55,517,11
55,517,398
55,415,1460
55,554,120
55,325,1460
55,586,289
55,586,72
55,586,165
55,464,408
55,464,297
55,460,1460
55,425,1460
55,81,1460
55,589,235
55,409,1460
55,389,430
55,389,5
55,389,2
55,389,2
55,389,300
55,524,257
55,524,165
55,524,47
55,524,121
55,524,435
55,465,1460
55,265,1460
55,85,466
55,85,1
55,85,6
55,85,117
55,85,84
55,159,3
55,159,5
55,159,12
55,159,2
55,159,5
55,159,300
55,213,1460
55,512,1460
55,390,610
55,390,729
55,467,1460
55,283,1460
55,320,8
55,320,244
55,320,5
55,320,7
55,320,22
55,320,828
55,573,57
55,573,82
55,573,1
55,573,167
55,573,97
55,573,75
55,573,161
55,8,1460
55,58,561
55,58,302
55,526,152
55,526,281
55,526,16
55,39,1460
55,545,116
55,545,283
55,545,182
55,545,363
55,545,3
55,545,164
55,160,1460
55,391,1460
55,327,1460
55,35,1460
55,328,1460
55,329,1460
55,267,1460
55,273,1460
55,161,1460
55,469,1460
55,565,119
55,565,119
55,266,1460
55,437,1430
55,424,3
55,424,7
55,424,47
55,424,934
55,217,711
55,217,83
55,217,4
55,217,300
55,392,1460
55,264,1460
55,470,1460
55,220,1460
55,591,759
55,580,120
55,183,527
55,183,812
55,489,1460
55,218,1460
55,393,1460
55,404,886
55,404,453
55,438,1460
55,394,1460
55,137,547
55,137,792
55,553,560
55,553,519
55,395,1460
55,396,1460
55,66,1460
55,82,1460
55,397,1460
55,16,1460
55,399,1460
55,613,218
55,108,1460
55,550,150
55,550,197
55,550,120
55,550,764
55,527,152
55,527,208
55,527,71
55,219,1460
55,84,1460
55,535,17
55,535,280
55,535,1011
55,125,1460
55,518,244
55,518,760
55,619,85
55,326,700
55,270,1460
55,136,1460
55,83,219
55,83,1120
55,533,101
55,533,7
55,533,6
55,533,166
55,562,7
55,562,49
55,562,2
55,562,50
55,562,212
55,562,77
55,562,95
55,562,27
55,139,1460
55,23,1460
55,164,1460
55,607,120
55,598,756
55,557,11
55,557,48
55,557,126
55,557,19
55,557,13
55,557,460
55,557,37
55,557,30
55,86,1460
55,25,1460
55,271,1460
55,163,1460
55,468,1460
55,440,1460
55,126,1460
