"legislatura","Carteira","dias"
56,332,1461
56,10,1461
56,191,1461
56,333,1461
56,416,1461
56,221,1461
56,487,1461
56,490,1461
56,18,1461
56,87,1461
56,486,1461
56,419,1461
56,222,1461
56,337,1461
56,287,1461
56,331,1461
56,194,1461
56,340,1461
56,334,1461
56,343,1461
56,180,1461
56,441,1461
56,11,1461
56,443,1461
56,68,1461
56,275,1461
56,9,1461
56,139,1461
56,89,1461
56,72,1461
56,223,1461
56,471,1461
56,189,1461
56,336,1461
56,339,1461
56,444,1461
56,162,1461
56,192,1461
56,38,1461
56,109,1461
56,141,1461
56,290,1461
56,184,1461
56,342,1461
56,291,1461
56,120,1461
56,19,1461
56,433,1461
56,121,1461
56,409,1461
56,489,1461
56,71,1461
56,499,1461
56,174,1461
56,37,1461
56,365,1461
56,193,1461
56,12,1461
56,36,1461
56,346,1461
56,350,1461
56,473,1461
56,492,1461
56,60,1461
56,285,1461
56,338,1461
56,142,1461
56,398,1461
56,474,1461
56,20,1461
56,62,1461
56,417,1461
56,90,1461
56,472,1461
56,347,1461
56,23,1461
56,351,1461
56,196,1461
56,226,1461
56,293,1461
56,288,1461
56,289,1461
56,442,1461
56,292,1461
56,294,1461
56,186,1461
56,45,1461
56,354,1461
56,25,1461
56,276,1461
56,434,1461
56,127,1461
56,188,1461
56,476,1461
56,295,1461
56,491,1461
56,148,1461
56,519,1461
56,297,1461
56,22,1461
56,227,1461
56,40,1461
56,421,1461
56,228,1461
56,447,1461
56,231,1461
56,233,1461
56,229,1461
56,92,1461
56,402,1461
56,435,1461
56,420,1461
56,277,1461
56,59,1461
56,61,1461
56,73,1461
56,2,1461
56,230,1461
56,93,1461
56,352,1461
56,28,1461
56,353,1461
56,156,1461
56,128,1461
56,21,1461
56,63,1461
56,423,1461
56,198,1461
56,403,1461
56,234,1461
56,449,1461
56,357,1461
56,407,1461
56,242,1461
56,240,1461
56,274,1461
56,44,1461
56,175,1461
56,238,1461
56,178,1461
56,479,1461
56,436,1461
56,355,1461
56,299,1461
56,145,1461
56,446,1461
56,278,1461
56,195,1461
56,496,1461
56,158,1461
56,146,1461
56,147,1461
56,450,1461
56,422,1461
56,54,1461
56,110,1461
56,424,1461
56,241,1461
56,244,1461
56,131,1461
56,301,1461
56,99,1461
56,122,1461
