"","ano","mes","legislatura","uf","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"222","2015","2","55","AC",68,2246,8,506724,44260.6,1350,"7"
"8132","2015","2","55","AL",34,1485,9,1995727,40572.24,138.93,"41"
"11488","2015","2","55","AM",20,1932,8,2226891,43198.26,421.5,"13"
"15908","2015","2","55","AP",36,1791,8,455514,43002.92,379.44,"39"
"20692","2015","2","55","BA",13,1060,39,10185417,38638.99,1105,"13"
"23652","2015","2","55","BA",10,1060,39,10185417,38638.99,18175,"78"
"36014","2015","2","55","CE",20,1687,22,6271554,42079.91,6656.21,"67"
"33698","2015","2","55","CE",38,1687,22,6271554,42079.91,15000,"24"
"40834","2015","2","55","DF",34,0,8,1897677,30416.8,1263.09,"20"
"43085","2015","2","55","ES",68,947,10,2653536,37052.05,236.94,"5"
"53549","2015","2","55","GO",15,173,17,4331733,35135.2,321.94,"48"
"55159","2015","2","55","GO",20,173,17,4331733,35135.2,19,"79"
"58351","2015","2","55","MA",68,1524,18,4497336,41779.83,290.34,"34"
"59852","2015","2","55","MA",10,1524,18,4497336,41779.83,403.75,"73"
"69691","2015","2","55","MG",68,624,53,15248681,35720.85,682,"92"
"69189","2015","2","55","MG",38,624,53,15248681,35720.85,661,"77"
"77474","2015","2","55","MG",2,624,53,15248681,35720.85,2240.09,"119"
"80184","2015","2","55","MS",21,878,8,1818937,40170.98,1612.73,"2"
"84427","2015","2","55","MT",38,873,8,2189703,39056.17,520.18,"9"
"89650","2015","2","55","PA",25,1592,17,5188450,41855.59,450,"18"
"94701","2015","2","55","PA",9,1592,17,5188450,41855.59,793.8,"52"
"99112","2015","2","55","PB",65,1716,12,2835882,41660.7,22915.79,"51"
"99085","2015","2","55","PB",36,1716,12,2835882,41660.7,126.55,"49"
"112193","2015","2","55","PE",38,1657,25,6356307,41304.94,41860.33,"78"
"110089","2015","2","55","PE",15,1657,25,6356307,41304.94,1508.65,"24"
"117529","2015","2","55","PI",25,1313,10,2345694,40599.91,11200.27,"21"
"119977","2015","2","55","PR",20,1081,30,7865950,38500,10000,"3"
"123718","2015","2","55","PR",11,1081,30,7865950,38500,363.41,"56"
"139781","2015","2","55","RJ",5,933,46,12141145,35388.11,9262.07,"140"
"137498","2015","2","55","RJ",34,933,46,12141145,35388.11,41792.44,"93"
"140277","2015","2","55","RJ",21,933,46,12141145,35388.11,2206.05,"152"
"151240","2015","2","55","RN",54,1775,8,2327451,42360.13,6000,"48"
"153638","2015","2","55","RO",36,1900,8,1127154,43300.63,1499.2,"24"
"157242","2015","2","55","RR",34,2496,8,299558,45240.67,8675,"8"
"167791","2015","2","55","RS",68,1619,31,8392033,40504.04,88268.11,"111"
"162048","2015","2","55","RS",NA,1619,31,8392033,40504.04,230.4,"3"
"176985","2015","2","55","SC",34,1314,16,4859324,39505.92,206,"22"
"179864","2015","2","55","SC",38,1314,16,4859324,39505.92,7155.57,"73"
"181103","2015","2","55","SE",36,1292,8,1454165,39767.4,266.2,"11"
"198446","2015","2","55","SP",5,873,70,31998432,36671.67,720.62,"138"
"194604","2015","2","55","SP",34,873,70,31998432,36671.67,7559.85,"63"
"195670","2015","2","55","SP",34,873,70,31998432,36671.67,374.6,"79"
"204174","2015","2","55","TO",21,620,8,996887,39131.75,376,"18"
"3374","2015","3","55","AC",68,2246,8,506724,44260.6,7000,"23"
"4451","2015","3","55","AL",36,1485,9,1995727,40572.24,4430.72,"4"
"12237","2015","3","55","AM",21,1932,8,2226891,43198.26,1200,"34"
"14558","2015","3","55","AP",38,1791,8,455514,43002.92,326.2,"12"
"20212","2015","3","55","BA",54,1060,39,10185417,38638.99,698.78,"18"
"20947","2015","3","55","BA",25,1060,39,10185417,38638.99,703.52,"30"
"37051","2015","3","55","CE",65,1687,22,6271554,42079.91,2700,"102"
"37910","2015","3","55","CE",9,1687,22,6271554,42079.91,982.08,"116"
"40054","2015","3","55","DF",36,0,8,1897677,30416.8,269.44,"2"
"43067","2015","3","55","ES",68,947,10,2653536,37052.05,4172.58,"7"
"52255","2015","3","55","GO",10,173,17,4331733,35135.2,3465.1,"24"
"51607","2015","3","55","GO",54,173,17,4331733,35135.2,908.39,"10"
"58281","2015","3","55","MA",54,1524,18,4497336,41779.83,427.4,"42"
"58352","2015","3","55","MA",9,1524,18,4497336,41779.83,789.25,"45"
"69223","2015","3","55","MG",10,624,53,15248681,35720.85,5222.03,"84"
"70526","2015","3","55","MG",68,624,53,15248681,35720.85,306.14,"118"
"68906","2015","3","55","MG",1,624,53,15248681,35720.85,62.91,"78"
"80257","2015","3","55","MS",21,878,8,1818937,40170.98,2357,"7"
"88100","2015","3","55","MT",1,873,8,2189703,39056.17,3364,"46"
"94104","2015","3","55","PA",65,1592,17,5188450,41855.59,825.65,"33"
"94902","2015","3","55","PA",36,1592,17,5188450,41855.59,10407.25,"53"
"99934","2015","3","55","PB",20,1716,12,2835882,41660.7,20000,"57"
"99220","2015","3","55","PB",54,1716,12,2835882,41660.7,4246.27,"48"
"109015","2015","3","55","PE",10,1657,25,6356307,41304.94,5550,"4"
"109863","2015","3","55","PE",10,1657,25,6356307,41304.94,3841.23,"23"
"116082","2015","3","55","PI",68,1313,10,2345694,40599.91,25978.26,"4"
"124694","2015","3","55","PR",21,1081,30,7865950,38500,2168.99,"84"
"126485","2015","3","55","PR",68,1081,30,7865950,38500,2997.17,"119"
"124456","2015","3","55","PR",34,1081,30,7865950,38500,10627.44,"77"
"138240","2015","3","55","RJ",21,933,46,12141145,35388.11,614,"113"
"134956","2015","3","55","RJ",54,933,46,12141145,35388.11,481,"38"
"135331","2015","3","55","RJ",36,933,46,12141145,35388.11,5708.3,"41"
"146721","2015","3","55","RN",38,1775,8,2327451,42360.13,22.04,"3"
"153382","2015","3","55","RO",36,1900,8,1127154,43300.63,25000,"22"
"159702","2015","3","55","RR",38,2496,8,299558,45240.67,4000,"28"
"165848","2015","3","55","RS",65,1619,31,8392033,40504.04,42432.72,"76"
"166158","2015","3","55","RS",21,1619,31,8392033,40504.04,8187.5,"86"
"177804","2015","3","55","SC",38,1314,16,4859324,39505.92,4821.42,"31"
"177274","2015","3","55","SC",68,1314,16,4859324,39505.92,291.83,"28"
"181230","2015","3","55","SE",34,1292,8,1454165,39767.4,10000,"14"
"189461","2015","3","55","SP",36,873,70,31998432,36671.67,4000,"40"
"195892","2015","3","55","SP",8,873,70,31998432,36671.67,161.59,"94"
"193757","2015","3","55","SP",1,873,70,31998432,36671.67,398.78,"54"
"204898","2015","3","55","TO",65,620,8,996887,39131.75,1555.02,"30"
"4010","2015","4","55","AC",65,2246,8,506724,44260.6,9384.23,"36"
"8259","2015","4","55","AL",68,1485,9,1995727,40572.24,77.19,"46"
"12333","2015","4","55","AM",34,1932,8,2226891,43198.26,3519.54,"36"
"15837","2015","4","55","AP",38,1791,8,455514,43002.92,25300,"48"
