"","id","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","quantidade","orig.id"
"871",84493,"2015","2","55","1","AC","MDB","SERVIÇOS POSTAIS",65,2246,8,506724,44260.6,599.81,13,"11"
"4378",98956,"2015","2","55","1","AL","PSB","TELEFONIA",34,1485,9,1995727,40572.24,769.57,4,"1"
"12052",144863,"2015","2","55","1","AM","DEM","TELEFONIA",21,1932,8,2226891,43198.26,2898.86,16,"19"
"15122",186802,"2015","2","55","1","AP","PL","LOCAÇÃO DE AUTOMÓVEIS",34,1791,8,455514,43002.92,10000,1,"21"
"24017",204091,"2015","2","55","1","BA","PSD","LOCAÇÃO DE AUTOMÓVEIS",36,1060,39,10185417,38638.99,18659.12,7,"86"
"23821",174132,"2015","2","55","1","BA","PCdoB","MANUTENÇÃO DE ESCRITÓRIO",10,1060,39,10185417,38638.99,7846.16,8,"82"
"36934",197015,"2015","2","55","1","CE","PSB","MANUTENÇÃO DE ESCRITÓRIO",34,1687,22,6271554,42079.91,2172.92,2,"93"
"33851",102464,"2015","2","55","1","CE","PDT","MANUTENÇÃO DE ESCRITÓRIO",20,1687,22,6271554,42079.91,8174.44,9,"26"
"41833",49347,"2015","2","55","1","DF","PL","DIVULGAÇÃO MANDATO",34,0,8,1897677,30416.8,5000,1,"31"
"43881",53003,"2015","2","55","1","ES","PSDB","PASSAGEM AÉREA",54,947,10,2653536,37052.05,6024.36,2,"21"
"54253",64236,"2015","2","55","1","GO","PSD","COMBUSTÍVEIS E LUBRIFICANTES",36,173,17,4331733,35135.2,885.46,1,"61"
"52083",179524,"2015","2","55","1","GO","PP","LOCAÇÃO OU FRETAMENTO DE AERONAVES",38,173,17,4331733,35135.2,12780,2,"21"
"59896",12747,"2015","2","55","1","MA","PTB","COMBUSTÍVEIS E LUBRIFICANTES",25,1524,18,4497336,41779.83,4500,1,"74"
"55636",118607,"2015","2","55","1","MA","PTB","PASSAGEM AÉREA",25,1524,18,4497336,41779.83,9599.85,14,"1"
"69968",28765,"2015","2","55","1","MG","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,624,53,15248681,35720.85,19269.04,30,"97"
"69322",136861,"2015","2","55","1","MG","PODEMOS","PASSAGEM AÉREA",9,624,53,15248681,35720.85,13559.38,27,"81"
"77809",90285,"2015","2","55","1","MG","PP","MANUTENÇÃO DE ESCRITÓRIO",38,624,53,15248681,35720.85,23889.2,18,"124"
"81653",1010,"2015","2","55","1","MS","S.PART.","TELEFONIA",NA,878,8,1818937,40170.98,14.18,1,"27"
"84489",156653,"2015","2","55","1","MT","PP","LOCAÇÃO DE AUTOMÓVEIS",38,873,8,2189703,39056.17,7500,1,"10"
"95398",75815,"2015","2","55","1","PA","PSD","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",36,1592,17,5188450,41855.59,8000,1,"65"
"89747",73410,"2015","2","55","1","PA","CIDADANIA","TELEFONIA",10,1592,17,5188450,41855.59,3507.86,13,"20"
"99285",66309,"2015","2","55","1","PB","MDB","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",65,1716,12,2835882,41660.7,170,1,"55"
"98857",54529,"2015","2","55","1","PB","PT","TELEFONIA",68,1716,12,2835882,41660.7,2638.74,10,"44"
"111546",92273,"2015","2","55","1","PE","PATRIOTA","COMBUSTÍVEIS E LUBRIFICANTES",5,1657,25,6356307,41304.94,3368.16,45,"62"
