"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"1","2015","AC","PT",68,2246,8,506724,44260.6,83,"1"
"66","2015","AL","PP",38,1485,9,1995727,40572.24,119.6,"4"
"97","2015","AM","DEM",21,1932,8,2226891,43198.26,207,"1"
"129","2015","AP","PL",34,1791,8,455514,43002.92,141.53,"3"
"185","2015","BA","REPUBLICANOS",21,1060,39,10185417,38638.99,120,"3"
"238","2015","CE","PTB",25,1687,22,6271554,42079.91,187.5,"2"
"321","2015","DF","PT",68,0,8,1897677,30416.8,52.83,"2"
"364","2015","ES","PSDB",54,947,10,2653536,37052.05,190,"3"
"414","2015","GO","PSD",36,173,17,4331733,35135.2,154.92,"9"
"481","2015","MA","PCdoB",10,1524,18,4497336,41779.83,75,"2"
"599","2015","MG","PODEMOS",9,624,53,15248681,35720.85,188.52,"10"
"630","2015","MS","MDB",65,878,8,1818937,40170.98,200.76,"3"
"657","2015","MT","PSDB",54,873,8,2189703,39056.17,33,"1"
"728","2015","PA","CIDADANIA",10,1592,17,5188450,41855.59,50.08,"2"
"820","2015","PB","PSC",13,1716,12,2835882,41660.7,173,"5"
"864","2015","PE","PDT",20,1657,25,6356307,41304.94,135.74,"1"
"923","2015","PI","PODEMOS",9,1313,10,2345694,40599.91,50.53,"3"
"994","2015","PR","DEM",21,1081,30,7865950,38500,162.2,"3"
"1007","2015","RJ","DEM",21,933,46,12141145,35388.11,106.9,"2"
"1109","2015","RN","PSDB",54,1775,8,2327451,42360.13,160,"5"
"1135","2015","RO","PT",68,1900,8,1127154,43300.63,47.8,"1"
"1179","2015","RR","PODEMOS",9,2496,8,299558,45240.67,183,"3"
"1237","2015","RS","PTB",25,1619,31,8392033,40504.04,121.26,"2"
"1248","2015","SC","PSB",34,1314,16,4859324,39505.92,127,"1"
"1321","2015","SE","REPUBLICANOS",21,1292,8,1454165,39767.4,196.95,"2"
"1359","2015","SP","PCdoB",10,873,70,31998432,36671.67,42,"3"
"1440","2015","TO","PL",34,620,8,996887,39131.75,170,"5"
"9","2016","AC","PT",68,2246,8,506724,44260.6,82.25,"2"
"58","2016","AL","PT",68,1485,9,1995727,40572.24,140,"1"
"100","2016","AM","PL",34,1932,8,2226891,43198.26,5,"3"
"121","2016","AP","PSB",34,1791,8,455514,43002.92,202.8,"2"
"212","2016","BA","MDB",65,1060,39,10185417,38638.99,188,"5"
"257","2016","CE","PP",38,1687,22,6271554,42079.91,110,"4"
"323","2016","DF","PODEMOS",9,0,8,1897677,30416.8,39.32,"5"
"339","2016","ES","MDB",65,947,10,2653536,37052.05,52.19,"2"
"412","2016","GO","PTB",25,173,17,4331733,35135.2,22.4,"6"
"439","2016","MA","PATRIOTA",5,1524,18,4497336,41779.83,190.8,"1"
"583","2016","MG","PSC",13,624,53,15248681,35720.85,150.5,"6"
"633","2016","MS","PT",68,878,8,1818937,40170.98,54.74,"4"
"688","2016","MT","PT",68,873,8,2189703,39056.17,44,"4"
"756","2016","PA","PODEMOS",9,1592,17,5188450,41855.59,27,"6"
"786","2016","PB","PSC",13,1716,12,2835882,41660.7,135,"3"
"861","2016","PE","PSDB",54,1657,25,6356307,41304.94,59.9,"1"
"897","2016","PI","PL",34,1313,10,2345694,40599.91,38.5,"1"
"976","2016","PR","DEM",21,1081,30,7865950,38500,65.7,"1"
"1029","2016","RJ","PSB",34,933,46,12141145,35388.11,66,"2"
"1143","2016","RO","PSDB",54,1900,8,1127154,43300.63,60,"2"
"1169","2016","RR","PODEMOS",9,2496,8,299558,45240.67,50,"1"
"1235","2016","RS","PDT",20,1619,31,8392033,40504.04,24.45,"4"
"1266","2016","SC","CIDADANIA",10,1314,16,4859324,39505.92,145.08,"4"
"1304","2016","SE","PROS",11,1292,8,1454165,39767.4,199.91,"3"
"1358","2016","SP","PSOL",5,873,70,31998432,36671.67,161.7,"3"
"1446","2016","TO","PSD",36,620,8,996887,39131.75,144.02,"2"
"2","2017","AC","PCdoB",10,2246,8,506724,44260.6,52.2,"1"
"77","2017","AL","PSD",36,1485,9,1995727,40572.24,90.06,"2"
"92","2017","AM","PTB",25,1932,8,2226891,43198.26,119,"2"
"188","2017","BA","PODEMOS",9,1060,39,10185417,38638.99,114.5,"1"
"244","2017","CE","PODEMOS",9,1687,22,6271554,42079.91,194.2,"3"
"311","2017","DF","PODEMOS",9,0,8,1897677,30416.8,32.5,"3"
"406","2017","GO","PSDB",54,173,17,4331733,35135.2,146.66,"2"
"491","2017","MA","PV",8,1524,18,4497336,41779.83,31.75,"5"
"568","2017","MG","PSC",13,624,53,15248681,35720.85,38.4,"3"
"665","2017","MT","PSDB",54,873,8,2189703,39056.17,62,"6"
"737","2017","PA","MDB",65,1592,17,5188450,41855.59,140.81,"2"
"817","2017","PB","DEM",21,1716,12,2835882,41660.7,25,"3"
"859","2017","PE","DEM",21,1657,25,6356307,41304.94,83.17,"7"
"931","2017","PI","PT",68,1313,10,2345694,40599.91,68.7,"5"
"995","2017","PR","PV",8,1081,30,7865950,38500,200,"2"
"1016","2017","RJ","PODEMOS",9,933,46,12141145,35388.11,200.45,"1"
"1147","2017","RO","PSD",36,1900,8,1127154,43300.63,13.5,"2"
"1168","2017","RR","PL",34,2496,8,299558,45240.67,163.53,"2"
"1230","2017","RS","MDB",65,1619,31,8392033,40504.04,127,"5"
"1269","2017","SC","PCdoB",10,1314,16,4859324,39505.92,134.28,"7"
"1354","2017","SP","CIDADANIA",10,873,70,31998432,36671.67,21.75,"1"
"1443","2017","TO","PL",34,620,8,996887,39131.75,43.3,"3"
"73","2018","AL","PDT",20,1485,9,1995727,40572.24,39,"3"
"94","2018","AM","PL",34,1932,8,2226891,43198.26,42.51,"3"
"130","2018","AP","PCdoB",10,1791,8,455514,43002.92,6.85,"2"
"183","2018","BA","PDT",20,1060,39,10185417,38638.99,137.95,"1"
"256","2018","CE","PT",68,1687,22,6271554,42079.91,19.8,"4"
"313","2018","DF","SOLIDARIEDADE",15,0,8,1897677,30416.8,87.01,"4"
"417","2018","GO","PSL",1,173,17,4331733,35135.2,175.44,"3"
"452","2018","MA","CIDADANIA",10,1524,18,4497336,41779.83,127.93,"3"
"584","2018","MG","PROS",11,624,53,15248681,35720.85,62.88,"4"
"691","2018","MT","PSC",13,873,8,2189703,39056.17,36.26,"6"
"744","2018","PA","PODEMOS",9,1592,17,5188450,41855.59,106.48,"2"
"773","2018","PB","REPUBLICANOS",21,1716,12,2835882,41660.7,144,"1"
"857","2018","PE","PSDB",54,1657,25,6356307,41304.94,101.62,"3"
"925","2018","PI","PP",38,1313,10,2345694,40599.91,142,"2"
"980","2018","PR","PL",34,1081,30,7865950,38500,134,"1"
"1025","2018","RJ","PSB",34,933,46,12141145,35388.11,186,"2"
"1142","2018","RO","DEM",21,1900,8,1127154,43300.63,123.59,"2"
"1183","2018","RR","PODEMOS",9,2496,8,299558,45240.67,201.49,"4"
"1252","2018","SC","SOLIDARIEDADE",15,1314,16,4859324,39505.92,97.5,"1"
"1310","2018","SE","PP",38,1292,8,1454165,39767.4,101.4,"4"
"1361","2018","SP","PSC",13,873,70,31998432,36671.67,22.4,"6"
"1411","2018","TO","PL",34,620,8,996887,39131.75,159.15,"1"
"7","2019","AC","DEM",21,2246,8,506724,44260.6,189.9,"3"
"72","2019","AL","PODEMOS",9,1485,9,1995727,40572.24,204.95,"8"
"119","2019","AM","PDT",20,1932,8,2226891,43198.26,101.21,"11"
"135","2019","AP","PODEMOS",9,1791,8,455514,43002.92,93.99,"6"
"220","2019","BA","PL",33,1060,39,10393170,38638.99,99.1,"16"
"241","2019","CE","MDB",65,1687,22,6271554,42079.91,200.02,"4"
"317","2019","DF","PL",34,0,8,1897677,30416.8,48.59,"7"
"366","2019","ES","SOLIDARIEDADE",15,947,10,2653536,37052.05,26.17,"8"
"403","2019","GO","PSL",1,173,17,4331733,35135.2,70.03,"6"
"445","2019","MA","PCdoB",10,1524,18,4497336,41779.83,125.54,"2"
"582","2019","MG","PT",68,624,53,15248681,35720.85,124.74,"13"
"629","2019","MS","MDB",65,878,8,1818937,40170.98,94.11,"10"
"694","2019","MT","MDB",65,873,8,2189703,39056.17,64.83,"12"
"758","2019","PA","PSB",34,1592,17,5188450,41855.59,101.55,"11"
"800","2019","PB","PSB",32,1716,12,2867649,41660.7,98.1,"9"
"874","2019","PE","PCdoB",10,1657,25,6356307,41304.94,0.49,"16"
"896","2019","PI","PTB",25,1313,10,2345694,40599.91,47.95,"1"
"935","2019","PR","DEM",21,1081,30,7865950,38500,46.31,"4"
"1015","2019","RJ","REDE",NA,933,46,12141145,35388.11,4.6,"6"
"1092","2019","RN","PSDB",54,1775,8,2327451,42360.13,75.08,"4"
"1145","2019","RO","DEM",21,1900,8,1127154,43300.63,172.14,"11"
"1170","2019","RR","MDB",65,2496,8,299558,45240.67,110.97,"6"
"1229","2019","RS","MDB",65,1619,31,8392033,40504.04,150,"8"
"1296","2019","SC","PL",33,1314,16,5070212,39505.92,96.43,"15"
"1311","2019","SE","REPUBLICANOS",21,1292,8,1454165,39767.4,106.57,"6"
"1353","2019","SP","PSDB",54,873,70,31998432,36671.67,126.62,"8"
"1438","2019","TO","PP",38,620,8,996887,39131.75,17.18,"7"
"20","2020","AC","PROS",8,2246,8,547680,44260.6,192.5,"3"
"46","2020","AL","PP",38,1485,9,2187967,40572.24,192.2,"1"
"107","2020","AM","PT",54,1932,8,2428098,43198.26,88.87,"2"
"141","2020","AP","PSB",32,1791,8,512110,43002.92,86.83,"1"
"162","2020","BA","PSD",35,1060,39,10393170,38638.99,11.7,"3"
"280","2020","CE","PL",33,1687,22,6344483,42079.91,147.31,"5"
"295","2020","DF","PL",33,0,8,2084356,30416.8,5.9,"3"
"362","2020","ES","PT",54,947,10,2754728,37052.05,190.73,"3"
"382","2020","GO","UNIÃO",52,173,17,4454497,35135.2,169.2,"7"
"464","2020","MA","PSB",32,1524,18,4537237,41779.83,77.7,"4"
"513","2020","MG","NOVO",8,624,53,15700966,35720.85,113.34,"3"
"612","2020","MS","PP",38,878,8,1877982,40170.98,102.4,"1"
"679","2020","MT","REPUBLICANOS",30,873,8,2330281,39056.17,65.55,"3"
"698","2020","PA","PSD",35,1592,17,5499283,41855.59,115.94,"2"
"791","2020","PB","PSDB",29,1716,12,2867649,41660.7,39.1,"1"
"827","2020","PE","MDB",34,1657,25,6570072,41304.94,150,"2"
"963","2020","PR","MDB",34,1081,30,7971087,38500,83,"1"
"1051","2020","RJ","PTB",10,933,46,12408340,35388.11,120,"4"
"1106","2020","RN","PT",54,1775,8,2373619,42360.13,14.75,"2"
"1126","2020","RO","PSB",32,1900,8,1175733,43300.63,110,"4"
"1151","2020","RR","REDE",1,2496,8,333464,45240.67,156.91,"1"
"1216","2020","RS","NOVO",8,1619,31,8354732,40504.04,200.03,"2"
"1284","2020","SC","NOVO",8,1314,16,5070212,39505.92,151.59,"4"
"1332","2020","SE","PL",33,1292,8,1577058,39767.4,90.69,"2"
"1367","2020","SP","UNIÃO",52,873,70,33040411,36671.67,142.02,"1"
"23","2021","AC","PROS",8,2246,8,547680,44260.6,45.4,"2"
