"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"144","2015","AC","DEM",21,2246,8,506724,44260.6,26441.92,"7"
"37","2015","AC","MDB",65,2246,8,506724,44260.6,41389.75,"2"
"34","2015","AC","PSB",34,2246,8,506724,44260.6,1099.5,"2"
"106","2015","AC","PSDB",54,2246,8,506724,44260.6,16684.05,"6"
"89","2015","AC","PT",68,2246,8,506724,44260.6,142628.83,"5"
"973","2015","AL","AVANTE",2,1485,9,1995727,40572.24,28594.23,"5"
"990","2015","AL","PDT",20,1485,9,1995727,40572.24,20767.02,"10"
"834","2015","AL","PL",34,1485,9,1995727,40572.24,1832.83,"3"
"867","2015","AL","PODEMOS",9,1485,9,1995727,40572.24,47500,"4"
"773","2015","AL","PP",38,1485,9,1995727,40572.24,18299,"2"
"886","2015","AL","PSB",34,1485,9,1995727,40572.24,120000,"6"
"937","2015","AL","PSD",36,1485,9,1995727,40572.24,90000,"7"
"785","2015","AL","PSDB",54,1485,9,1995727,40572.24,856,"5"
"717","2015","AL","PT",68,1485,9,1995727,40572.24,41171.41,"1"
"1192","2015","AM","DEM",21,1932,8,2226891,43198.26,64000,"3"
"1462","2015","AM","MDB",65,1932,8,2226891,43198.26,61000,"7"
"1073","2015","AM","PDT",20,1932,8,2226891,43198.26,2519.11,"2"
"1114","2015","AM","PL",34,1932,8,2226891,43198.26,36225.39,"5"
"1435","2015","AM","PP",38,1932,8,2226891,43198.26,3219.47,"4"
"1414","2015","AM","PSDB",54,1932,8,2226891,43198.26,3017.38,"8"
"1473","2015","AM","REPUBLICANOS",21,1932,8,2226891,43198.26,500,"5"
"1633","2015","AP","MDB",65,1791,8,455514,43002.92,10663.17,"3"
"1600","2015","AP","PCdoB",10,1791,8,455514,43002.92,82938,"2"
"1647","2015","AP","PDT",20,1791,8,455514,43002.92,10000,"3"
"1496","2015","AP","PL",34,1791,8,455514,43002.92,93363.6,"1"
"1709","2015","AP","PODEMOS",9,1791,8,455514,43002.92,18850,"6"
"1536","2015","AP","PP",38,1791,8,455514,43002.92,3254.76,"5"
"1705","2015","AP","PSB",34,1791,8,455514,43002.92,6352.07,"8"
"1677","2015","AP","PSD",36,1791,8,455514,43002.92,122888.99,"8"
"2866","2015","BA","DEM",21,1060,39,10185417,38638.99,29583.14,"9"
"2886","2015","BA","MDB",65,1060,39,10185417,38638.99,4500,"8"
"3020","2015","BA","PATRIOTA",5,1060,39,10185417,38638.99,34500,"8"
"2463","2015","BA","PCdoB",10,1060,39,10185417,38638.99,2404.21,"2"
"2446","2015","BA","PDT",20,1060,39,10185417,38638.99,9581.85,"3"
"2631","2015","BA","PL",34,1060,39,10185417,38638.99,143063.36,"6"
"2400","2015","BA","PODEMOS",9,1060,39,10185417,38638.99,21807.74,"1"
"2947","2015","BA","PP",38,1060,39,10185417,38638.99,84734.69,"6"
"2986","2015","BA","PSB",34,1060,39,10185417,38638.99,77013.02,"8"
"2728","2015","BA","PSC",13,1060,39,10185417,38638.99,476.89,"7"
"2556","2015","BA","PSD",36,1060,39,10185417,38638.99,19815.64,"1"
"2909","2015","BA","PSDB",54,1060,39,10185417,38638.99,3045.9,"8"
"2846","2015","BA","PT",68,1060,39,10185417,38638.99,500.8,"5"
"3077","2015","BA","PTB",25,1060,39,10185417,38638.99,1223,"12"
"3087","2015","BA","REPUBLICANOS",21,1060,39,10185417,38638.99,25400,"10"
"3866","2015","CE","AVANTE",2,1687,22,6271554,42079.91,55000,"8"
"3878","2015","CE","DEM",21,1687,22,6271554,42079.91,118000,"8"
"3605","2015","CE","MDB",65,1687,22,6271554,42079.91,1937.82,"5"
"3752","2015","CE","PCdoB",10,1687,22,6271554,42079.91,1197.8,"7"
"3432","2015","CE","PDT",20,1687,22,6271554,42079.91,13783.46,"5"
"3665","2015","CE","PL",34,1687,22,6271554,42079.91,61846.38,"5"
"3843","2015","CE","PODEMOS",9,1687,22,6271554,42079.91,40200,"10"
"3774","2015","CE","PP",38,1687,22,6271554,42079.91,9863.77,"6"
"3485","2015","CE","PROS",11,1687,22,6271554,42079.91,33000,"4"
"3756","2015","CE","PSB",34,1687,22,6271554,42079.91,36685.5,"10"
"3589","2015","CE","PSD",36,1687,22,6271554,42079.91,110342.23,"2"
"3423","2015","CE","PSDB",54,1687,22,6271554,42079.91,13904.45,"2"
"3801","2015","CE","PT",68,1687,22,6271554,42079.91,7042.86,"9"
"3318","2015","CE","PTB",25,1687,22,6271554,42079.91,1024.1,"1"
"3379","2015","CE","REPUBLICANOS",21,1687,22,6271554,42079.91,6449.48,"4"
"3810","2015","CE","SOLIDARIEDADE",15,1687,22,6271554,42079.91,28360.84,"8"
"4550","2015","DF","DEM",21,0,8,1897677,30416.8,7697.66,"7"
"4436","2015","DF","PL",34,0,8,1897677,30416.8,95000,"3"
"4488","2015","DF","PODEMOS",9,0,8,1897677,30416.8,45006,"3"
"4478","2015","DF","PP",38,0,8,1897677,30416.8,2380.51,"6"
"4365","2015","DF","PSD",36,0,8,1897677,30416.8,21840.76,"1"
"4525","2015","DF","PSDB",54,0,8,1897677,30416.8,18813.96,"6"
"4481","2015","DF","PT",68,0,8,1897677,30416.8,919.81,"5"
"4489","2015","DF","SOLIDARIEDADE",15,0,8,1897677,30416.8,3139,"3"
"4732","2015","ES","MDB",65,947,10,2653536,37052.05,25157.23,"3"
"4757","2015","ES","PCdoB",10,947,10,2653536,37052.05,3436.77,"2"
"4661","2015","ES","PDT",20,947,10,2653536,37052.05,61829.26,"1"
"4633","2015","ES","PP",38,947,10,2653536,37052.05,84202.74,"1"
"5125","2015","ES","PSB",34,947,10,2653536,37052.05,46375.15,"4"
"5198","2015","ES","PSDB",54,947,10,2653536,37052.05,9134.48,"9"
"4753","2015","ES","PSL",1,947,10,2653536,37052.05,1752.82,"2"
"4797","2015","ES","PT",68,947,10,2653536,37052.05,7102.89,"6"
"4721","2015","ES","SOLIDARIEDADE",15,947,10,2653536,37052.05,23787.4,"4"
"5548","2015","GO","CIDADANIA",10,173,17,4331733,35135.2,3586.63,"7"
"5862","2015","GO","MDB",65,173,17,4331733,35135.2,32175.77,"10"
"5514","2015","GO","PDT",20,173,17,4331733,35135.2,132550,"2"
"5666","2015","GO","PL",34,173,17,4331733,35135.2,20340.58,"4"
"5534","2015","GO","PP",38,173,17,4331733,35135.2,57023,"1"
"5603","2015","GO","PSD",36,173,17,4331733,35135.2,1667.19,"1"
"5811","2015","GO","PSDB",54,173,17,4331733,35135.2,77283,"7"
"5837","2015","GO","PSL",1,173,17,4331733,35135.2,581.29,"4"
"5908","2015","GO","PT",68,173,17,4331733,35135.2,39171.2,"7"
"5558","2015","GO","PTB",25,173,17,4331733,35135.2,30000,"1"
"5687","2015","GO","REPUBLICANOS",21,173,17,4331733,35135.2,3167.94,"7"
"5902","2015","GO","SOLIDARIEDADE",15,173,17,4331733,35135.2,138622,"8"
"6336","2015","MA","CIDADANIA",10,1524,18,4497336,41779.83,909,"4"
"6315","2015","MA","DEM",21,1524,18,4497336,41779.83,18107.1,"6"
"6156","2015","MA","MDB",65,1524,18,4497336,41779.83,3244.65,"1"
"6822","2015","MA","PATRIOTA",5,1524,18,4497336,41779.83,24779.3,"5"
"6946","2015","MA","PCdoB",10,1524,18,4497336,41779.83,169080,"7"
"6950","2015","MA","PDT",20,1524,18,4497336,41779.83,2257.68,"9"
"6225","2015","MA","PODEMOS",9,1524,18,4497336,41779.83,50493.05,"1"
"6283","2015","MA","PP",38,1524,18,4497336,41779.83,472.06,"3"
"7003","2015","MA","PSDB",54,1524,18,4497336,41779.83,41786.47,"5"
"6815","2015","MA","PT",68,1524,18,4497336,41779.83,48728.86,"7"
"6895","2015","MA","PTB",25,1524,18,4497336,41779.83,5337.07,"6"
"6990","2015","MA","PV",8,1524,18,4497336,41779.83,16289.2,"8"
"6940","2015","MA","REPUBLICANOS",21,1524,18,4497336,41779.83,892.5,"5"
"8048","2015","MG","AVANTE",2,624,53,15248681,35720.85,12806.91,"2"
"8208","2015","MG","DEM",21,624,53,15248681,35720.85,72924.1,"6"
"8204","2015","MG","MDB",65,624,53,15248681,35720.85,7119.25,"5"
"8490","2015","MG","PCdoB",10,624,53,15248681,35720.85,1236.4,"11"
"8343","2015","MG","PDT",20,624,53,15248681,35720.85,89727.1,"8"
"7100","2015","MG","PL",34,624,53,15248681,35720.85,1024,"2"
"8418","2015","MG","PODEMOS",9,624,53,15248681,35720.85,116049.9,"7"
"8244","2015","MG","PP",38,624,53,15248681,35720.85,29069.7,"5"
"7053","2015","MG","PROS",11,624,53,15248681,35720.85,89851.12,"1"
"8401","2015","MG","PSB",34,624,53,15248681,35720.85,30103.72,"6"
"8359","2015","MG","PSD",36,624,53,15248681,35720.85,12440.65,"7"
"8188","2015","MG","PSDB",54,624,53,15248681,35720.85,22778.08,"4"
"7118","2015","MG","PSL",1,624,53,15248681,35720.85,50430.13,"2"
"8373","2015","MG","PT",68,624,53,15248681,35720.85,117932.04,"9"
"8238","2015","MG","SOLIDARIEDADE",15,624,53,15248681,35720.85,18693,"7"
"8670","2015","MS","DEM",21,878,8,1818937,40170.98,117931.63,"3"
"8829","2015","MS","MDB",65,878,8,1818937,40170.98,8560,"7"
"8610","2015","MS","PDT",20,878,8,1818937,40170.98,2552.06,"1"
"8837","2015","MS","PSB",34,878,8,1818937,40170.98,21200,"8"
"8697","2015","MS","PSDB",54,878,8,1818937,40170.98,69986.18,"2"
"8791","2015","MS","PT",68,878,8,1818937,40170.98,29767.1,"5"
"9034","2015","MT","DEM",21,873,8,2189703,39056.17,68508.54,"4"
"9383","2015","MT","MDB",65,873,8,2189703,39056.17,152681.5,"4"
"9021","2015","MT","PP",38,873,8,2189703,39056.17,19360,"4"
"8987","2015","MT","PSDB",54,873,8,2189703,39056.17,38602.57,"1"
"8985","2015","MT","PSL",1,873,8,2189703,39056.17,45018.98,"1"
"9497","2015","MT","PT",68,873,8,2189703,39056.17,38367.75,"9"
"9209","2015","MT","REPUBLICANOS",21,873,8,2189703,39056.17,10062.4,"5"
"10100","2015","PA","CIDADANIA",10,1592,17,5188450,41855.59,152197.83,"5"
"10168","2015","PA","DEM",21,1592,17,5188450,41855.59,53859.54,"7"
"9988","2015","PA","MDB",65,1592,17,5188450,41855.59,42278.25,"3"
"10216","2015","PA","PL",34,1592,17,5188450,41855.59,109780,"4"
"10185","2015","PA","PODEMOS",9,1592,17,5188450,41855.59,6090.57,"4"
"9940","2015","PA","PP",38,1592,17,5188450,41855.59,8405.96,"2"
"10166","2015","PA","PSC",13,1592,17,5188450,41855.59,22018.73,"5"
"10074","2015","PA","PSD",36,1592,17,5188450,41855.59,67719.86,"2"
"10276","2015","PA","PSDB",54,1592,17,5188450,41855.59,75039.2,"8"
"10044","2015","PA","PSOL",5,1592,17,5188450,41855.59,9469.59,"3"
"9975","2015","PA","PT",68,1592,17,5188450,41855.59,81109.49,"3"
"10071","2015","PA","PTB",25,1592,17,5188450,41855.59,144831.19,"4"
"10076","2015","PA","SOLIDARIEDADE",15,1592,17,5188450,41855.59,45000,"3"
"10656","2015","PB","DEM",21,1716,12,2835882,41660.7,45465.15,"5"
"10477","2015","PB","MDB",65,1716,12,2835882,41660.7,67231.53,"2"
"10959","2015","PB","PDT",20,1716,12,2835882,41660.7,1732.88,"4"
"10583","2015","PB","PL",34,1716,12,2835882,41660.7,2058,"4"
"11075","2015","PB","PP",38,1716,12,2835882,41660.7,138200,"5"
"10459","2015","PB","PSB",34,1716,12,2835882,41660.7,5501.54,"2"
"11083","2015","PB","PSC",13,1716,12,2835882,41660.7,509.83,"5"
"10446","2015","PB","PSD",36,1716,12,2835882,41660.7,104100,"1"
"10575","2015","PB","PSDB",54,1716,12,2835882,41660.7,64072.56,"6"
"11138","2015","PB","PT",68,1716,12,2835882,41660.7,29703.29,"8"
"10994","2015","PB","PTB",25,1716,12,2835882,41660.7,83900,"6"
"10449","2015","PB","REPUBLICANOS",21,1716,12,2835882,41660.7,135100,"1"
"11671","2015","PE","AVANTE",2,1657,25,6356307,41304.94,115863.76,"2"
"12039","2015","PE","CIDADANIA",10,1657,25,6356307,41304.94,12223.75,"5"
"11562","2015","PE","DEM",21,1657,25,6356307,41304.94,17994.72,"1"
"11638","2015","PE","MDB",65,1657,25,6356307,41304.94,90900,"3"
"11663","2015","PE","PATRIOTA",5,1657,25,6356307,41304.94,111500,"3"
"12016","2015","PE","PCdoB",10,1657,25,6356307,41304.94,5779.6,"10"
"11696","2015","PE","PDT",20,1657,25,6356307,41304.94,5161.48,"3"
"12152","2015","PE","PL",34,1657,25,6356307,41304.94,6427.57,"7"
"12029","2015","PE","PODEMOS",9,1657,25,6356307,41304.94,100000,"7"
"12047","2015","PE","PP",38,1657,25,6356307,41304.94,2316.75,"8"
"11588","2015","PE","PROS",11,1657,25,6356307,41304.94,8616.37,"1"
"12025","2015","PE","PSB",34,1657,25,6356307,41304.94,55315.8,"8"
"11543","2015","PE","PSDB",54,1657,25,6356307,41304.94,63359.92,"1"
"11778","2015","PE","PTB",25,1657,25,6356307,41304.94,153300,"4"
"12006","2015","PE","SOLIDARIEDADE",15,1657,25,6356307,41304.94,70006.6,"6"
"12949","2015","PI","DEM",21,1313,10,2345694,40599.91,21000,"10"
"12470","2015","PI","MDB",65,1313,10,2345694,40599.91,67194,"2"
"12481","2015","PI","PDT",20,1313,10,2345694,40599.91,26010.01,"1"
"12558","2015","PI","PL",34,1313,10,2345694,40599.91,10000,"3"
"12604","2015","PI","PODEMOS",9,1313,10,2345694,40599.91,124437.27,"2"
"12903","2015","PI","PP",38,1313,10,2345694,40599.91,58729.11,"9"
"12552","2015","PI","PSB",34,1313,10,2345694,40599.91,3809.08,"3"
"12473","2015","PI","PSD",36,1313,10,2345694,40599.91,34277.51,"3"
"12425","2015","PI","PT",68,1313,10,2345694,40599.91,10820,"1"
"12930","2015","PI","PTB",25,1313,10,2345694,40599.91,29086.61,"7"
"14003","2015","PR","CIDADANIA",10,1081,30,7865950,38500,19834.36,"6"
"14076","2015","PR","DEM",21,1081,30,7865950,38500,49490,"4"
"13923","2015","PR","MDB",65,1081,30,7865950,38500,6016.61,"3"
"13872","2015","PR","PDT",20,1081,30,7865950,38500,3461.51,"5"
"14121","2015","PR","PL",34,1081,30,7865950,38500,2366,"11"
"14047","2015","PR","PODEMOS",9,1081,30,7865950,38500,44006.7,"9"
"13952","2015","PR","PP",38,1081,30,7865950,38500,168034.7,"2"
"14115","2015","PR","PROS",11,1081,30,7865950,38500,3813.1,"9"
"13973","2015","PR","PSB",34,1081,30,7865950,38500,1356.3,"9"
"13017","2015","PR","PSC",13,1081,30,7865950,38500,68665.7,"1"
"13843","2015","PR","PSD",36,1081,30,7865950,38500,1220,"3"
"13820","2015","PR","PSDB",54,1081,30,7865950,38500,71057.99,"5"
"13770","2015","PR","PSL",1,1081,30,7865950,38500,1864.56,"2"
"12992","2015","PR","PT",68,1081,30,7865950,38500,36000,"1"
"13962","2015","PR","PTB",25,1081,30,7865950,38500,5300,"3"
"13760","2015","PR","PV",8,1081,30,7865950,38500,51395,"3"
"14756","2015","RJ","DEM",21,933,46,12141145,35388.11,80000,"5"
"14510","2015","RJ","MDB",65,933,46,12141145,35388.11,84329.62,"1"
"14794","2015","RJ","PATRIOTA",5,933,46,12141145,35388.11,1794.27,"9"
"14967","2015","RJ","PCdoB",10,933,46,12141145,35388.11,2289.36,"7"
"14927","2015","RJ","PDT",20,933,46,12141145,35388.11,18662.94,"7"
"14397","2015","RJ","PL",34,933,46,12141145,35388.11,23443.08,"1"
"14641","2015","RJ","PODEMOS",9,933,46,12141145,35388.11,161135,"4"
