"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"67","2015","AC","DEM",21,2246,8,506724,44260.6,1903.82,"2"
"485","2015","AC","MDB",65,2246,8,506724,44260.6,2632.33,"12"
"36","2015","AC","PSB",34,2246,8,506724,44260.6,48845.71,"3"
"501","2015","AC","PSDB",54,2246,8,506724,44260.6,6319.19,"10"
"55","2015","AC","PT",68,2246,8,506724,44260.6,1867.7,"2"
"816","2015","AL","AVANTE",2,1485,9,1995727,40572.24,3113.79,"2"
"909","2015","AL","PDT",20,1485,9,1995727,40572.24,14858.53,"9"
"942","2015","AL","PL",34,1485,9,1995727,40572.24,129000,"6"
"895","2015","AL","PODEMOS",9,1485,9,1995727,40572.24,40000,"6"
"995","2015","AL","PP",38,1485,9,1995727,40572.24,3894.03,"6"
"716","2015","AL","PSB",34,1485,9,1995727,40572.24,13252.11,"2"
"700","2015","AL","PSD",36,1485,9,1995727,40572.24,37271.08,"1"
"974","2015","AL","PSDB",54,1485,9,1995727,40572.24,166920,"9"
"717","2015","AL","PT",68,1485,9,1995727,40572.24,41171.41,"1"
"1460","2015","AM","DEM",21,1932,8,2226891,43198.26,54514.24,"7"
"1180","2015","AM","MDB",65,1932,8,2226891,43198.26,53415.56,"5"
"1464","2015","AM","PDT",20,1932,8,2226891,43198.26,45700,"8"
"1086","2015","AM","PL",34,1932,8,2226891,43198.26,31000,"3"
"1074","2015","AM","PP",38,1932,8,2226891,43198.26,144847.14,"2"
"1419","2015","AM","PSDB",54,1932,8,2226891,43198.26,40125.75,"9"
"1425","2015","AM","REPUBLICANOS",21,1932,8,2226891,43198.26,18592.8,"3"
"1694","2015","AP","MDB",65,1791,8,455514,43002.92,169250,"9"
"1756","2015","AP","PCdoB",10,1791,8,455514,43002.92,1894.6,"8"
"1762","2015","AP","PDT",20,1791,8,455514,43002.92,146233.16,"7"
"1496","2015","AP","PL",34,1791,8,455514,43002.92,93363.6,"1"
"1733","2015","AP","PODEMOS",9,1791,8,455514,43002.92,20369.52,"7"
"1519","2015","AP","PP",38,1791,8,455514,43002.92,2122.35,"4"
"1759","2015","AP","PSB",34,1791,8,455514,43002.92,55880,"10"
"1625","2015","AP","PSD",36,1791,8,455514,43002.92,4647.57,"6"
"2611","2015","BA","DEM",21,1060,39,10185417,38638.99,850.84,"6"
"2479","2015","BA","MDB",65,1060,39,10185417,38638.99,8693.57,"2"
"2488","2015","BA","PATRIOTA",5,1060,39,10185417,38638.99,56471,"2"
"2640","2015","BA","PCdoB",10,1060,39,10185417,38638.99,51940.98,"5"
"2768","2015","BA","PDT",20,1060,39,10185417,38638.99,55577.83,"7"
"2631","2015","BA","PL",34,1060,39,10185417,38638.99,143063.36,"6"
"3018","2015","BA","PODEMOS",9,1060,39,10185417,38638.99,4189.87,"9"
"2659","2015","BA","PP",38,1060,39,10185417,38638.99,76000,"4"
"2905","2015","BA","PSB",34,1060,39,10185417,38638.99,13000,"6"
"3000","2015","BA","PSC",13,1060,39,10185417,38638.99,4172.45,"9"
"2633","2015","BA","PSD",36,1060,39,10185417,38638.99,498.92,"4"
"2750","2015","BA","PSDB",54,1060,39,10185417,38638.99,25955,"5"
"2561","2015","BA","PT",68,1060,39,10185417,38638.99,14434.01,"2"
"2733","2015","BA","PTB",25,1060,39,10185417,38638.99,8728.4,"9"
"2507","2015","BA","REPUBLICANOS",21,1060,39,10185417,38638.99,70350.75,"3"
"3638","2015","CE","AVANTE",2,1687,22,6271554,42079.91,3135.99,"4"
"3510","2015","CE","DEM",21,1687,22,6271554,42079.91,39939.75,"4"
"3790","2015","CE","MDB",65,1687,22,6271554,42079.91,27000,"8"
"3460","2015","CE","PCdoB",10,1687,22,6271554,42079.91,5689.22,"1"
"3370","2015","CE","PDT",20,1687,22,6271554,42079.91,40272.65,"2"
"3373","2015","CE","PL",34,1687,22,6271554,42079.91,11417.21,"1"
