"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","quantidade","orig.id"
"189181","2015","2","55","1","SP","PSDB","ASSINATURA DE PUBLICAÇÕES",54,873,70,31998432,36671.67,299.4,1,"2012"
"66154","2015","2","55","1","MG","PSDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",54,624,53,15248681,35720.85,1025.58,26,"746"
"11488","2015","2","55","1","AM","PDT","TELEFONIA",20,1932,8,2226891,43198.26,421.5,4,"109"
"38450","2015","2","55","1","CE","PROS","MANUTENÇÃO DE ESCRITÓRIO",11,1687,22,6271554,42079.91,3288.39,4,"429"
"34394","2015","2","55","1","CE","PP","LOCAÇÃO DE AUTOMÓVEIS",38,1687,22,6271554,42079.91,10000,1,"348"
"153607","2015","2","55","1","RO","PSD","DIVULGAÇÃO MANDATO",36,1900,8,1127154,43300.63,22500,7,"1674"
"79112","2015","2","55","1","MG","PP","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",38,624,53,15248681,35720.85,686.07,26,"848"
"56133","2015","2","55","1","MA","DEM","MANUTENÇÃO DE ESCRITÓRIO",21,1524,18,4497336,41779.83,527.95,1,"616"
"35211","2015","3","55","1","CE","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,1687,22,6271554,42079.91,3310.46,34,"407"
"117176","2015","3","55","1","PI","PODEMOS","TELEFONIA",9,1313,10,2345694,40599.91,629.64,5,"1400"
"79282","2015","3","55","1","MG","PP","LOCAÇÃO DE AUTOMÓVEIS",38,624,53,15248681,35720.85,33843.32,12,"940"
"21187","2015","3","55","1","BA","MDB","TELEFONIA",65,1060,39,10185417,38638.99,1494.07,10,"239"
"80180","2015","3","55","1","MS","PSB","ASSESSORIA TÉCNICA/JURÍDICA",34,878,8,1818937,40170.98,11576,2,"947"
"34312","2015","3","55","1","CE","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,1687,22,6271554,42079.91,92.13,2,"395"
"63740","2015","3","55","1","MG","PL","DIVULGAÇÃO MANDATO",34,624,53,15248681,35720.85,79432.59,6,"785"
"196833","2015","3","55","1","SP","PSC","MANUTENÇÃO DE ESCRITÓRIO",13,873,70,31998432,36671.67,6970.85,7,"2304"
"11721","2015","3","55","1","AM","PSDB","LOCAÇÃO DE AUTOMÓVEIS",54,1932,8,2226891,43198.26,2538,1,"121"
