"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"4055","2015","2","55","1","AL","PDT","TELEFONIA",20,1485,9,1995727,40572.24,510.99,"45"
"52956","2015","2","55","1","MA","PTB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",25,1524,18,4497336,41779.83,180.5,"617"
"88051","2015","2","55","1","PB","REPUBLICANOS","PASSAGEM AÉREA",21,1716,12,2835882,41660.7,6941.65,"1011"
"183448","2015","2","55","1","TO","PL","TELEFONIA",34,620,8,996887,39131.75,1148.33,"2041"
"21911","2015","2","55","1","BA","PL","SERVIÇOS POSTAIS",34,1060,39,10185417,38638.99,515.02,"264"
"690","2015","2","55","1","AC","PSDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",54,2246,8,506724,44260.6,222.59,"8"
"101752","2015","2","55","1","PE","MDB","SERVIÇOS POSTAIS",65,1657,25,6356307,41304.94,399.71,"1149"
"125508","2015","2","55","1","RJ","PSOL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",5,933,46,12141145,35388.11,134,"1487"
"11015","2015","2","55","1","AM","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,1932,8,2226891,43198.26,4000,"113"
"20748","2015","2","55","1","BA","PCdoB","PASSAGEM AÉREA",10,1060,39,10185417,38638.99,21233.7,"235"
"148690","2015","2","55","1","RS","PTB","SERVIÇOS POSTAIS",25,1619,31,8392033,40504.04,1286.22,"1705"
"179776","2015","2","55","1","SP","DEM","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,873,70,31998432,36671.67,1436.23,"2021"
"178602","2015","2","55","1","SP","MDB","TELEFONIA",65,873,70,31998432,36671.67,5799.68,"1999"
"40278","2015","2","55","1","ES","PSB","DIVULGAÇÃO MANDATO",34,947,10,2653536,37052.05,12280,"480"
"13413","2015","2","55","1","AP","PP","DIVULGAÇÃO MANDATO",38,1791,8,455514,43002.92,1000,"142"
"131765","2015","2","55","1","RN","PSD","MANUTENÇÃO DE ESCRITÓRIO",36,1775,8,2327451,42360.13,1409.69,"1510"
"158976","2015","2","55","1","SC","PP","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",38,1314,16,4859324,39505.92,270.89,"1759"
"51179","2015","2","55","1","MA","PDT","LOCAÇÃO DE AUTOMÓVEIS",20,1524,18,4497336,41779.83,14852.5,"584"
"13285","2015","2","55","1","AP","PL","TELEFONIA",34,1791,8,455514,43002.92,262.53,"136"
"52343","2015","2","55","1","MA","PDT","PASSAGEM AÉREA",20,1524,18,4497336,41779.83,12761.12,"604"
"160051","2015","2","55","1","SC","MDB","ASSESSORIA TÉCNICA/JURÍDICA",65,1314,16,4859324,39505.92,9620,"1783"
"19683","2015","2","55","1","BA","PODEMOS","TELEFONIA",9,1060,39,10185417,38638.99,602.73,"219"
"12822","2015","2","55","1","AP","MDB","LOCAÇÃO DE AUTOMÓVEIS",65,1791,8,455514,43002.92,3500,"133"
"35652","2015","2","55","1","DF","PT","MANUTENÇÃO DE ESCRITÓRIO",68,0,8,1897677,30416.8,3478.07,"408"
"98658","2015","2","55","1","PE","PL","COMBUSTÍVEIS E LUBRIFICANTES",34,1657,25,6356307,41304.94,4498.42,"1076"
"178360","2015","2","55","1","SP","PT","LOCAÇÃO DE AUTOMÓVEIS",68,873,70,31998432,36671.67,10775.84,"1990"
"140607","2015","2","55","1","RR","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,2496,8,299558,45240.67,679.52,"1603"
"100334","2015","2","55","1","PE","PSDB","PASSAGEM AÉREA",54,1657,25,6356307,41304.94,9857.51,"1120"
"115132","2015","2","55","1","PR","PSDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",54,1081,30,7865950,38500,1852.96,"1359"
"63220","2015","2","55","1","MG","PSDB","ASSINATURA DE PUBLICAÇÕES",54,624,53,15248681,35720.85,1269.8,"762"
"11346","2015","2","55","1","AM","PDT","COMBUSTÍVEIS E LUBRIFICANTES",20,1932,8,2226891,43198.26,570.07,"124"
"170948","2015","2","55","1","SP","MDB","LOCAÇÃO DE AUTOMÓVEIS",65,873,70,31998432,36671.67,3500,"1902"
"20391","2015","2","55","1","BA","PP","TELEFONIA",38,1060,39,10185417,38638.99,7841.66,"226"
"150959","2015","2","55","1","RS","REPUBLICANOS","COMBUSTÍVEIS E LUBRIFICANTES",21,1619,31,8392033,40504.04,2807.76,"1733"
"31584","2015","2","55","1","CE","REPUBLICANOS","PASSAGEM AÉREA",21,1687,22,6271554,42079.91,13784.3,"344"
"57918","2015","2","55","1","MG","PSD","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",36,624,53,15248681,35720.85,96.39,"666"
"84747","2015","2","55","1","PA","PP","TELEFONIA",38,1592,17,5188450,41855.59,522.01,"948"
"175731","2015","2","55","1","SP","PSD","ASSINATURA DE PUBLICAÇÕES",36,873,70,31998432,36671.67,157.9,"1938"
"148074","2015","2","55","1","RS","PT","COMBUSTÍVEIS E LUBRIFICANTES",68,1619,31,8392033,40504.04,16317.25,"1690"
"51904","2015","2","55","1","MA","PATRIOTA","PASSAGEM AÉREA",5,1524,18,4497336,41779.83,13999.48,"595"
"59130","2015","2","55","1","MG","PSD","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",36,624,53,15248681,35720.85,210,"694"
"45805","2015","2","55","1","GO","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,173,17,4331733,35135.2,3540.06,"492"
"49426","2015","2","55","1","GO","PSD","SERVIÇOS POSTAIS",36,173,17,4331733,35135.2,167.9,"567"
"109596","2015","2","55","1","PR","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,1081,30,7865950,38500,1870.5,"1261"
"33871","2015","2","55","1","CE","PSD","COMBUSTÍVEIS E LUBRIFICANTES",36,1687,22,6271554,42079.91,4500,"397"
"148225","2015","2","55","1","RS","PDT","SERVIÇOS POSTAIS",20,1619,31,8392033,40504.04,573.56,"1694"
"4719","2015","2","55","1","AL","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,1485,9,1995727,40572.24,5000,"60"
"78140","2015","2","55","1","MT","REPUBLICANOS","DIVULGAÇÃO MANDATO",21,873,8,2189703,39056.17,1750,"872"
"87114","2015","2","55","1","PB","MDB","ASSESSORIA TÉCNICA/JURÍDICA",65,1716,12,2835882,41660.7,4500,"989"
"125937","2015","2","55","1","RJ","PSOL","MANUTENÇÃO DE ESCRITÓRIO",5,933,46,12141145,35388.11,15629.66,"1494"
"75854","2015","2","55","1","MT","REPUBLICANOS","LOCAÇÃO DE AUTOMÓVEIS",21,873,8,2189703,39056.17,9970,"866"
"4515","2015","2","55","1","AL","PSDB","TELEFONIA",54,1485,9,1995727,40572.24,526.59,"58"
"100469","2015","2","55","1","PE","PODEMOS","PASSAGEM AÉREA",9,1657,25,6356307,41304.94,7772.2,"1122"
"132784","2015","2","55","1","RN","PP","PASSAGEM AÉREA",38,1775,8,2327451,42360.13,9143.82,"1528"
"107957","2015","2","55","1","PR","CIDADANIA","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",10,1081,30,7865950,38500,2113.6,"1230"
"178364","2015","2","55","1","SP","PSC","PASSAGEM AÉREA",13,873,70,31998432,36671.67,6781.71,"1991"
"77884","2015","2","55","1","MT","DEM","PASSAGEM AÉREA",21,873,8,2189703,39056.17,7248.22,"869"
"160202","2015","2","55","1","SC","PT","TELEFONIA",68,1314,16,4859324,39505.92,5459.11,"1787"
"178260","2015","2","55","1","SP","PT","TELEFONIA",68,873,70,31998432,36671.67,24657.28,"1985"
"113636","2015","2","55","1","PR","PV","SERVIÇOS POSTAIS",8,1081,30,7865950,38500,2085.75,"1322"
"71808","2015","2","55","1","MS","PT","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",68,878,8,1818937,40170.98,1517.5,"810"
