"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"120547","2015","2","55","1","PR","PSB","DIVULGAÇÃO MANDATO",34,1081,30,7865950,38500,500,"1316"
"204474","2015","2","55","1","TO","PROS","COMBUSTÍVEIS E LUBRIFICANTES",11,620,8,996887,39131.75,4500,"2189"
"66263","2015","2","55","1","MG","PSL","LOCAÇÃO DE AUTOMÓVEIS",1,624,53,15248681,35720.85,6116.59,"749"
"137498","2015","2","55","1","RJ","PL","PASSAGEM AÉREA",34,933,46,12141145,35388.11,41792.44,"1539"
"197518","2015","2","55","1","SP","PCdoB","ASSESSORIA TÉCNICA/JURÍDICA",10,873,70,31998432,36671.67,6660,"2099"
"138742","2015","2","55","1","RJ","MDB","SERVIÇOS POSTAIS",65,933,46,12141145,35388.11,973.43,"1562"
"147267","2015","2","55","1","RN","PSB","ASSESSORIA TÉCNICA/JURÍDICA",34,1775,8,2327451,42360.13,9600,"1612"
"127811","2015","2","55","1","PR","PROS","TELEFONIA",11,1081,30,7865950,38500,470.16,"1443"
"16001","2015","3","55","1","AP","PSB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",34,1791,8,455514,43002.92,917,"195"
"64628","2015","3","55","1","MG","PCdoB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,624,53,15248681,35720.85,1884.1,"813"
"69119","2015","3","55","1","MG","PSD","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",36,624,53,15248681,35720.85,1039.15,"866"
"164593","2015","3","55","1","RS","REDE","COMBUSTÍVEIS E LUBRIFICANTES",NA,1619,31,8392033,40504.04,1515.85,"1988"
"120443","2015","3","55","1","PR","CIDADANIA","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",10,1081,30,7865950,38500,1101.3,"1455"
"34444","2015","3","55","1","CE","PDT","LOCAÇÃO DE AUTOMÓVEIS",20,1687,22,6271554,42079.91,2807.83,"397"
"116655","2015","3","55","1","PI","MDB","LOCAÇÃO DE AUTOMÓVEIS",65,1313,10,2345694,40599.91,9937,"1392"
"81770","2015","3","55","1","MS","PDT","DIVULGAÇÃO MANDATO",20,878,8,1818937,40170.98,2000,"986"
"193736","2015","3","55","1","SP","PT","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",68,873,70,31998432,36671.67,4256.8,"2246"
"11414","2015","4","55","1","AM","PSDB","SERVIÇOS POSTAIS",54,1932,8,2226891,43198.26,3,"122"
"44858","2015","4","55","1","ES","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,947,10,2653536,37052.05,1438,"561"
"166617","2015","4","55","1","RS","PT","COMBUSTÍVEIS E LUBRIFICANTES",68,1619,31,8392033,40504.04,27274.42,"2034"
"118492","2015","4","55","1","PI","PP","PASSAGEM AÉREA",38,1313,10,2345694,40599.91,7280.44,"1424"
"87536","2015","4","55","1","MT","PSDB","DIVULGAÇÃO MANDATO",54,873,8,2189703,39056.17,550,"1046"
"108907","2015","4","55","1","PE","PTB","PASSAGEM AÉREA",25,1657,25,6356307,41304.94,6109.47,"1261"
"22431","2015","4","55","1","BA","PSC","SERVIÇOS POSTAIS",13,1060,39,10185417,38638.99,16.8,"265"
"34037","2015","4","55","1","CE","PT","SERVIÇOS POSTAIS",68,1687,22,6271554,42079.91,685.91,"384"
"66337","2015","4","55","1","MG","PCdoB","LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES",10,624,53,15248681,35720.85,10,"835"
"196631","2015","5","55","1","SP","PCdoB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,873,70,31998432,36671.67,268.39,"2363"
"84453","2015","5","55","1","MT","MDB","MANUTENÇÃO DE ESCRITÓRIO",65,873,8,2189703,39056.17,8231.05,"1026"
"120432","2015","5","55","1","PR","PSB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,1081,30,7865950,38500,2086.2,"1485"
"97172","2015","5","55","1","PB","PT","PASSAGEM AÉREA",68,1716,12,2835882,41660.7,11129.74,"1188"
"65799","2015","5","55","1","MG","PCdoB","TELEFONIA",10,624,53,15248681,35720.85,4521.5,"842"
"58506","2015","5","55","1","MA","PATRIOTA","PASSAGEM AÉREA",5,1524,18,4497336,41779.83,2628.73,"738"
"68269","2015","5","55","1","MG","PSDB","LOCAÇÃO DE AUTOMÓVEIS",54,624,53,15248681,35720.85,32030,"857"
"120954","2015","5","55","1","PR","PODEMOS","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",9,1081,30,7865950,38500,988.84,"1492"
"43525","2015","5","55","1","ES","PDT","TELEFONIA",20,947,10,2653536,37052.05,2123.4,"543"
"124132","2015","6","55","1","PR","PP","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",38,1081,30,7865950,38500,1539.45,"1533"
"162867","2015","6","55","1","RS","REPUBLICANOS","TELEFONIA",21,1619,31,8392033,40504.04,1924.11,"1978"
"20522","2015","6","55","1","BA","PT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",68,1060,39,10185417,38638.99,1673.06,"222"
"56022","2015","6","55","1","MA","PSDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",54,1524,18,4497336,41779.83,961.24,"697"
"33229","2015","6","55","1","CE","PSDB","ASSESSORIA TÉCNICA/JURÍDICA",54,1687,22,6271554,42079.91,3000,"363"
"77733","2015","6","55","1","MG","PL","DIVULGAÇÃO MANDATO",34,624,53,15248681,35720.85,14651.5,"926"
"163244","2015","6","55","1","RS","MDB","ASSESSORIA TÉCNICA/JURÍDICA",65,1619,31,8392033,40504.04,20945,"1983"
"2646","2015","6","55","1","AC","DEM","ASSESSORIA TÉCNICA/JURÍDICA",21,2246,8,506724,44260.6,12200,"24"
"94938","2015","6","55","1","PA","MDB","ASSESSORIA TÉCNICA/JURÍDICA",65,1592,17,5188450,41855.59,11500,"1142"
"69537","2015","7","55","1","MG","PCdoB","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",10,624,53,15248681,35720.85,181.9,"885"
