"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"38","2015","AC","PT",68,2246,8,506724,44260.6,222104.7,"7"
"41","2015","AC","PSDB",54,2246,8,506724,44260.6,13500,"8"
"552","2015","AC","PSDB",54,2246,8,506724,44260.6,6319.19,"58"
"527","2015","AC","PT",68,2246,8,506724,44260.6,44300,"53"
"266","2015","AC","MDB",65,2246,8,506724,44260.6,3000,"39"
"56","2015","AC","PSDB",54,2246,8,506724,44260.6,40880.63,"13"
"85","2015","AC","PT",68,2246,8,506724,44260.6,19465.55,"20"
"26","2015","AC","DEM",21,2246,8,506724,44260.6,53195,"4"
"1041","2015","AL","PSDB",54,1485,9,1995727,40572.24,30607.89,"62"
"964","2015","AL","PODEMOS",9,1485,9,1995727,40572.24,45770,"45"
"915","2015","AL","PT",68,1485,9,1995727,40572.24,25111.03,"32"
"1005","2015","AL","AVANTE",2,1485,9,1995727,40572.24,104010.9,"54"
"870","2015","AL","PP",38,1485,9,1995727,40572.24,19518.86,"26"
"866","2015","AL","PSDB",54,1485,9,1995727,40572.24,658.88,"23"
"775","2015","AL","PSD",36,1485,9,1995727,40572.24,37271.08,"1"
"838","2015","AL","PODEMOS",9,1485,9,1995727,40572.24,112523.98,"17"
"1047","2015","AL","PL",34,1485,9,1995727,40572.24,100000,"64"
"1098","2015","AL","PP",38,1485,9,1995727,40572.24,3894.03,"72"
"1175","2015","AM","REPUBLICANOS",21,1932,8,2226891,43198.26,20035.88,"10"
"1263","2015","AM","DEM",21,1932,8,2226891,43198.26,207,"26"
"1597","2015","AM","DEM",21,1932,8,2226891,43198.26,2487.03,"44"
"1583","2015","AM","PDT",20,1932,8,2226891,43198.26,14300,"41"
"1635","2015","AM","MDB",65,1932,8,2226891,43198.26,16158.59,"55"
"1322","2015","AM","DEM",21,1932,8,2226891,43198.26,64000,"34"
"1222","2015","AM","DEM",21,1932,8,2226891,43198.26,14500,"18"
"1150","2015","AM","REPUBLICANOS",21,1932,8,2226891,43198.26,81556.26,"2"
"1915","2015","AP","PODEMOS",9,1791,8,455514,43002.92,20369.52,"62"
"1788","2015","AP","PSD",36,1791,8,455514,43002.92,1581.39,"27"
"1881","2015","AP","PP",38,1791,8,455514,43002.92,99072.8,"55"
"1668","2015","AP","PP",38,1791,8,455514,43002.92,3550,"5"
"1889","2015","AP","PDT",20,1791,8,455514,43002.92,80700,"60"
"1826","2015","AP","PL",34,1791,8,455514,43002.92,3359.87,"43"
"1748","2015","AP","PSB",34,1791,8,455514,43002.92,17015.94,"22"
"1663","2015","AP","PODEMOS",9,1791,8,455514,43002.92,1224,"3"
"1888","2015","AP","PODEMOS",9,1791,8,455514,43002.92,18850,"59"
"2975","2015","BA","PTB",25,1060,39,10185417,38638.99,5040.6,"85"
"3348","2015","BA","PATRIOTA",5,1060,39,10185417,38638.99,48647.57,"146"
"2946","2015","BA","PT",68,1060,39,10185417,38638.99,101600,"81"
"2892","2015","BA","PL",34,1060,39,10185417,38638.99,19871.25,"67"
"2978","2015","BA","PSD",36,1060,39,10185417,38638.99,188384.49,"86"
"3275","2015","BA","PSC",13,1060,39,10185417,38638.99,79075.49,"126"
"2696","2015","BA","PSC",13,1060,39,10185417,38638.99,146468,"17"
"3307","2015","BA","PSB",34,1060,39,10185417,38638.99,77013.02,"133"
"3208","2015","BA","PSDB",54,1060,39,10185417,38638.99,122256.45,"116"
"3055","2015","BA","PP",38,1060,39,10185417,38638.99,470,"100"
"3344","2015","BA","PATRIOTA",5,1060,39,10185417,38638.99,34500,"144"
"2702","2015","BA","PSDB",54,1060,39,10185417,38638.99,34911.6,"18"
"2737","2015","BA","PL",34,1060,39,10185417,38638.99,65450,"29"
"2680","2015","BA","PDT",20,1060,39,10185417,38638.99,1636.8,"14"
"2690","2015","BA","PT",68,1060,39,10185417,38638.99,130656.34,"15"
"2945","2015","BA","PL",34,1060,39,10185417,38638.99,61393.21,"80"
"3267","2015","BA","PT",68,1060,39,10185417,38638.99,3330,"124"
"3188","2015","BA","PT",68,1060,39,10185417,38638.99,23357.19,"111"
"2833","2015","BA","PP",38,1060,39,10185417,38638.99,154976.49,"48"
"3194","2015","BA","PSDB",54,1060,39,10185417,38638.99,1889.83,"112"
"2863","2015","BA","MDB",65,1060,39,10185417,38638.99,80300,"55"
"3826","2015","CE","PTB",25,1687,22,6271554,42079.91,25605.59,"36"
"4002","2015","CE","PSB",34,1687,22,6271554,42079.91,7833.15,"78"
"3893","2015","CE","PSDB",54,1687,22,6271554,42079.91,79372.87,"54"
"4051","2015","CE","PTB",25,1687,22,6271554,42079.91,110200,"87"
"3734","2015","CE","REPUBLICANOS",21,1687,22,6271554,42079.91,1901.05,"15"
"4200","2015","CE","PCdoB",10,1687,22,6271554,42079.91,21500,"127"
"3837","2015","CE","PL",34,1687,22,6271554,42079.91,36686.9,"37"
"4274","2015","CE","PSB",34,1687,22,6271554,42079.91,186943.39,"152"
"3679","2015","CE","PCdoB",10,1687,22,6271554,42079.91,296,"10"
"4199","2015","CE","MDB",65,1687,22,6271554,42079.91,12636.3,"126"
"4228","2015","CE","REPUBLICANOS",21,1687,22,6271554,42079.91,119201.05,"140"
"4225","2015","CE","SOLIDARIEDADE",15,1687,22,6271554,42079.91,412.82,"137"
"3719","2015","CE","PL",34,1687,22,6271554,42079.91,212515.98,"12"
"3778","2015","CE","PROS",11,1687,22,6271554,42079.91,19369.81,"28"
"4342","2015","CE","PDT",20,1687,22,6271554,42079.91,3056.37,"166"
"4267","2015","CE","PROS",11,1687,22,6271554,42079.91,155751.89,"150"
"4158","2015","CE","PCdoB",10,1687,22,6271554,42079.91,1197.8,"117"
"4117","2015","CE","PODEMOS",9,1687,22,6271554,42079.91,85360,"106"
"3704","2015","CE","PTB",25,1687,22,6271554,42079.91,50390,"11"
"3901","2015","CE","PSDB",54,1687,22,6271554,42079.91,165045.78,"58"
"4064","2015","CE","PSB",34,1687,22,6271554,42079.91,39450,"93"
"3739","2015","CE","PDT",20,1687,22,6271554,42079.91,40272.65,"18"
"4953","2015","DF","PSDB",54,0,8,1897677,30416.8,152400,"32"
"4713","2015","DF","SOLIDARIEDADE",15,0,8,1897677,30416.8,9334.94,"5"
"5000","2015","DF","PSD",36,0,8,1897677,30416.8,724.08,"49"
"4919","2015","DF","PL",34,0,8,1897677,30416.8,91960,"23"
"4962","2015","DF","PSD",36,0,8,1897677,30416.8,40983.33,"35"
"4982","2015","DF","PODEMOS",9,0,8,1897677,30416.8,25477.73,"44"
"4719","2015","DF","PT",68,0,8,1897677,30416.8,60200,"7"
"5008","2015","DF","DEM",21,0,8,1897677,30416.8,12872.52,"52"
"5315","2015","ES","PT",68,947,10,2653536,37052.05,14724.25,"43"
"5273","2015","ES","PT",68,947,10,2653536,37052.05,244.23,"33"
"5304","2015","ES","PT",68,947,10,2653536,37052.05,889.69,"39"
"5140","2015","ES","PP",38,947,10,2653536,37052.05,84202.74,"1"
