"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"183211","2015","2","55","1","SP","PSDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",54,873,70,31998432,36671.67,6136.75,"2053"
"107240","2015","2","55","1","PI","PTB","TELEFONIA",25,1313,10,2345694,40599.91,1562.29,"1225"
"142701","2015","3","55","1","RO","PL","ASSESSORIA TÉCNICA/JURÍDICA",34,1900,8,1127154,43300.63,6500,"1777"
"141155","2015","3","55","1","RO","DEM","MANUTENÇÃO DE ESCRITÓRIO",21,1900,8,1127154,43300.63,2617.49,"1743"
"14429","2015","4","55","1","AP","PSB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,1791,8,455514,43002.92,999,"176"
"55807","2015","4","55","1","MA","PODEMOS","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",9,1524,18,4497336,41779.83,261.8,"734"
"54436","2015","5","55","1","MA","PTB","ASSESSORIA TÉCNICA/JURÍDICA",25,1524,18,4497336,41779.83,18000,"709"
"55242","2015","5","55","1","MA","CIDADANIA","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",10,1524,18,4497336,41779.83,1134.9,"733"
"125331","2015","6","55","1","RJ","PL","SERVIÇOS POSTAIS",34,933,46,12141145,35388.11,696.93,"1592"
"81729","2015","6","55","1","PA","PL","PASSAGEM AÉREA",34,1592,17,5188450,41855.59,23402.77,"1025"
"14436","2015","7","55","1","AP","MDB","LOCAÇÃO DE AUTOMÓVEIS",65,1791,8,455514,43002.92,10260,"178"
"89526","2015","7","55","1","PB","DEM","TELEFONIA",21,1716,12,2835882,41660.7,1728.72,"1122"
"162448","2015","8","55","1","SC","PSB","MANUTENÇÃO DE ESCRITÓRIO",34,1314,16,4859324,39505.92,127,"1972"
"63244","2015","8","55","1","MG","SOLIDARIEDADE","SERVIÇOS POSTAIS",15,624,53,15248681,35720.85,5705.04,"825"
"168177","2015","9","55","1","SE","PSB","LOCAÇÃO DE AUTOMÓVEIS",34,1292,8,1454165,39767.4,10000,"2111"
"32585","2015","9","55","1","CE","REPUBLICANOS","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",21,1687,22,6271554,42079.91,1346.1,"421"
"18645","2015","10","55","1","BA","PSD","SERVIÇOS POSTAIS",36,1060,39,10185417,38638.99,1628.1,"205"
"105710","2015","10","55","1","PE","PROS","LOCAÇÃO DE AUTOMÓVEIS",11,1657,25,6356307,41304.94,9900,"1308"
"19658","2015","11","55","1","BA","PSDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",54,1060,39,10185417,38638.99,379.87,"213"
"70871","2015","11","55","1","MG","DEM","ASSESSORIA TÉCNICA/JURÍDICA",21,624,53,15248681,35720.85,500,"834"
"51610","2015","12","55","1","MA","PSDB","PASSAGEM AÉREA",54,1524,18,4497336,41779.83,6259.06,"598"
"182123","2015","12","55","1","SP","PCdoB","DIVULGAÇÃO MANDATO",10,873,70,31998432,36671.67,900,"2022"
"1018","2016","1","55","2","AC","PT","LOCAÇÃO OU FRETAMENTO DE AERONAVES",68,2246,8,506724,44260.6,8000,"16"
"173241","2016","1","55","2","SP","PSOL","COMBUSTÍVEIS E LUBRIFICANTES",5,873,70,31998432,36671.67,5939.43,"1901"
"109448","2016","2","55","2","PI","PP","DIVULGAÇÃO MANDATO",38,1313,10,2345694,40599.91,4000,"1340"
"88784","2016","2","55","2","PA","SOLIDARIEDADE","TELEFONIA",15,1592,17,5188450,41855.59,75.22,"1074"
