"","ano","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"304","2015","55","1","AC","DEM","LOCAÇÃO DE AUTOMÓVEIS",21,2246,8,506724,44260.6,36412.52,"9"
"286","2015","55","1","AC","MDB","MANUTENÇÃO DE ESCRITÓRIO",65,2246,8,506724,44260.6,38830.34,"9"
"160","2015","55","1","AC","PSB","PASSAGEM AÉREA",34,2246,8,506724,44260.6,146662.26,"7"
"41","2015","55","1","AC","PSDB","LOCAÇÃO OU FRETAMENTO DE AERONAVES",54,2246,8,506724,44260.6,13500,"1"
"82","2015","55","1","AC","PT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",68,2246,8,506724,44260.6,5203.08,"5"
"985","2015","55","1","AL","AVANTE","DIVULGAÇÃO MANDATO",2,1485,9,1995727,40572.24,165800,"4"
"1034","2015","55","1","AL","PDT","ASSESSORIA TÉCNICA/JURÍDICA",20,1485,9,1995727,40572.24,300.44,"10"
"920","2015","55","1","AL","PL","SERVIÇOS POSTAIS",34,1485,9,1995727,40572.24,1832.83,"3"
"1062","2015","55","1","AL","PODEMOS","MANUTENÇÃO DE ESCRITÓRIO",9,1485,9,1995727,40572.24,34512.66,"8"
"856","2015","55","1","AL","PP","TELEFONIA",38,1485,9,1995727,40572.24,18299,"2"
"981","2015","55","1","AL","PSB","SERVIÇOS POSTAIS",34,1485,9,1995727,40572.24,6871.07,"7"
"1031","2015","55","1","AL","PSD","ASSESSORIA TÉCNICA/JURÍDICA",36,1485,9,1995727,40572.24,90000,"7"
"1041","2015","55","1","AL","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,1485,9,1995727,40572.24,30607.89,"8"
"885","2015","55","1","AL","PT","SERVIÇOS POSTAIS",68,1485,9,1995727,40572.24,10624.92,"3"
"1322","2015","55","1","AM","DEM","ASSESSORIA TÉCNICA/JURÍDICA",21,1932,8,2226891,43198.26,64000,"5"
"1286","2015","55","1","AM","MDB","PASSAGEM AÉREA",65,1932,8,2226891,43198.26,106873.88,"4"
"1623","2015","55","1","AM","PDT","MANUTENÇÃO DE ESCRITÓRIO",20,1932,8,2226891,43198.26,35928.9,"8"
"1199","2015","55","1","AM","PL","LOCAÇÃO OU FRETAMENTO DE AERONAVES",34,1932,8,2226891,43198.26,31000,"3"
"1160","2015","55","1","AM","PP","TELEFONIA",38,1932,8,2226891,43198.26,66709.11,"1"
"1591","2015","55","1","AM","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,1932,8,2226891,43198.26,22199.42,"10"
"1150","2015","55","1","AM","REPUBLICANOS","PASSAGEM AÉREA",21,1932,8,2226891,43198.26,81556.26,"1"
"1811","2015","55","1","AP","MDB","LOCAÇÃO DE AUTOMÓVEIS",65,1791,8,455514,43002.92,70860.6,"4"
"1839","2015","55","1","AP","PCdoB","LOCAÇÃO DE AUTOMÓVEIS",10,1791,8,455514,43002.92,106419.72,"5"
"1889","2015","55","1","AP","PDT","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",20,1791,8,455514,43002.92,80700,"7"
"1671","2015","55","1","AP","PL","MANUTENÇÃO DE ESCRITÓRIO",34,1791,8,455514,43002.92,240826,"2"
"1663","2015","55","1","AP","PODEMOS","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",9,1791,8,455514,43002.92,1224,"1"
"1821","2015","55","1","AP","PP","PASSAGEM AÉREA",38,1791,8,455514,43002.92,49484.96,"8"
"1945","2015","55","1","AP","PSB","ASSESSORIA TÉCNICA/JURÍDICA",34,1791,8,455514,43002.92,55880,"10"
"1868","2015","55","1","AP","PSD","COMBUSTÍVEIS E LUBRIFICANTES",36,1791,8,455514,43002.92,10058.75,"9"
"2989","2015","55","1","BA","DEM","LOCAÇÃO OU FRETAMENTO DE AERONAVES",21,1060,39,10185417,38638.99,4000,"9"
"2759","2015","55","1","BA","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,1060,39,10185417,38638.99,32591.51,"3"
"2885","2015","55","1","BA","PATRIOTA","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",5,1060,39,10185417,38638.99,5254.44,"5"
"3195","2015","55","1","BA","PCdoB","LOCAÇÃO DE AUTOMÓVEIS",10,1060,39,10185417,38638.99,166924.49,"8"
"3382","2015","55","1","BA","PDT","MANUTENÇÃO DE ESCRITÓRIO",20,1060,39,10185417,38638.99,9238.96,"10"
"2733","2015","55","1","BA","PL","SERVIÇOS POSTAIS",34,1060,39,10185417,38638.99,6458.88,"2"
"2936","2015","55","1","BA","PODEMOS","DIVULGAÇÃO MANDATO",9,1060,39,10185417,38638.99,127750,"4"
"3330","2015","55","1","BA","PP","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",38,1060,39,10185417,38638.99,10736.37,"8"
"2915","2015","55","1","BA","PSB","TELEFONIA",34,1060,39,10185417,38638.99,24534.06,"3"
"2665","2015","55","1","BA","PSC","ASSESSORIA TÉCNICA/JURÍDICA",13,1060,39,10185417,38638.99,84900,"3"
"2884","2015","55","1","BA","PSD","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",36,1060,39,10185417,38638.99,72000,"3"
"3194","2015","55","1","BA","PSDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",54,1060,39,10185417,38638.99,1889.83,"7"
"3368","2015","55","1","BA","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,1060,39,10185417,38638.99,115040.02,"10"
"2629","2015","55","1","BA","PTB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",25,1060,39,10185417,38638.99,3122.8,"1"
"3388","2015","55","1","BA","REPUBLICANOS","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,1060,39,10185417,38638.99,556,"9"
"4325","2015","55","1","CE","AVANTE","TELEFONIA",2,1687,22,6271554,42079.91,17284.92,"10"
"3643","2015","55","1","CE","DEM","COMBUSTÍVEIS E LUBRIFICANTES",21,1687,22,6271554,42079.91,52925.68,"1"
"4239","2015","55","1","CE","MDB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",65,1687,22,6271554,42079.91,5054.49,"10"
"4343","2015","55","1","CE","PCdoB","SERVIÇOS POSTAIS",10,1687,22,6271554,42079.91,903.23,"12"
"4093","2015","55","1","CE","PDT","COMBUSTÍVEIS E LUBRIFICANTES",20,1687,22,6271554,42079.91,79609.77,"7"
"3898","2015","55","1","CE","PL","LOCAÇÃO DE AUTOMÓVEIS",34,1687,22,6271554,42079.91,55510,"4"
"4117","2015","55","1","CE","PODEMOS","LOCAÇÃO DE AUTOMÓVEIS",9,1687,22,6271554,42079.91,85360,"8"
"4055","2015","55","1","CE","PP","PASSAGEM AÉREA",38,1687,22,6271554,42079.91,102844.55,"6"
"3865","2015","55","1","CE","PROS","DIVULGAÇÃO MANDATO",11,1687,22,6271554,42079.91,33000,"4"
"4060","2015","55","1","CE","PSB","DIVULGAÇÃO MANDATO",34,1687,22,6271554,42079.91,72255.61,"6"
"4329","2015","55","1","CE","PSD","TELEFONIA",36,1687,22,6271554,42079.91,8351.03,"6"
"3945","2015","55","1","CE","PSDB","ASSESSORIA TÉCNICA/JURÍDICA",54,1687,22,6271554,42079.91,89221.8,"8"
"3939","2015","55","1","CE","PT","LOCAÇÃO OU FRETAMENTO DE AERONAVES",68,1687,22,6271554,42079.91,39790,"5"
"3840","2015","55","1","CE","PTB","SERVIÇOS POSTAIS",25,1687,22,6271554,42079.91,9560.98,"4"
"4105","2015","55","1","CE","REPUBLICANOS","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",21,1687,22,6271554,42079.91,15651.36,"9"
"4225","2015","55","1","CE","SOLIDARIEDADE","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",15,1687,22,6271554,42079.91,412.82,"8"
"5044","2015","55","1","DF","DEM","PASSAGEM AÉREA",21,0,8,1897677,30416.8,7697.66,"8"
"4866","2015","55","1","DF","PL","LOCAÇÃO DE AUTOMÓVEIS",34,0,8,1897677,30416.8,86200,"3"
"4862","2015","55","1","DF","PODEMOS","ASSESSORIA TÉCNICA/JURÍDICA",9,0,8,1897677,30416.8,2852,"1"
"4889","2015","55","1","DF","PP","MANUTENÇÃO DE ESCRITÓRIO",38,0,8,1897677,30416.8,760.95,"5"
"4948","2015","55","1","DF","PSD","SERVIÇOS POSTAIS",36,0,8,1897677,30416.8,5198.63,"3"
"4696","2015","55","1","DF","PSDB","DIVULGAÇÃO MANDATO",54,0,8,1897677,30416.8,28905,"1"
"4939","2015","55","1","DF","PT","DIVULGAÇÃO MANDATO",68,0,8,1897677,30416.8,52210.85,"3"
"4714","2015","55","1","DF","SOLIDARIEDADE","MANUTENÇÃO DE ESCRITÓRIO",15,0,8,1897677,30416.8,441.51,"2"
"5699","2015","55","1","ES","MDB","TELEFONIA",65,947,10,2653536,37052.05,27381.53,"7"
"5271","2015","55","1","ES","PCdoB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",10,947,10,2653536,37052.05,3436.77,"3"
"5801","2015","55","1","ES","PDT","TELEFONIA",20,947,10,2653536,37052.05,25164.88,"8"
"5221","2015","55","1","ES","PP","ASSESSORIA TÉCNICA/JURÍDICA",38,947,10,2653536,37052.05,80750,"5"
"5232","2015","55","1","ES","PSB","SERVIÇOS POSTAIS",34,947,10,2653536,37052.05,3216,"1"
"5305","2015","55","1","ES","PSDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",54,947,10,2653536,37052.05,1670.8,"4"
"5678","2015","55","1","ES","PSL","LOCAÇÃO DE AUTOMÓVEIS",1,947,10,2653536,37052.05,36000,"5"
"5257","2015","55","1","ES","PT","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",68,947,10,2653536,37052.05,6277.9,"4"
"5208","2015","55","1","ES","SOLIDARIEDADE","DIVULGAÇÃO MANDATO",15,947,10,2653536,37052.05,146170,"2"
"6143","2015","55","1","GO","CIDADANIA","SERVIÇOS POSTAIS",10,173,17,4331733,35135.2,3586.63,"7"
"6132","2015","55","1","GO","MDB","LOCAÇÃO OU FRETAMENTO DE AERONAVES",65,173,17,4331733,35135.2,83963.53,"5"
"6360","2015","55","1","GO","PDT","TELEFONIA",20,173,17,4331733,35135.2,31643.33,"6"
"6489","2015","55","1","GO","PL","MANUTENÇÃO DE ESCRITÓRIO",34,173,17,4331733,35135.2,183071.5,"11"
"6417","2015","55","1","GO","PP","ASSINATURA DE PUBLICAÇÕES",38,173,17,4331733,35135.2,1026,"11"
"6372","2015","55","1","GO","PSD","LOCAÇÃO OU FRETAMENTO DE AERONAVES",36,173,17,4331733,35135.2,7800,"2"
"6141","2015","55","1","GO","PSDB","DIVULGAÇÃO MANDATO",54,173,17,4331733,35135.2,241871.5,"3"
"6268","2015","55","1","GO","PSL","TELEFONIA",1,173,17,4331733,35135.2,3922.71,"3"
"6536","2015","55","1","GO","PT","DIVULGAÇÃO MANDATO",68,173,17,4331733,35135.2,39171.2,"7"
"6513","2015","55","1","GO","PTB","LOCAÇÃO OU FRETAMENTO DE AERONAVES",25,173,17,4331733,35135.2,50030,"10"
"6198","2015","55","1","GO","REPUBLICANOS","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,173,17,4331733,35135.2,562.17,"5"
"6157","2015","55","1","GO","SOLIDARIEDADE","LOCAÇÃO DE AUTOMÓVEIS",15,173,17,4331733,35135.2,69413,"3"
"6830","2015","55","1","MA","CIDADANIA","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",10,1524,18,4497336,41779.83,1313.9,"2"
"7571","2015","55","1","MA","DEM","ASSESSORIA TÉCNICA/JURÍDICA",21,1524,18,4497336,41779.83,90000,"9"
"7023","2015","55","1","MA","MDB","PASSAGEM AÉREA",65,1524,18,4497336,41779.83,215641.99,"4"
"7688","2015","55","1","MA","PATRIOTA","PASSAGEM AÉREA",5,1524,18,4497336,41779.83,93749.89,"10"
"7689","2015","55","1","MA","PCdoB","DIVULGAÇÃO MANDATO",10,1524,18,4497336,41779.83,169080,"8"
"6847","2015","55","1","MA","PDT","PASSAGEM AÉREA",20,1524,18,4497336,41779.83,179159.24,"2"
"7719","2015","55","1","MA","PODEMOS","MANUTENÇÃO DE ESCRITÓRIO",9,1524,18,4497336,41779.83,47870.81,"11"
"6977","2015","55","1","MA","PP","ASSESSORIA TÉCNICA/JURÍDICA",38,1524,18,4497336,41779.83,93037.7,"7"
"7772","2015","55","1","MA","PSDB","LOCAÇÃO DE AUTOMÓVEIS",54,1524,18,4497336,41779.83,129801.2,"7"
"7685","2015","55","1","MA","PT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",68,1524,18,4497336,41779.83,10194.98,"8"
"6944","2015","55","1","MA","PTB","LOCAÇÃO DE AUTOMÓVEIS",25,1524,18,4497336,41779.83,118100,"2"
"7736","2015","55","1","MA","PV","MANUTENÇÃO DE ESCRITÓRIO",8,1524,18,4497336,41779.83,16289.2,"8"
"7683","2015","55","1","MA","REPUBLICANOS","MANUTENÇÃO DE ESCRITÓRIO",21,1524,18,4497336,41779.83,892.5,"5"
"9108","2015","55","1","MG","AVANTE","SERVIÇOS POSTAIS",2,624,53,15248681,35720.85,24169.8,"4"
"9286","2015","55","1","MG","DEM","LOCAÇÃO DE AUTOMÓVEIS",21,624,53,15248681,35720.85,139375,"8"
"9429","2015","55","1","MG","MDB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",65,624,53,15248681,35720.85,17167.7,"10"
"9257","2015","55","1","MG","PCdoB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,624,53,15248681,35720.85,23913.93,"7"
"9014","2015","55","1","MG","PDT","TELEFONIA",20,624,53,15248681,35720.85,27073.2,"6"
"9281","2015","55","1","MG","PL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,624,53,15248681,35720.85,8598.44,"8"
"9363","2015","55","1","MG","PODEMOS","DIVULGAÇÃO MANDATO",9,624,53,15248681,35720.85,116049.9,"8"
"9290","2015","55","1","MG","PP","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",38,624,53,15248681,35720.85,13791.68,"7"
"9262","2015","55","1","MG","PROS","LOCAÇÃO DE AUTOMÓVEIS",11,624,53,15248681,35720.85,121385,"8"
"9345","2015","55","1","MG","PSB","TELEFONIA",34,624,53,15248681,35720.85,30103.72,"6"
"9253","2015","55","1","MG","PSD","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",36,624,53,15248681,35720.85,202.52,"8"
