"","ano","mes","legislatura","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"137886","2015","2","55","RO","DEM",21,1900,8,1127154,43300.63,2083.97,"1567"
"125843","2015","2","55","RJ","PL",34,933,46,12141145,35388.11,18000,"1490"
"53404","2015","2","55","MA","PCdoB",10,1524,18,4497336,41779.83,617.63,"632"
"159718","2015","2","55","SC","PL",34,1314,16,4859324,39505.92,3794.2,"1775"
"146636","2015","2","55","RS","PSB",34,1619,31,8392033,40504.04,27432.59,"1664"
"98139","2015","2","55","PE","PSDB",54,1657,25,6356307,41304.94,3696.96,"1069"
"125911","2015","2","55","RJ","PCdoB",10,933,46,12141145,35388.11,2389.94,"1493"
"132640","2015","2","55","RN","PSDB",54,1775,8,2327451,42360.13,11286.18,"1523"
"88377","2015","2","55","PB","PTB",25,1716,12,2835882,41660.7,1884.49,"1022"
"7059","2015","3","55","AL","PP",38,1485,9,1995727,40572.24,2819.95,"67"
"13207","2015","3","55","AP","PL",34,1791,8,455514,43002.92,353.82,"150"
"132345","2015","3","55","RN","MDB",65,1775,8,2327451,42360.13,3000,"1657"
"121495","2015","3","55","RJ","SOLIDARIEDADE",15,933,46,12141145,35388.11,129.06,"1512"
"19925","2015","3","55","BA","PSDB",54,1060,39,10185417,38638.99,9270.64,"233"
"169694","2015","3","55","SP","PT",68,873,70,31998432,36671.67,6673.67,"2040"
"112498","2015","3","55","PR","MDB",65,1081,30,7865950,38500,9087.81,"1412"
"35618","2015","3","55","DF","PSD",36,0,8,1897677,30416.8,1090.96,"445"
"161912","2015","3","55","SC","PL",34,1314,16,4859324,39505.92,177.79,"1968"
"47630","2015","4","55","GO","PL",34,173,17,4331733,35135.2,10000,"580"
"30748","2015","4","55","CE","PTB",25,1687,22,6271554,42079.91,1278.94,"368"
"30488","2015","4","55","CE","REPUBLICANOS",21,1687,22,6271554,42079.91,537.45,"361"
"69890","2015","4","55","MG","MDB",65,624,53,15248681,35720.85,12865.6,"837"
"132531","2015","4","55","RN","PSD",36,1775,8,2327451,42360.13,4091.95,"1664"
"63428","2015","4","55","MG","PODEMOS",9,624,53,15248681,35720.85,3900,"816"
"89266","2015","4","55","PB","PP",38,1716,12,2835882,41660.7,1287.87,"1131"
"3424","2015","4","55","AC","PSDB",54,2246,8,506724,44260.6,17713,"32"
"174947","2015","4","55","SP","PL",34,873,70,31998432,36671.67,1098.54,"2093"
"53437","2015","5","55","MA","PODEMOS",9,1524,18,4497336,41779.83,5488.8,"707"
"159438","2015","5","55","SC","PL",34,1314,16,4859324,39505.92,9509.1,"1971"
"102047","2015","5","55","PE","PODEMOS",9,1657,25,6356307,41304.94,10000,"1277"
"13052","2015","5","55","AP","MDB",65,1791,8,455514,43002.92,4068.16,"152"
"149818","2015","5","55","RS","PSB",34,1619,31,8392033,40504.04,2560,"1914"
"71001","2015","5","55","MS","PT",68,878,8,1818937,40170.98,737.9,"889"
"124822","2015","5","55","RJ","PROS",11,933,46,12141145,35388.11,3799,"1624"
"184871","2015","5","55","TO","PP",38,620,8,996887,39131.75,632.09,"2298"
"71812","2015","5","55","MS","DEM",21,878,8,1818937,40170.98,8357,"898"
"14614","2015","5","55","AP","PODEMOS",9,1791,8,455514,43002.92,13750,"194"
"74980","2015","6","55","MS","PSDB",54,878,8,1818937,40170.98,6519.43,"949"
"71909","2015","6","55","MS","DEM",21,878,8,1818937,40170.98,4148.77,"919"
"87851","2015","6","55","PB","MDB",65,1716,12,2835882,41660.7,393.25,"1138"
"109102","2015","6","55","PR","PROS",11,1081,30,7865950,38500,3266.08,"1401"
"32354","2015","6","55","CE","REPUBLICANOS",21,1687,22,6271554,42079.91,2000,"395"
"8301","2015","6","55","AM","PSDB",54,1932,8,2226891,43198.26,1750,"99"
