"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"62043","2015","2","55","1","MG","PP","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",38,624,53,15248681,35720.85,1457,"732"
"148624","2015","2","55","1","RS","MDB","DIVULGAÇÃO MANDATO",65,1619,31,8392033,40504.04,24929,"1703"
"109968","2015","2","55","1","PR","PSDB","DIVULGAÇÃO MANDATO",54,1081,30,7865950,38500,7550,"1270"
"33046","2015","3","55","1","CE","AVANTE","MANUTENÇÃO DE ESCRITÓRIO",2,1687,22,6271554,42079.91,2000,"411"
"139212","2015","3","55","1","RO","PTB","PASSAGEM AÉREA",25,1900,8,1127154,43300.63,10510.42,"1738"
"22284","2015","3","55","1","BA","PP","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",38,1060,39,10185417,38638.99,3707.78,"283"
"52964","2015","4","55","1","MA","PSDB","LOCAÇÃO DE AUTOMÓVEIS",54,1524,18,4497336,41779.83,15852.5,"681"
"138733","2015","4","55","1","RO","REPUBLICANOS","TELEFONIA",21,1900,8,1127154,43300.63,710.33,"1732"
"39713","2015","4","55","1","ES","PSB","TELEFONIA",34,947,10,2653536,37052.05,1442.57,"511"
"22790","2015","5","55","1","BA","DEM","ASSINATURA DE PUBLICAÇÕES",21,1060,39,10185417,38638.99,600,"309"
"161009","2015","5","55","1","SC","MDB","LOCAÇÃO DE AUTOMÓVEIS",65,1314,16,4859324,39505.92,18350,"2003"
"126225","2015","5","55","1","RJ","DEM","MANUTENÇÃO DE ESCRITÓRIO",21,933,46,12141145,35388.11,28699.98,"1661"
"106737","2015","6","55","1","PI","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,1313,10,2345694,40599.91,7000,"1352"
"36773","2015","6","55","1","DF","PSDB","TELEFONIA",54,0,8,1897677,30416.8,2197.38,"470"
"89085","2015","6","55","1","PB","DEM","COMBUSTÍVEIS E LUBRIFICANTES",21,1716,12,2835882,41660.7,3176.2,"1160"
"125575","2015","7","55","1","RJ","PSOL","PASSAGEM AÉREA",5,933,46,12141145,35388.11,14444.13,"1639"
"137533","2015","7","55","1","RO","MDB","DIVULGAÇÃO MANDATO",65,1900,8,1127154,43300.63,7100,"1722"
"3572","2015","7","55","1","AC","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,2246,8,506724,44260.6,3381.01,"38"
"32803","2015","8","55","1","CE","DEM","COMBUSTÍVEIS E LUBRIFICANTES",21,1687,22,6271554,42079.91,4900,"430"
"114898","2015","8","55","1","PR","PDT","MANUTENÇÃO DE ESCRITÓRIO",20,1081,30,7865950,38500,2200.5,"1525"
"145926","2015","8","55","1","RS","PP","SERVIÇOS POSTAIS",38,1619,31,8392033,40504.04,5864.44,"1845"
"160007","2015","9","55","1","SC","PSB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,1314,16,4859324,39505.92,298.6,"1993"
"3536","2015","9","55","1","AC","PSB","DIVULGAÇÃO MANDATO",34,2246,8,506724,44260.6,2000,"34"
"135260","2015","9","55","1","RN","PSDB","SERVIÇOS POSTAIS",54,1775,8,2327451,42360.13,1415.88,"1702"
"100067","2015","10","55","1","PE","PTB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",25,1657,25,6356307,41304.94,509,"1218"
"32087","2015","10","55","1","CE","PP","ASSESSORIA TÉCNICA/JURÍDICA",38,1687,22,6271554,42079.91,16000,"384"
"98780","2015","10","55","1","PE","PSB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",34,1657,25,6356307,41304.94,3759.04,"1187"
"109120","2015","11","55","1","PR","PSC","COMBUSTÍVEIS E LUBRIFICANTES",13,1081,30,7865950,38500,3302.81,"1353"
"151235","2015","11","55","1","RS","REPUBLICANOS","COMBUSTÍVEIS E LUBRIFICANTES",21,1619,31,8392033,40504.04,4275.42,"1881"
"97709","2015","11","55","1","PE","MDB","PASSAGEM AÉREA",65,1657,25,6356307,41304.94,8658.96,"1139"
"85876","2015","12","55","1","PA","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,1592,17,5188450,41855.59,5982.22,"966"
"62604","2015","12","55","1","MG","PSL","ASSESSORIA TÉCNICA/JURÍDICA",1,624,53,15248681,35720.85,9000,"751"
"46746","2015","12","55","1","GO","PP","LOCAÇÃO DE AUTOMÓVEIS",38,173,17,4331733,35135.2,5091.29,"526"
"47882","2016","1","55","2","GO","PSDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",54,173,17,4331733,35135.2,100.98,"533"
"70493","2016","1","55","2","MG","PT","DIVULGAÇÃO MANDATO",68,624,53,15248681,35720.85,1000,"779"
"34269","2016","1","55","2","CE","PT","PASSAGEM AÉREA",68,1687,22,6271554,42079.91,20374.95,"401"
"20151","2016","2","55","2","BA","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,1060,39,10185417,38638.99,23800,"240"
"39361","2016","2","55","2","ES","PSL","COMBUSTÍVEIS E LUBRIFICANTES",1,947,10,2653536,37052.05,1154.66,"495"
"136194","2016","2","55","2","RN","DEM","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,1775,8,2327451,42360.13,172.17,"1665"
"179270","2016","3","55","2","SP","PL","TELEFONIA",34,873,70,31998432,36671.67,10220.81,"2277"
"72807","2016","3","55","2","MS","DEM","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",21,878,8,1818937,40170.98,313.46,"937"
"178483","2016","3","55","2","SP","PV","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",8,873,70,31998432,36671.67,530.32,"2256"
"103458","2016","4","55","2","PE","DEM","PASSAGEM AÉREA",21,1657,25,6356307,41304.94,13985.05,"1323"
"178476","2016","4","55","2","SP","PSD","MANUTENÇÃO DE ESCRITÓRIO",36,873,70,31998432,36671.67,12702.2,"2252"
"37318","2016","4","55","2","DF","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,0,8,1897677,30416.8,2342.13,"506"
"147255","2016","5","55","2","RS","PSD","TELEFONIA",36,1619,31,8392033,40504.04,1511.64,"1861"
