"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"104","2015","2","55","1","AC","PSDB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",54,2246,8,506724,44260.6,163,"2"
"83","2015","2","55","1","AC","PT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",68,2246,8,506724,44260.6,210.6,"1"
"2096","2015","2","55","1","AP","PCdoB","SERVIÇOS POSTAIS",10,1791,8,455514,43002.92,76.8,"2"
"2187","2015","2","55","1","AP","PP","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",38,1791,8,455514,43002.92,30,"3"
"2042","2015","2","55","1","AP","PSB","PASSAGEM AÉREA",34,1791,8,455514,43002.92,190.62,"1"
"2608","2015","2","55","1","BA","PCdoB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",10,1060,39,10185417,38638.99,191,"1"
"2706","2015","2","55","1","BA","PODEMOS","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",9,1060,39,10185417,38638.99,102.26,"1"
"2762","2015","2","55","1","BA","PSC","TELEFONIA",13,1060,39,10185417,38638.99,130.7,"1"
"2793","2015","2","55","1","BA","PSDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",54,1060,39,10185417,38638.99,100,"1"
"4584","2015","2","55","1","CE","AVANTE","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",2,1687,22,6271554,42079.91,140,"2"
"4311","2015","2","55","1","CE","PODEMOS","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",9,1687,22,6271554,42079.91,73,"1"
"4440","2015","2","55","1","CE","PP","TELEFONIA",38,1687,22,6271554,42079.91,195.94,"2"
"4118","2015","2","55","1","CE","PSB","SERVIÇOS POSTAIS",34,1687,22,6271554,42079.91,103.49,"1"
"4188","2015","2","55","1","CE","PT","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",68,1687,22,6271554,42079.91,221,"2"
"5195","2015","2","55","1","DF","PSD","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",36,0,8,1897677,30416.8,225.02,"1"
"5341","2015","2","55","1","ES","MDB","SERVIÇOS POSTAIS",65,947,10,2653536,37052.05,60.52,"1"
"5581","2015","2","55","1","ES","PSDB","SERVIÇOS POSTAIS",54,947,10,2653536,37052.05,56.81,"1"
"7112","2015","2","55","1","GO","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,173,17,4331733,35135.2,95.26,"2"
"6856","2015","2","55","1","GO","PP","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",38,173,17,4331733,35135.2,166.19,"1"
"6583","2015","2","55","1","GO","REPUBLICANOS","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,173,17,4331733,35135.2,52.63,"1"
"7679","2015","2","55","1","MA","MDB","SERVIÇOS POSTAIS",65,1524,18,4497336,41779.83,167.72,"2"
"7862","2015","2","55","1","MA","PCdoB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,1524,18,4497336,41779.83,75,"2"
"7223","2015","2","55","1","MA","PP","SERVIÇOS POSTAIS",38,1524,18,4497336,41779.83,128.86,"1"
"8513","2015","2","55","1","MG","MDB","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",65,624,53,15248681,35720.85,127.9,"1"
"10026","2015","2","55","1","MG","PL","LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES",34,624,53,15248681,35720.85,105,"2"
"10173","2015","2","55","1","MG","PROS","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",11,624,53,15248681,35720.85,92.24,"2"
"8962","2015","2","55","1","MG","PSD","ASSINATURA DE PUBLICAÇÕES",36,624,53,15248681,35720.85,190,"3"
"11544","2015","2","55","1","PA","DEM","SERVIÇOS POSTAIS",21,1592,17,5188450,41855.59,156.4,"1"
"12562","2015","2","55","1","PA","MDB","SERVIÇOS POSTAIS",65,1592,17,5188450,41855.59,206.28,"2"
"11575","2015","2","55","1","PA","PP","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",38,1592,17,5188450,41855.59,183,"1"
"11668","2015","2","55","1","PA","PSC","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",13,1592,17,5188450,41855.59,93.18,"1"
"12479","2015","2","55","1","PA","PSD","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",36,1592,17,5188450,41855.59,189.37,"2"
"12468","2015","2","55","1","PA","PSOL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",5,1592,17,5188450,41855.59,41.54,"2"
"12285","2015","2","55","1","PA","PT","SERVIÇOS POSTAIS",68,1592,17,5188450,41855.59,195.05,"1"
