"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"522","2015","AC","DEM",21,2246,8,506724,44260.6,113435.09,"52"
"82","2015","AC","PT",68,2246,8,506724,44260.6,5203.08,"19"
"74","2015","AC","PSDB",54,2246,8,506724,44260.6,6989.17,"16"
"126","2015","AC","DEM",21,2246,8,506724,44260.6,13091.1,"28"
"81","2015","AC","PSB",34,2246,8,506724,44260.6,43600,"18"
"304","2015","AC","DEM",21,2246,8,506724,44260.6,36412.52,"47"
"167","2015","AC","DEM",21,2246,8,506724,44260.6,26441.92,"38"
"35","2015","AC","MDB",65,2246,8,506724,44260.6,246161.49,"6"
"128","2015","AC","PV",8,2246,8,506724,44260.6,235.81,"29"
"44","2015","AC","PSB",34,2246,8,506724,44260.6,48845.71,"10"
"12","2015","AC","PT",68,2246,8,506724,44260.6,6198.05,"3"
"124","2015","AC","PSDB",54,2246,8,506724,44260.6,16684.05,"27"
"268","2015","AC","MDB",65,2246,8,506724,44260.6,10455.72,"40"
"302","2015","AC","DEM",21,2246,8,506724,44260.6,1350,"46"
"34","2015","AC","PT",68,2246,8,506724,44260.6,205811.25,"5"
"165","2015","AC","PT",68,2246,8,506724,44260.6,229366.85,"36"
"515","2015","AC","PT",68,2246,8,506724,44260.6,60348.58,"51"
"26","2015","AC","DEM",21,2246,8,506724,44260.6,53195,"4"
"552","2015","AC","PSDB",54,2246,8,506724,44260.6,6319.19,"58"
"92","2015","AC","DEM",21,2246,8,506724,44260.6,9364.25,"22"
"540","2015","AC","PSB",34,2246,8,506724,44260.6,15124.85,"56"
"554","2015","AC","PSDB",54,2246,8,506724,44260.6,11800,"59"
"1101","2015","AL","PT",68,1485,9,1995727,40572.24,96384.62,"73"
"997","2015","AL","PL",34,1485,9,1995727,40572.24,43101.72,"52"
"882","2015","AL","PSDB",54,1485,9,1995727,40572.24,1119.5,"27"
"980","2015","AL","PSB",34,1485,9,1995727,40572.24,120000,"48"
"1050","2015","AL","PT",68,1485,9,1995727,40572.24,49455.25,"66"
"1038","2015","AL","PL",34,1485,9,1995727,40572.24,129000,"61"
"1075","2015","AL","PSDB",54,1485,9,1995727,40572.24,166920,"69"
"807","2015","AL","PDT",20,1485,9,1995727,40572.24,24580.01,"10"
"1073","2015","AL","AVANTE",2,1485,9,1995727,40572.24,28594.23,"68"
"1047","2015","AL","PL",34,1485,9,1995727,40572.24,100000,"64"
"981","2015","AL","PSB",34,1485,9,1995727,40572.24,6871.07,"49"
"885","2015","AL","PT",68,1485,9,1995727,40572.24,10624.92,"28"
"1009","2015","AL","PP",38,1485,9,1995727,40572.24,49790,"56"
"1041","2015","AL","PSDB",54,1485,9,1995727,40572.24,30607.89,"62"
"1048","2015","AL","PODEMOS",9,1485,9,1995727,40572.24,3838.3,"65"
"775","2015","AL","PSD",36,1485,9,1995727,40572.24,37271.08,"1"
"786","2015","AL","PSB",34,1485,9,1995727,40572.24,69288.22,"5"
"784","2015","AL","PDT",20,1485,9,1995727,40572.24,110000,"4"
"989","2015","AL","PODEMOS",9,1485,9,1995727,40572.24,40000,"51"
"899","2015","AL","PP",38,1485,9,1995727,40572.24,88000,"29"
"834","2015","AL","AVANTE",2,1485,9,1995727,40572.24,118100,"16"
"916","2015","AL","PDT",20,1485,9,1995727,40572.24,54462.98,"33"
"949","2015","AL","PSD",36,1485,9,1995727,40572.24,81892.59,"41"
"901","2015","AL","PL",34,1485,9,1995727,40572.24,154514.43,"30"
"1098","2015","AL","PP",38,1485,9,1995727,40572.24,3894.03,"72"
"845","2015","AL","PL",34,1485,9,1995727,40572.24,1423.19,"18"
"855","2015","AL","PSDB",54,1485,9,1995727,40572.24,116000,"21"
"1183","2015","AM","PDT",20,1932,8,2226891,43198.26,2519.11,"11"
"1634","2015","AM","REPUBLICANOS",21,1932,8,2226891,43198.26,500,"54"
"1222","2015","AM","DEM",21,1932,8,2226891,43198.26,14500,"18"
"1611","2015","AM","PDT",20,1932,8,2226891,43198.26,25784.93,"46"
"1157","2015","AM","PSDB",54,1932,8,2226891,43198.26,18560.65,"4"
"1619","2015","AM","DEM",21,1932,8,2226891,43198.26,54514.24,"48"
"1313","2015","AM","MDB",65,1932,8,2226891,43198.26,173155,"32"
"1140","2015","AM","PSDB",54,1932,8,2226891,43198.26,1443.63,"1"
"1159","2015","AM","MDB",65,1932,8,2226891,43198.26,1763.49,"5"
"1223","2015","AM","PL",34,1932,8,2226891,43198.26,133815.92,"19"
"1166","2015","AM","MDB",65,1932,8,2226891,43198.26,20000,"7"
"1199","2015","AM","PL",34,1932,8,2226891,43198.26,31000,"15"
"1175","2015","AM","REPUBLICANOS",21,1932,8,2226891,43198.26,20035.88,"10"
"1184","2015","AM","PP",38,1932,8,2226891,43198.26,144847.14,"12"
"1635","2015","AM","MDB",65,1932,8,2226891,43198.26,16158.59,"55"
"1576","2015","AM","PSDB",54,1932,8,2226891,43198.26,40125.75,"38"
"1270","2015","AM","PL",34,1932,8,2226891,43198.26,8702.37,"28"
"1325","2015","AM","DEM",21,1932,8,2226891,43198.26,94450,"36"
"1643","2015","AM","PSDB",54,1932,8,2226891,43198.26,64584.5,"58"
"1318","2015","AM","PSDB",54,1932,8,2226891,43198.26,74938.2,"33"
"1169","2015","AM","PDT",20,1932,8,2226891,43198.26,213675,"9"
"1621","2015","AM","MDB",65,1932,8,2226891,43198.26,61000,"50"
"1882","2015","AP","PCdoB",10,1791,8,455514,43002.92,57562.09,"56"
"1952","2015","AP","PDT",20,1791,8,455514,43002.92,8801.28,"68"
