"","ano","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"288","2019","55","5","AC","MDB","ASSESSORIA TÉCNICA/JURÍDICA",65,2246,8,506724,44260.6,15000,"2"
"397","2019","56","1","AC","MDB","COMBUSTÍVEIS E LUBRIFICANTES",34,2246,8,547680,44260.6,141725.2,"2"
"580","2019","55","5","AC","MDB","DIVULGAÇÃO MANDATO",65,2246,8,506724,44260.6,34350,"2"
"410","2019","56","1","AC","MDB","MANUTENÇÃO DE ESCRITÓRIO",34,2246,8,547680,44260.6,39982.44,"2"
"166","2019","55","5","AC","MDB","PASSAGEM AÉREA",65,2246,8,506724,44260.6,20457.43,"1"
"409","2019","56","1","AC","MDB","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",34,2246,8,547680,44260.6,2128,"2"
"254","2019","56","1","AC","MDB","TELEFONIA",34,2246,8,547680,44260.6,34834.09,"2"
"247","2019","56","1","AC","REPUBLICANOS","PASSAGEM AÉREA",30,2246,8,547680,44260.6,71658.05,"2"
"882","2019","55","5","AL","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,1485,9,1995727,40572.24,1000,"2"
"910","2019","55","5","AL","PP","DIVULGAÇÃO MANDATO",38,1485,9,1995727,40572.24,13000,"2"
"936","2019","55","5","AL","PP","LOCAÇÃO DE AUTOMÓVEIS",38,1485,9,1995727,40572.24,5450,"2"
"1196","2019","55","5","AL","PP","PASSAGEM AÉREA",38,1485,9,1995727,40572.24,43680.45,"2"
"978","2019","55","5","AL","PP","TELEFONIA",38,1485,9,1995727,40572.24,52.71,"2"
"1135","2019","55","5","AL","PSB","ASSESSORIA TÉCNICA/JURÍDICA",34,1485,9,1995727,40572.24,15000,"2"
"665","2019","56","1","AL","PSB","COMBUSTÍVEIS E LUBRIFICANTES",32,1485,9,2187967,40572.24,10036.93,"1"
"1086","2019","55","5","AL","PSB","DIVULGAÇÃO MANDATO",34,1485,9,1995727,40572.24,10000,"2"
"1096","2019","55","5","AL","PSB","PASSAGEM AÉREA",34,1485,9,1995727,40572.24,8837.57,"1"
"835","2019","56","1","AL","PSB","TELEFONIA",32,1485,9,2187967,40572.24,2403.03,"1"
"709","2019","56","1","AL","PSD","COMBUSTÍVEIS E LUBRIFICANTES",35,1485,9,2187967,40572.24,47980.37,"1"
"714","2019","56","1","AL","PSD","DIVULGAÇÃO MANDATO",35,1485,9,2187967,40572.24,157650,"1"
