"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"101","2015","AC","PSDB",54,2246,8,506724,44260.6,1109.69,"23"
"1062","2015","AL","PODEMOS",9,1485,9,1995727,40572.24,34512.66,"67"
"1159","2015","AM","MDB",65,1932,8,2226891,43198.26,1763.49,"5"
"1669","2015","AP","PP",38,1791,8,455514,43002.92,26500,"6"
"2759","2015","BA","MDB",65,1060,39,10185417,38638.99,32591.51,"33"
"4092","2015","CE","SOLIDARIEDADE",15,1687,22,6271554,42079.91,2118.84,"101"
"4916","2015","DF","PL",34,0,8,1897677,30416.8,95000,"22"
"5153","2015","ES","PSL",1,947,10,2653536,37052.05,95726.05,"4"
"6107","2015","GO","MDB",65,173,17,4331733,35135.2,71474.3,"15"
"7543","2015","MA","PTB",25,1524,18,4497336,41779.83,20000,"63"
"7848","2015","MG","DEM",21,624,53,15248681,35720.85,1744.08,"12"
"9717","2015","MS","PDT",20,878,8,1818937,40170.98,2382.1,"22"
"10534","2015","MT","MDB",65,873,8,2189703,39056.17,73317.15,"64"
"11274","2015","PA","PSD",36,1592,17,5188450,41855.59,7030.87,"67"
"12266","2015","PB","MDB",65,1716,12,2835882,41660.7,64541.43,"83"
"13013","2015","PE","PP",38,1657,25,6356307,41304.94,38000,"46"
"14402","2015","PI","PSB",34,1313,10,2345694,40599.91,197083.22,"96"
"15584","2015","PR","PP",38,1081,30,7865950,38500,88033.31,"109"
"15280","2015","PR","PSB",34,1081,30,7865950,38500,123426.45,"43"
"16436","2015","RJ","PSOL",5,933,46,12141145,35388.11,57860.32,"110"
"17886","2015","RN","PSB",34,1775,8,2327451,42360.13,38324.52,"60"
"18443","2015","RO","DEM",21,1900,8,1127154,43300.63,2072.91,"70"
"18981","2015","RR","REPUBLICANOS",21,2496,8,299558,45240.67,40000,"52"
"20270","2015","RS","PSDB",54,1619,31,8392033,40504.04,17780.51,"120"
"20409","2015","SC","PCdoB",10,1314,16,4859324,39505.92,7908.13,"5"
"21356","2015","SE","PSD",36,1292,8,1454165,39767.4,2742.82,"6"
"22906","2015","SP","CIDADANIA",10,873,70,31998432,36671.67,662.3,"176"
"21989","2015","SP","DEM",21,873,70,31998432,36671.67,655.51,"30"
"23946","2015","TO","DEM",21,620,8,996887,39131.75,2296,"36"
"530","2016","AC","PSDB",54,2246,8,506724,44260.6,66600.55,"64"
"1045","2016","AL","PT",68,1485,9,1995727,40572.24,23697.17,"70"
"1261","2016","AM","DEM",21,1932,8,2226891,43198.26,28916.06,"32"
"1737","2016","AP","PODEMOS",9,1791,8,455514,43002.92,70721.1,"21"
"3219","2016","BA","PCdoB",10,1060,39,10185417,38638.99,158880,"116"
"3908","2016","CE","PODEMOS",9,1687,22,6271554,42079.91,87839.35,"69"
"5060","2016","DF","PSDB",54,0,8,1897677,30416.8,9940.05,"69"
"5770","2016","ES","PP",38,947,10,2653536,37052.05,4186.5,"74"
"6384","2016","GO","PL",34,173,17,4331733,35135.2,32000,"74"
"6898","2016","MA","PSDB",54,1524,18,4497336,41779.83,42681.81,"39"
"9216","2016","MG","PODEMOS",9,624,53,15248681,35720.85,252793.54,"128"
"9743","2016","MS","PDT",20,878,8,1818937,40170.98,79755.63,"32"
"10033","2016","MT","PSL",1,873,8,2189703,39056.17,183755,"9"
"11558","2016","PA","PT",68,1592,17,5188450,41855.59,77000,"126"
"11760","2016","PB","PTB",25,1716,12,2835882,41660.7,18973.14,"39"
"12878","2016","PE","PODEMOS",9,1657,25,6356307,41304.94,17780.55,"19"
"14316","2016","PI","MDB",65,1313,10,2345694,40599.91,7051.62,"80"
"15237","2016","PR","PSDB",54,1081,30,7865950,38500,36971.94,"51"
"15583","2016","PR","PTB",25,1081,30,7865950,38500,320.68,"122"
"15957","2016","RJ","PSOL",5,933,46,12141145,35388.11,3583.1,"17"
"15892","2016","RJ","PSD",36,933,46,12141145,35388.11,14059.1,"2"
"17449","2016","RN","MDB",65,1775,8,2327451,42360.13,38571.85,"19"
