"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"15986","2015","2","55","1","PR","PSL","TELEFONIA",1,1081,30,7865950,38500,40.87,"167"
"7580","2015","3","55","1","MA","PATRIOTA","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",5,1524,18,4497336,41779.83,31.5,"73"
"8357","2015","4","55","1","MG","PP","ASSINATURA DE PUBLICAÇÕES",38,624,53,15248681,35720.85,24.9,"94"
"5508","2015","5","55","1","ES","PT","SERVIÇOS POSTAIS",68,947,10,2653536,37052.05,34.3,"65"
"6637","2015","6","55","1","GO","SOLIDARIEDADE","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",15,173,17,4331733,35135.2,45,"65"
"10470","2015","7","55","1","MS","DEM","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,878,8,1818937,40170.98,143.19,"103"
"23426","2015","8","55","1","SE","REPUBLICANOS","SERVIÇOS POSTAIS",21,1292,8,1454165,39767.4,148.17,"217"
"11303","2015","9","55","1","MT","DEM","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,873,8,2189703,39056.17,211,"120"
"4932","2015","10","55","1","DF","SOLIDARIEDADE","TELEFONIA",15,0,8,1897677,30416.8,221.6,"52"
"4313","2015","11","55","1","CE","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,1687,22,6271554,42079.91,139.5,"47"
"10462","2015","12","55","1","MS","PT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",68,878,8,1818937,40170.98,66,"97"
"4472","2016","1","55","2","CE","PROS","PASSAGEM AÉREA",11,1687,22,6271554,42079.91,-345,"49"
"10631","2016","2","55","2","MS","PDT","SERVIÇOS POSTAIS",20,878,8,1818937,40170.98,139.07,"127"
"3995","2016","3","55","2","CE","PROS","SERVIÇOS POSTAIS",11,1687,22,6271554,42079.91,49.38,"42"
"2850","2016","4","55","2","BA","PODEMOS","SERVIÇOS POSTAIS",9,1060,39,10185417,38638.99,106.05,"26"
"10430","2016","5","55","2","MS","PSDB","SERVIÇOS POSTAIS",54,878,8,1818937,40170.98,216.9,"106"
"20886","2016","6","55","2","RS","PT","ASSINATURA DE PUBLICAÇÕES",68,1619,31,8392033,40504.04,55,"231"
"31","2016","7","55","2","AC","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,2246,8,506724,44260.6,37.3,"2"
"6912","2016","8","55","2","GO","PSDB","ASSINATURA DE PUBLICAÇÕES",54,173,17,4331733,35135.2,117.5,"79"
"17813","2016","9","55","2","RJ","PL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,933,46,12141145,35388.11,141.8,"223"
"21054","2016","10","55","2","RS","PTB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",25,1619,31,8392033,40504.04,150.8,"257"
"5614","2016","11","55","2","ES","MDB","SERVIÇOS POSTAIS",65,947,10,2653536,37052.05,72.36,"69"
"17489","2016","12","55","2","RJ","SOLIDARIEDADE","SERVIÇOS POSTAIS",15,933,46,12141145,35388.11,86.82,"200"
