"","id","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","quantidade","orig.id"
"3753",200912,"2015","2","55","1","AC","DEM","DIVULGAÇÃO MANDATO",21,2246,8,506724,44260.6,4000,1,"7"
"23",168313,"2015","2","55","1","AC","MDB","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",65,2246,8,506724,44260.6,266,1,"1"
"4330",45513,"2015","2","55","1","AC","PSB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,2246,8,506724,44260.6,98.9,1,"6"
"138",84786,"2015","2","55","1","AC","PSDB","PASSAGEM AÉREA",54,2246,8,506724,44260.6,15393.83,12,"1"
"4210",154844,"2015","2","55","1","AC","PT","MANUTENÇÃO DE ESCRITÓRIO",68,2246,8,506724,44260.6,22610.99,16,"12"
"8372",94496,"2015","2","55","1","AL","AVANTE","LOCAÇÃO DE AUTOMÓVEIS",2,1485,9,1995727,40572.24,10000,1,"4"
"8150",56980,"2015","2","55","1","AL","PDT","MANUTENÇÃO DE ESCRITÓRIO",20,1485,9,1995727,40572.24,5210.23,2,"7"
"8132",165089,"2015","2","55","1","AL","PL","SERVIÇOS POSTAIS",34,1485,9,1995727,40572.24,138.93,3,"3"
"8080",67948,"2015","2","55","1","AL","PODEMOS","PASSAGEM AÉREA",9,1485,9,1995727,40572.24,7302.07,9,"4"
"8567",164602,"2015","2","55","1","AL","PP","ASSESSORIA TÉCNICA/JURÍDICA",38,1485,9,1995727,40572.24,7500,1,"5"
"4378",98956,"2015","2","55","1","AL","PSB","TELEFONIA",34,1485,9,1995727,40572.24,769.57,4,"1"
"7711",132058,"2015","2","55","1","AL","PSD","COMBUSTÍVEIS E LUBRIFICANTES",36,1485,9,1995727,40572.24,1184.8,10,"3"
"4448",99199,"2015","2","55","1","AL","PSDB","PASSAGEM AÉREA",54,1485,9,1995727,40572.24,4205.91,5,"1"
"5158",62414,"2015","2","55","1","AL","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,1485,9,1995727,40572.24,5000,1,"4"
"9351",120187,"2015","2","55","1","AM","DEM","PASSAGEM AÉREA",21,1932,8,2226891,43198.26,14905.65,25,"2"
"12225",39762,"2015","2","55","1","AM","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,1932,8,2226891,43198.26,4000,3,"5"
