"","ano","distancia","eleitores","valor","orig.id"
"20342","2015",1900,1127154,15458.76,"2439"
"23086","2015",1314,4859324,67.84,"2810"
"2068","2015",1791,455514,30,"268"
"22207","2015",1619,8392033,303268.2,"2627"
"2931","2015",1060,10185417,9358.19,"286"
"1363","2015",1932,2226891,480,"165"
"5869","2015",947,2653536,244.23,"741"
"69","2015",2246,506724,1867.7,"15"
"15482","2015",1313,2345694,38983.08,"1867"
"4711","2015",1687,6271554,5054.49,"616"
"3692","2015",1060,10185417,14164.62,"432"
"1355","2015",1932,2226891,36225.39,"164"
"5916","2015",947,2653536,46218.07,"754"
"20348","2015",1900,1127154,71016.77,"2442"
"12","2015",2246,506724,83,"3"
"19346","2015",1775,2327451,788.4,"2332"
"18263","2015",933,12141145,913.9,"2259"
"22659","2015",1314,4859324,34860,"2709"
"16898","2015",1081,7865950,55350,"1959"
"10572","2015",624,15248681,1236.4,"1247"
"3075","2015",1060,10185417,376.25,"316"
"24765","2015",873,31998432,68782.5,"3030"
"24903","2015",873,31998432,3680.56,"3061"
"18381","2015",933,12141145,126276.53,"2289"
"23828","2015",1292,1454165,14471.72,"2862"
"7774","2015",1524,4497336,39989.49,"980"
"18396","2015",933,12141145,9279.45,"2297"
"21137","2015",2496,299558,13169.36,"2553"
"8597","2015",1524,4497336,129801.2,"1051"
"24454","2015",873,31998432,3871.12,"2959"
"7249","2015",173,4331733,21200,"922"
"4580","2015",1687,6271554,85360,"577"
"15963","2015",1313,2345694,46499.28,"1919"
"22423","2015",1619,8392033,15891.09,"2671"
"12770","2015",1592,5188450,92894.7,"1513"
"21352","2015",1619,8392033,46779.61,"2592"
"6996","2015",173,4331733,13911.5,"866"
"24215","2015",873,31998432,3442.98,"2899"
"5429","2015",0,1897677,25628.21,"656"
"14477","2015",1657,6356307,38000,"1698"
"17299","2015",1081,7865950,44006.7,"2045"
"11431","2015",873,2189703,59096.68,"1358"
"23014","2015",1314,4859324,10259.47,"2792"
"10346","2015",624,15248681,121385,"1184"
"3545","2015",1060,10185417,29583.14,"401"
"15537","2015",1313,2345694,43428,"1879"
"5559","2015",0,1897677,18744.42,"687"
"14844","2015",1657,6356307,869,"1776"
"13666","2015",1716,2835882,27201.85,"1623"
"13626","2015",1716,2835882,83900,"1613"
"14594","2015",1657,6356307,202072.79,"1721"
