"","ano","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"182","2019","56","1","AC","MDB","ASSESSORIA TÉCNICA/JURÍDICA",34,2246,8,547680,44260.6,112600,"1"
"291","2019","55","5","AC","MDB","COMBUSTÍVEIS E LUBRIFICANTES",65,2246,8,506724,44260.6,10820.08,"1"
"279","2019","55","5","AC","MDB","MANUTENÇÃO DE ESCRITÓRIO",65,2246,8,506724,44260.6,4644.17,"1"
"374","2019","56","1","AC","MDB","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",34,2246,8,547680,44260.6,2128,"2"
"33","2019","55","5","AC","MDB","TELEFONIA",65,2246,8,506724,44260.6,3746.07,"1"
"50","2019","55","5","AC","REPUBLICANOS","PASSAGEM AÉREA",21,2246,8,506724,44260.6,959.47,"1"
"795","2019","55","5","AL","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,1485,9,1995727,40572.24,1000,"2"
"604","2019","56","1","AL","PP","LOCAÇÃO DE AUTOMÓVEIS",38,1485,9,2187967,40572.24,60117,"1"
"691","2019","56","1","AL","PSB","ASSESSORIA TÉCNICA/JURÍDICA",32,1485,9,2187967,40572.24,30046.4,"1"
"600","2019","56","1","AL","PSB","COMBUSTÍVEIS E LUBRIFICANTES",32,1485,9,2187967,40572.24,10036.93,"1"
"563","2019","56","1","AL","PSB","DIVULGAÇÃO MANDATO",32,1485,9,2187967,40572.24,80300,"1"
"993","2019","55","5","AL","PSB","PASSAGEM AÉREA",34,1485,9,1995727,40572.24,8837.57,"1"
"883","2019","55","5","AL","PSD","COMBUSTÍVEIS E LUBRIFICANTES",36,1485,9,1995727,40572.24,660.3,"2"
"642","2019","56","1","AL","PSD","DIVULGAÇÃO MANDATO",35,1485,9,2187967,40572.24,157650,"1"
"772","2019","55","5","AL","PSD","MANUTENÇÃO DE ESCRITÓRIO",36,1485,9,1995727,40572.24,340.4,"1"
"740","2019","56","1","AL","PSD","PASSAGEM AÉREA",35,1485,9,2187967,40572.24,74066.23,"1"
"941","2019","55","5","AL","PT","COMBUSTÍVEIS E LUBRIFICANTES",68,1485,9,1995727,40572.24,3251.76,"2"
"827","2019","55","5","AL","PT","DIVULGAÇÃO MANDATO",68,1485,9,1995727,40572.24,2500,"2"
"714","2019","56","1","AL","PT","LOCAÇÃO DE AUTOMÓVEIS",54,1485,9,2187967,40572.24,65407.79,"1"
"741","2019","56","1","AL","PT","MANUTENÇÃO DE ESCRITÓRIO",54,1485,9,2187967,40572.24,51246.76,"1"
"559","2019","56","1","AL","PT","PASSAGEM AÉREA",54,1485,9,2187967,40572.24,157044.92,"1"
"1093","2019","55","5","AL","PT","TELEFONIA",68,1485,9,1995727,40572.24,1034.6,"2"
"651","2019","56","1","AL","PV","PASSAGEM AÉREA",4,1485,9,2187967,40572.24,152024.95,"1"
"1530","2019","56","1","AM","PL","COMBUSTÍVEIS E LUBRIFICANTES",33,1932,8,2428098,43198.26,24381.03,"2"
"1204","2019","55","5","AM","PL","DIVULGAÇÃO MANDATO",34,1932,8,2226891,43198.26,15000,"1"
"1269","2019","55","5","AM","PL","MANUTENÇÃO DE ESCRITÓRIO",34,1932,8,2226891,43198.26,238.32,"1"
"1329","2019","56","1","AM","PL","PASSAGEM AÉREA",33,1932,8,2428098,43198.26,204780.47,"2"
"1385","2019","56","1","AM","PL","TELEFONIA",33,1932,8,2428098,43198.26,8897.68,"2"
"1290","2019","55","5","AM","REPUBLICANOS","LOCAÇÃO OU FRETAMENTO DE AERONAVES",21,1932,8,2226891,43198.26,34000,"1"
"1430","2019","56","1","AM","REPUBLICANOS","PASSAGEM AÉREA",30,1932,8,2428098,43198.26,128555.22,"2"
"1498","2019","56","1","AM","REPUBLICANOS","SERVIÇOS POSTAIS",30,1932,8,2428098,43198.26,14821.65,"2"
"2182","2019","56","1","AP","MDB","DIVULGAÇÃO MANDATO",34,1791,8,512110,43002.92,224000,"2"
"1864","2019","55","5","AP","MDB","PASSAGEM AÉREA",65,1791,8,455514,43002.92,1399.13,"1"
"1914","2019","55","5","AP","PCdoB","COMBUSTÍVEIS E LUBRIFICANTES",10,1791,8,455514,43002.92,574.54,"1"
"2129","2019","56","1","AP","PCdoB","DIVULGAÇÃO MANDATO",10,1791,8,512110,43002.92,108000,"2"
"1858","2019","55","5","AP","PCdoB","PASSAGEM AÉREA",10,1791,8,455514,43002.92,16106.85,"1"
"2024","2019","56","1","AP","PCdoB","TELEFONIA",10,1791,8,512110,43002.92,349.3,"2"
"2154","2019","56","1","AP","PL","COMBUSTÍVEIS E LUBRIFICANTES",33,1791,8,512110,43002.92,53550.01,"2"
"2232","2019","56","1","AP","PL","LOCAÇÃO DE AUTOMÓVEIS",33,1791,8,512110,43002.92,12284.11,"2"
"1645","2019","55","5","AP","PL","MANUTENÇÃO DE ESCRITÓRIO",34,1791,8,455514,43002.92,3000,"1"
"1755","2019","55","5","AP","PL","PASSAGEM AÉREA",34,1791,8,455514,43002.92,23769.35,"1"
"1852","2019","55","5","AP","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,1791,8,455514,43002.92,5992.03,"1"
"1834","2019","55","5","AP","PP","DIVULGAÇÃO MANDATO",38,1791,8,455514,43002.92,9900,"1"
"1658","2019","56","1","AP","PP","LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES",38,1791,8,512110,43002.92,20000,"1"
"2242","2019","56","1","AP","PP","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",38,1791,8,512110,43002.92,3106.54,"2"
"2080","2019","56","1","AP","PP","TELEFONIA",38,1791,8,512110,43002.92,7302.27,"2"
"1830","2019","55","5","AP","PSB","DIVULGAÇÃO MANDATO",34,1791,8,455514,43002.92,27000,"1"
"1993","2019","56","1","AP","PSB","MANUTENÇÃO DE ESCRITÓRIO",32,1791,8,512110,43002.92,46737.41,"2"
"2207","2019","56","1","AP","PSB","PASSAGEM AÉREA",32,1791,8,512110,43002.92,131137.06,"2"
"1975","2019","56","1","AP","PSB","SERVIÇOS POSTAIS",32,1791,8,512110,43002.92,6752.51,"2"
"2066","2019","56","1","AP","PSB","TELEFONIA",32,1791,8,512110,43002.92,1964.35,"2"
"3428","2019","56","1","BA","MDB","COMBUSTÍVEIS E LUBRIFICANTES",34,1060,39,10393170,38638.99,25156.91,"2"
"2653","2019","55","5","BA","MDB","PASSAGEM AÉREA",65,1060,39,10185417,38638.99,3217.76,"1"
"3084","2019","56","1","BA","PCdoB","ASSESSORIA TÉCNICA/JURÍDICA",10,1060,39,10393170,38638.99,26620,"2"
"3520","2019","56","1","BA","PCdoB","COMBUSTÍVEIS E LUBRIFICANTES",10,1060,39,10393170,38638.99,74669.55,"2"
"3586","2019","56","1","BA","PCdoB","DIVULGAÇÃO MANDATO",10,1060,39,10393170,38638.99,246596.75,"2"
"2486","2019","56","1","BA","PCdoB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",10,1060,39,10393170,38638.99,3722.65,"1"
"3365","2019","55","5","BA","PCdoB","LOCAÇÃO DE AUTOMÓVEIS",10,1060,39,10185417,38638.99,10797.84,"2"
"2708","2019","55","5","BA","PCdoB","MANUTENÇÃO DE ESCRITÓRIO",10,1060,39,10185417,38638.99,8944.4,"2"
"3559","2019","56","1","BA","PCdoB","SERVIÇOS POSTAIS",10,1060,39,10393170,38638.99,5989.71,"2"
"3612","2019","56","1","BA","PCdoB","TELEFONIA",10,1060,39,10393170,38638.99,32047.96,"2"
"3435","2019","56","1","BA","PDT","COMBUSTÍVEIS E LUBRIFICANTES",28,1060,39,10393170,38638.99,42431.28,"2"
"2674","2019","55","5","BA","PDT","LOCAÇÃO DE AUTOMÓVEIS",20,1060,39,10185417,38638.99,6300,"2"
"2569","2019","56","1","BA","PDT","MANUTENÇÃO DE ESCRITÓRIO",28,1060,39,10393170,38638.99,31222.52,"1"
"2907","2019","55","5","BA","PDT","PASSAGEM AÉREA",20,1060,39,10185417,38638.99,7956.03,"2"
"3355","2019","55","5","BA","PDT","SERVIÇOS POSTAIS",20,1060,39,10185417,38638.99,251.99,"2"
"2367","2019","56","1","BA","PDT","TELEFONIA",28,1060,39,10393170,38638.99,13178.24,"1"
"2742","2019","55","5","BA","PL","ASSESSORIA TÉCNICA/JURÍDICA",34,1060,39,10185417,38638.99,8100,"2"
"2561","2019","56","1","BA","PL","COMBUSTÍVEIS E LUBRIFICANTES",33,1060,39,10393170,38638.99,92336.94,"1"
"2635","2019","55","5","BA","PL","DIVULGAÇÃO MANDATO",34,1060,39,10185417,38638.99,75350,"1"
"2996","2019","55","5","BA","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,1060,39,10185417,38638.99,938.73,"1"
"2901","2019","55","5","BA","PL","MANUTENÇÃO DE ESCRITÓRIO",34,1060,39,10185417,38638.99,5379.27,"1"
"2296","2019","56","1","BA","PL","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",33,1060,39,10393170,38638.99,72000,"1"
