"","ano","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"304","2015","55","1","AC","DEM","LOCAÇÃO DE AUTOMÓVEIS",21,2246,8,506724,44260.6,36412.52,"9"
"292","2015","55","1","AC","MDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",65,2246,8,506724,44260.6,6599,"10"
"540","2015","55","1","AC","PSB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",34,2246,8,506724,44260.6,15124.85,"10"
"305","2015","55","1","AC","PSDB","DIVULGAÇÃO MANDATO",54,2246,8,506724,44260.6,165993.33,"9"
"527","2015","55","1","AC","PT","LOCAÇÃO OU FRETAMENTO DE AERONAVES",68,2246,8,506724,44260.6,44300,"12"
"902","2015","55","1","AL","AVANTE","SERVIÇOS POSTAIS",2,1485,9,1995727,40572.24,3113.79,"3"
"807","2015","55","1","AL","PDT","COMBUSTÍVEIS E LUBRIFICANTES",20,1485,9,1995727,40572.24,24580.01,"2"
"997","2015","55","1","AL","PL","TELEFONIA",34,1485,9,1995727,40572.24,43101.72,"4"
"958","2015","55","1","AL","PODEMOS","ASSESSORIA TÉCNICA/JURÍDICA",9,1485,9,1995727,40572.24,47500,"4"
"1009","2015","55","1","AL","PP","ASSESSORIA TÉCNICA/JURÍDICA",38,1485,9,1995727,40572.24,49790,"6"
"831","2015","55","1","AL","PSB","MANUTENÇÃO DE ESCRITÓRIO",34,1485,9,1995727,40572.24,1324.9,"4"
"918","2015","55","1","AL","PSD","LOCAÇÃO DE AUTOMÓVEIS",36,1485,9,1995727,40572.24,89100,"3"
"855","2015","55","1","AL","PSDB","ASSESSORIA TÉCNICA/JURÍDICA",54,1485,9,1995727,40572.24,116000,"2"
"792","2015","55","1","AL","PT","COMBUSTÍVEIS E LUBRIFICANTES",68,1485,9,1995727,40572.24,41171.41,"1"
"1636","2015","55","1","AM","DEM","SERVIÇOS POSTAIS",21,1932,8,2226891,43198.26,9707.52,"11"
"1621","2015","55","1","AM","MDB","LOCAÇÃO DE AUTOMÓVEIS",65,1932,8,2226891,43198.26,61000,"7"
"1323","2015","55","1","AM","PDT","TELEFONIA",20,1932,8,2226891,43198.26,4756.96,"5"
"1230","2015","55","1","AM","PL","MANUTENÇÃO DE ESCRITÓRIO",34,1932,8,2226891,43198.26,36225.39,"5"
"1640","2015","55","1","AM","PP","LOCAÇÃO OU FRETAMENTO DE AERONAVES",38,1932,8,2226891,43198.26,217525,"5"
