"","ano","mes","legislatura","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"101732","2015","2","55","PE","PTB",25,1657,25,6356307,41304.94,1760.86,"1148"
"78140","2015","2","55","MT","REPUBLICANOS",21,873,8,2189703,39056.17,1750,"872"
"69889","2015","2","55","MG","SOLIDARIEDADE",15,624,53,15248681,35720.85,999.38,"782"
"14349","2015","2","55","AP","PSB",34,1791,8,455514,43002.92,5100,"163"
"45838","2015","2","55","GO","PP",38,173,17,4331733,35135.2,14130,"493"
"75263","2015","2","55","MT","PT",68,873,8,2189703,39056.17,1449.65,"850"
"159945","2015","2","55","SC","CIDADANIA",10,1314,16,4859324,39505.92,774.2,"1781"
"184948","2015","2","55","TO","PL",34,620,8,996887,39131.75,1344.51,"2077"
"114598","2015","2","55","PR","MDB",65,1081,30,7865950,38500,116.4,"1347"
"100418","2015","3","55","PE","CIDADANIA",10,1657,25,6356307,41304.94,2243.03,"1203"
"75962","2015","3","55","MT","DEM",21,873,8,2189703,39056.17,4500,"934"
"70915","2015","3","55","MG","PSDB",54,624,53,15248681,35720.85,915.75,"857"
"57764","2015","3","55","MG","PODEMOS",9,624,53,15248681,35720.85,6000,"738"
"38759","2015","3","55","ES","SOLIDARIEDADE",15,947,10,2653536,37052.05,5000,"494"
"14572","2015","3","55","AP","PSB",34,1791,8,455514,43002.92,10000,"180"
"132020","2015","3","55","RN","PODEMOS",9,1775,8,2327451,42360.13,185.74,"1644"
"38680","2015","3","55","ES","PT",68,947,10,2653536,37052.05,6773.26,"492"
"89458","2015","3","55","PB","REPUBLICANOS",21,1716,12,2835882,41660.7,18970.23,"1112"
"33743","2015","4","55","CE","PCdoB",10,1687,22,6271554,42079.91,6000,"423"
"4542","2015","4","55","AL","PDT",20,1485,9,1995727,40572.24,143.49,"52"
"21268","2015","4","55","BA","PL",34,1060,39,10185417,38638.99,10232.04,"270"
"23184","2015","4","55","BA","REPUBLICANOS",21,1060,39,10185417,38638.99,13146.72,"310"
"18343","2015","4","55","BA","PP",38,1060,39,10185417,38638.99,30000,"202"
"125215","2015","4","55","RJ","PSOL",5,933,46,12141145,35388.11,9126.17,"1625"
"84550","2015","4","55","PA","MDB",65,1592,17,5188450,41855.59,3259.1,"1036"
"33567","2015","4","55","CE","PROS",11,1687,22,6271554,42079.91,2000,"419"
"4161","2015","4","55","AL","PSD",36,1485,9,1995727,40572.24,25000,"42"
"149240","2015","5","55","RS","PDT",20,1619,31,8392033,40504.04,1516.29,"1905"
"102719","2015","5","55","PE","PTB",25,1657,25,6356307,41304.94,17079.55,"1293"
"107086","2015","5","55","PI","DEM",21,1313,10,2345694,40599.91,12780.16,"1354"
"180073","2015","5","55","SP","CIDADANIA",10,873,70,31998432,36671.67,12743.42,"2254"
"20232","2015","5","55","BA","PODEMOS",9,1060,39,10185417,38638.99,220.52,"243"
"111651","2015","5","55","PR","DEM",21,1081,30,7865950,38500,5600,"1423"
"124822","2015","5","55","RJ","PROS",11,933,46,12141145,35388.11,3799,"1624"
"72682","2015","5","55","MS","DEM",21,878,8,1818937,40170.98,4425.14,"924"
"47127","2015","5","55","GO","PL",34,173,17,4331733,35135.2,1574.27,"577"
"80488","2015","5","55","PA","MDB",65,1592,17,5188450,41855.59,1268.41,"1028"
"121889","2015","6","55","RJ","PL",34,933,46,12141145,35388.11,26850,"1562"
"106737","2015","6","55","PI","PT",68,1313,10,2345694,40599.91,7000,"1352"
"12897","2015","6","55","AP","PP",38,1791,8,455514,43002.92,326.35,"149"
"89898","2015","6","55","PB","PSB",34,1716,12,2835882,41660.7,547.13,"1176"
"21154","2015","6","55","BA","DEM",21,1060,39,10185417,38638.99,9856.99,"264"
"184475","2015","6","55","TO","DEM",21,620,8,996887,39131.75,5612.76,"2278"
"32257","2015","6","55","CE","SOLIDARIEDADE",15,1687,22,6271554,42079.91,4681.2,"390"
"80439","2015","6","55","PA","DEM",21,1592,17,5188450,41855.59,10000,"1038"
"98546","2015","6","55","PE","PROS",11,1657,25,6356307,41304.94,3308.97,"1206"
"32399","2015","6","55","CE","DEM",21,1687,22,6271554,42079.91,4750,"398"
"72547","2015","7","55","MS","DEM",21,878,8,1818937,40170.98,10600,"913"
"113197","2015","7","55","PR","PP",38,1081,30,7865950,38500,1920.19,"1462"
"75675","2015","7","55","MT","PSDB",54,873,8,2189703,39056.17,108,"949"
"163480","2015","7","55","SE","PSB",34,1292,8,1454165,39767.4,4508.92,"2025"
"178524","2015","7","55","SP","PT",68,873,70,31998432,36671.67,6574.51,"2193"
"184130","2015","7","55","TO","REPUBLICANOS",21,620,8,996887,39131.75,2399.61,"2257"
"185121","2015","7","55","TO","PROS",11,620,8,996887,39131.75,10000,"2281"
"38958","2015","7","55","ES","SOLIDARIEDADE",15,947,10,2653536,37052.05,9200,"510"
"78569","2015","7","55","MT","PSDB",54,873,8,2189703,39056.17,941.59,"972"
"150356","2015","7","55","RS","PP",38,1619,31,8392033,40504.04,730.8,"1916"
"139572","2015","8","55","RO","REPUBLICANOS",21,1900,8,1127154,43300.63,1054,"1790"
"124323","2015","8","55","RJ","PSDB",54,933,46,12141145,35388.11,890,"1633"
"99029","2015","8","55","PE","PP",38,1657,25,6356307,41304.94,651.81,"1228"
