"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"138","2015","AC","PSB",34,2246,8,506724,44260.6,146662.26,"31"
"914","2015","AL","PSD",36,1485,9,1995727,40572.24,22198.57,"52"
"1032","2015","AM","PSDB",54,1932,8,2226891,43198.26,1443.63,"1"
"1703","2015","AP","PP",38,1791,8,455514,43002.92,99072.8,"52"
"2948","2015","BA","PTB",25,1060,39,10185417,38638.99,66889.85,"111"
"3567","2015","CE","PODEMOS",9,1687,22,6271554,42079.91,5079.42,"60"
"4520","2015","DF","PSD",36,0,8,1897677,30416.8,10029.74,"47"
"4743","2015","ES","PT",68,947,10,2653536,37052.05,6277.9,"25"
"5770","2015","GO","PL",34,173,17,4331733,35135.2,994,"75"
"6843","2015","MA","CIDADANIA",10,1524,18,4497336,41779.83,2829.53,"66"
"8477","2015","MG","PROS",11,624,53,15248681,35720.85,75596.91,"134"
"8695","2015","MS","MDB",65,878,8,1818937,40170.98,114900,"12"
"9410","2015","MT","DEM",21,873,8,2189703,39056.17,603.72,"52"
"9892","2015","PA","DEM",21,1592,17,5188450,41855.59,6073.73,"1"
"11016","2015","PB","PSD",36,1716,12,2835882,41660.7,6060.86,"69"
"11999","2015","PE","PSDB",54,1657,25,6356307,41304.94,27401.44,"96"
"12447","2015","PI","PTB",25,1313,10,2345694,40599.91,32850,"5"
"14002","2015","PR","PODEMOS",9,1081,30,7865950,38500,50678.3,"93"
"14426","2015","RJ","REPUBLICANOS",21,933,46,12141145,35388.11,10187.73,"19"
"16139","2015","RN","PSDB",54,1775,8,2327451,42360.13,66000,"62"
"16434","2015","RO","PTB",25,1900,8,1127154,43300.63,123270.1,"19"
"17028","2015","RR","PSDB",54,2496,8,299558,45240.67,58813.01,"25"
"18257","2015","RS","PSDB",54,1619,31,8392033,40504.04,17780.51,"106"
"18462","2015","SC","CIDADANIA",10,1314,16,4859324,39505.92,45413.21,"20"
"19522","2015","SE","PT",68,1292,8,1454165,39767.4,93000,"72"
"20043","2015","SP","PV",8,873,70,31998432,36671.67,85219.07,"81"
"21286","2015","TO","REPUBLICANOS",21,620,8,996887,39131.75,18000,"26"
"269","2016","AC","DEM",21,2246,8,506724,44260.6,28403.88,"50"
